t,cx,cy
0,-1.061885E+000,6.206038E-001
1,-1.067075E+000,6.154181E-001
2,-1.072815E+000,6.096793E-001
3,-1.078661E+000,6.038335E-001
4,-1.084565E+000,5.979280E-001
5,-1.090475E+000,5.920140E-001
6,-1.096392E+000,5.860921E-001
7,-1.102305E+000,5.801722E-001
8,-1.108216E+000,5.742527E-001
9,-1.114122E+000,5.683359E-001
10,-1.120024E+000,5.624204E-001
11,-1.125918E+000,5.565070E-001
12,-1.131797E+000,5.505947E-001
13,-1.137643E+000,5.446838E-001
14,-1.143428E+000,5.387737E-001
15,-1.149100E+000,5.328646E-001
16,-1.154550E+000,5.269559E-001
17,-1.159537E+000,5.210478E-001
18,-1.163623E+000,5.151400E-001
19,-1.166211E+000,5.092325E-001
20,-1.166807E+000,5.033251E-001
21,-1.165354E+000,4.974179E-001
22,-1.162288E+000,4.915106E-001
23,-1.158111E+000,4.856030E-001
24,-1.152935E+000,4.796936E-001
25,-1.146608E+000,4.737782E-001
26,-1.139193E+000,4.678415E-001
27,-1.130969E+000,4.618464E-001
28,-1.122017E+000,4.557047E-001
29,-1.112255E+000,4.492412E-001
30,-1.101784E+000,4.421850E-001
31,-1.090752E+000,4.341975E-001
32,-1.079132E+000,4.249850E-001
33,-1.066932E+000,4.144634E-001
34,-1.054270E+000,4.028068E-001
35,-1.041152E+000,3.903161E-001
36,-1.027572E+000,3.771804E-001
37,-1.013613E+000,3.633614E-001
38,-9.992829E-001,3.487699E-001
39,-9.845696E-001,3.334991E-001
40,-9.695500E-001,3.178059E-001
41,-9.542319E-001,3.018941E-001
42,-9.385935E-001,2.858884E-001
43,-9.226877E-001,2.700276E-001
44,-9.065321E-001,2.546359E-001
45,-8.901265E-001,2.398471E-001
46,-8.734991E-001,2.255332E-001
47,-8.566505E-001,2.115263E-001
48,-8.395966E-001,1.977371E-001
49,-8.223639E-001,1.841239E-001
50,-8.049753E-001,1.707430E-001
51,-7.874982E-001,1.577118E-001
52,-7.700150E-001,1.449924E-001
53,-7.526462E-001,1.324285E-001
54,-7.355678E-001,1.200170E-001
55,-7.189473E-001,1.078634E-001
56,-7.029390E-001,9.595175E-002
57,-6.876143E-001,8.419099E-002
58,-6.729151E-001,7.257470E-002
59,-6.587236E-001,6.115792E-002
60,-6.449094E-001,4.996370E-002
61,-6.314297E-001,3.892221E-002
62,-6.183514E-001,2.795606E-002
63,-6.057413E-001,1.713038E-002
64,-5.935979E-001,6.519588E-003
65,-5.818291E-001,-3.955604E-003
66,-5.703543E-001,-1.434658E-002
67,-5.591974E-001,-2.459803E-002
68,-5.484070E-001,-3.471573E-002
69,-5.379609E-001,-4.469285E-002
70,-5.277619E-001,-5.443088E-002
71,-5.177520E-001,-6.392482E-002
72,-5.079487E-001,-7.326614E-002
73,-4.983215E-001,-8.245003E-002
74,-4.887639E-001,-9.137879E-002
75,-4.791992E-001,-9.997182E-002
76,-4.696596E-001,-1.081855E-001
77,-4.602205E-001,-1.160202E-001
78,-4.509037E-001,-1.235610E-001
79,-4.417052E-001,-1.309156E-001
80,-4.326116E-001,-1.380884E-001
81,-4.235727E-001,-1.450400E-001
82,-4.145442E-001,-1.517778E-001
83,-4.055605E-001,-1.583070E-001
84,-3.966861E-001,-1.646365E-001
85,-3.879086E-001,-1.707841E-001
86,-3.792140E-001,-1.767378E-001
87,-3.707030E-001,-1.824951E-001
88,-3.625175E-001,-1.880499E-001
89,-3.547077E-001,-1.934032E-001
90,-3.472345E-001,-1.986194E-001
91,-3.400701E-001,-2.037113E-001
92,-3.332360E-001,-2.086079E-001
93,-3.268275E-001,-2.132757E-001
94,-3.209911E-001,-2.177282E-001
95,-3.157591E-001,-2.220158E-001
96,-3.110067E-001,-2.261794E-001
97,-3.066402E-001,-2.301566E-001
98,-3.026906E-001,-2.338726E-001
99,-2.992127E-001,-2.373603E-001
100,-2.962284E-001,-2.406761E-001
101,-2.937175E-001,-2.438018E-001
102,-2.916098E-001,-2.466565E-001
103,-2.898402E-001,-2.490650E-001
104,-2.883876E-001,-2.507945E-001
105,-2.872459E-001,-2.517789E-001
106,-2.864075E-001,-2.521471E-001
107,-2.858860E-001,-2.520314E-001
108,-2.856914E-001,-2.515061E-001
109,-2.857945E-001,-2.506092E-001
110,-2.861530E-001,-2.494066E-001
111,-2.867452E-001,-2.480180E-001
112,-2.875940E-001,-2.465043E-001
113,-2.887240E-001,-2.448245E-001
114,-2.901203E-001,-2.428980E-001
115,-2.918194E-001,-2.407398E-001
116,-2.939146E-001,-2.385200E-001
117,-2.964162E-001,-2.363561E-001
118,-2.992451E-001,-2.342090E-001
119,-3.023478E-001,-2.320145E-001
120,-3.057172E-001,-2.297430E-001
121,-3.093459E-001,-2.274078E-001
122,-3.131913E-001,-2.250425E-001
123,-3.171597E-001,-2.226396E-001
124,-3.211755E-001,-2.201708E-001
125,-3.252370E-001,-2.176550E-001
126,-3.293455E-001,-2.151646E-001
127,-3.334314E-001,-2.127482E-001
128,-3.373764E-001,-2.103668E-001
129,-3.410891E-001,-2.079472E-001
130,-3.445738E-001,-2.054785E-001
131,-3.479092E-001,-2.029974E-001
132,-3.511798E-001,-2.004857E-001
133,-3.544318E-001,-1.978746E-001
134,-3.576365E-001,-1.951508E-001
135,-3.607300E-001,-1.923453E-001
136,-3.636727E-001,-1.894687E-001
137,-3.664343E-001,-1.865427E-001
138,-3.690116E-001,-1.836021E-001
139,-3.714676E-001,-1.806717E-001
140,-3.738754E-001,-1.777864E-001
141,-3.762341E-001,-1.749686E-001
142,-3.785237E-001,-1.721997E-001
143,-3.808225E-001,-1.694550E-001
144,-3.832388E-001,-1.667519E-001
145,-3.857823E-001,-1.641493E-001
146,-3.884470E-001,-1.616858E-001
