t,norm_before,norm_after,unitarity_defect,energy,energy_delta,energy_err
0,1.000000E+000,1.000000E+000,-4.884981E-014,7.254007E+002,4.547474E-012,4.547474E-012
1,1.000000E+000,1.000000E+000,-8.659740E-015,7.254007E+002,-4.160938E-011,4.160938E-011
2,1.000000E+000,1.000000E+000,-1.043610E-014,7.254007E+002,-4.956746E-011,4.956746E-011
3,1.000000E+000,1.000000E+000,-1.332268E-014,7.254007E+002,-5.468337E-011,5.468337E-011
4,1.000000E+000,1.000000E+000,1.199041E-014,7.254007E+002,-5.672973E-011,5.672973E-011
5,1.000000E+000,1.000000E+000,-1.110223E-014,7.254007E+002,-6.275513E-011,6.275513E-011
6,1.000000E+000,1.000000E+000,-2.153833E-014,7.254007E+002,-6.093615E-011,6.093615E-011
7,1.000000E+000,1.000000E+000,-1.398881E-014,7.254007E+002,-6.707523E-011,6.707523E-011
8,1.000000E+000,1.000000E+000,0.000000E+000,7.254007E+002,-5.763923E-011,5.763923E-011
9,1.000000E+000,1.000000E+000,-8.881784E-015,7.254007E+002,-5.991296E-011,5.991296E-011
10,1.000000E+000,1.000000E+000,1.332268E-014,7.254007E+002,-6.161827E-011,6.161827E-011
11,1.000000E+000,1.000000E+000,-8.437695E-015,7.254007E+002,-6.718892E-011,6.718892E-011
12,1.000000E+000,1.000000E+000,-1.532108E-014,7.254007E+002,-6.605205E-011,6.605205E-011
13,1.000000E+000,1.000000E+000,4.685141E-014,7.254007E+002,-7.696599E-011,7.696599E-011
14,1.000000E+000,1.000000E+000,5.551115E-015,7.254007E+002,-6.548362E-011,6.548362E-011
15,1.000000E+000,1.000000E+000,1.465494E-014,7.254007E+002,-5.650236E-011,5.650236E-011
16,1.000000E+000,1.000000E+000,-1.354472E-014,7.254007E+002,-5.013590E-011,5.013590E-011
17,1.000000E+000,1.000000E+000,2.975398E-014,7.254007E+002,-3.774403E-011,3.774403E-011
18,1.000000E+000,1.000000E+000,6.439294E-015,7.254007E+002,-3.558398E-011,3.558398E-011
19,1.000000E+000,1.000000E+000,3.375078E-014,7.254007E+002,-2.535216E-011,2.535216E-011
20,1.000000E+000,1.000000E+000,-1.221245E-014,7.254007E+002,-3.251444E-011,3.251444E-011
21,1.000000E+000,1.000000E+000,9.325873E-015,7.254007E+002,-2.091838E-011,2.091838E-011
22,1.000000E+000,1.000000E+000,9.103829E-015,7.254007E+002,-3.012701E-011,3.012701E-011
23,1.000000E+000,1.000000E+000,-6.661338E-016,7.254007E+002,-1.625722E-011,1.625722E-011
24,1.000000E+000,1.000000E+000,-1.243450E-014,7.254007E+002,-1.477929E-011,1.477929E-011
25,1.000000E+000,1.000000E+000,3.996803E-015,7.254007E+002,-5.570655E-012,5.570655E-012
26,1.000000E+000,1.000000E+000,1.154632E-014,7.254007E+002,-1.625722E-011,1.625722E-011
27,1.000000E+000,1.000000E+000,5.284662E-014,7.254007E+002,-7.844392E-012,7.844392E-012
28,1.000000E+000,1.000000E+000,-1.287859E-014,7.254007E+002,-1.250555E-011,1.250555E-011
29,1.000000E+000,1.000000E+000,1.554312E-014,7.254007E+002,1.477929E-011,1.477929E-011
30,1.000000E+000,1.000000E+000,-1.776357E-015,7.254007E+002,1.205080E-011,1.205080E-011
31,1.000000E+000,1.000000E+000,6.661338E-015,7.254007E+002,1.352873E-011,1.352873E-011
32,1.000000E+000,1.000000E+000,-4.440892E-015,7.254007E+002,2.773959E-011,2.773959E-011
33,1.000000E+000,1.000000E+000,-7.549517E-015,7.254007E+002,1.364242E-012,1.364242E-012
34,1.000000E+000,1.000000E+000,-4.440892E-016,7.254007E+002,4.558842E-011,4.558842E-011
35,1.000000E+000,1.000000E+000,-1.865175E-014,7.254007E+002,2.501110E-011,2.501110E-011
36,1.000000E+000,1.000000E+000,2.930989E-014,7.254007E+002,2.057732E-011,2.057732E-011
37,1.000000E+000,1.000000E+000,-3.552714E-015,7.254007E+002,1.716671E-011,1.716671E-011
38,1.000000E+000,1.000000E+000,1.287859E-014,7.254007E+002,1.887202E-011,1.887202E-011
39,1.000000E+000,1.000000E+000,-1.820766E-014,7.254007E+002,2.091838E-011,2.091838E-011
40,1.000000E+000,1.000000E+000,2.664535E-015,7.254007E+002,1.205080E-011,1.205080E-011
41,1.000000E+000,1.000000E+000,1.643130E-014,7.254007E+002,1.284661E-011,1.284661E-011
42,1.000000E+000,1.000000E+000,-6.217249E-015,7.254007E+002,2.148681E-011,2.148681E-011
43,1.000000E+000,1.000000E+000,1.776357E-014,7.254007E+002,1.318767E-011,1.318767E-011
44,1.000000E+000,1.000000E+000,-5.373479E-014,7.254007E+002,4.183676E-011,4.183676E-011
45,1.000000E+000,1.000000E+000,3.774758E-014,7.254007E+002,2.910383E-011,2.910383E-011
46,1.000000E+000,1.000000E+000,-1.065814E-014,7.254007E+002,2.944489E-011,2.944489E-011
47,1.000000E+000,1.000000E+000,1.332268E-015,7.254007E+002,1.716671E-011,1.716671E-011
48,1.000000E+000,1.000000E+000,3.996803E-015,7.254007E+002,6.036771E-011,6.036771E-011
49,1.000000E+000,1.000000E+000,7.549517E-015,7.254007E+002,3.183231E-011,3.183231E-011
50,1.000000E+000,1.000000E+000,3.552714E-014,7.254007E+002,4.285994E-011,4.285994E-011
51,1.000000E+000,1.000000E+000,-4.041212E-014,7.254007E+002,2.546585E-011,2.546585E-011
52,1.000000E+000,1.000000E+000,5.329071E-015,7.254007E+002,1.807621E-011,1.807621E-011
