t,norm_err,energy_err,energy
0,2.287059E-014,4.547474E-012,7.254007E+002
1,2.720046E-014,4.160938E-011,7.254007E+002
2,3.241851E-014,4.956746E-011,7.254007E+002
3,3.907985E-014,5.468337E-011,7.254007E+002
4,3.308465E-014,5.672973E-011,7.254007E+002
5,3.863576E-014,6.275513E-011,7.254007E+002
6,4.940492E-014,6.093615E-011,7.254007E+002
7,5.639933E-014,6.707523E-011,7.254007E+002
8,5.639933E-014,5.763923E-011,7.254007E+002
9,6.084022E-014,5.991296E-011,7.254007E+002
10,5.417888E-014,6.161827E-011,7.254007E+002
11,5.839773E-014,6.718892E-011,7.254007E+002
12,6.605827E-014,6.605205E-011,7.254007E+002
13,4.263256E-014,7.696599E-011,7.254007E+002
14,3.985701E-014,6.548362E-011,7.254007E+002
15,3.252953E-014,5.650236E-011,7.254007E+002
16,3.930190E-014,5.013590E-011,7.254007E+002
17,2.442491E-014,3.774403E-011,7.254007E+002
18,2.120526E-014,3.558398E-011,7.254007E+002
19,4.329870E-015,2.535216E-011,7.254007E+002
20,1.043610E-014,3.251444E-011,7.254007E+002
21,5.773160E-015,2.091838E-011,7.254007E+002
22,1.221245E-015,3.012701E-011,7.254007E+002
23,1.554312E-015,1.625722E-011,7.254007E+002
24,7.771561E-015,1.477929E-011,7.254007E+002
25,5.773160E-015,5.570655E-012,7.254007E+002
26,0.000000E+000,1.625722E-011,7.254007E+002
27,2.642331E-014,7.844392E-012,7.254007E+002
28,1.998401E-014,1.250555E-011,7.254007E+002
29,2.775558E-014,1.477929E-011,7.254007E+002
30,2.686740E-014,1.205080E-011,7.254007E+002
31,3.019807E-014,1.352873E-011,7.254007E+002
32,2.797762E-014,2.773959E-011,7.254007E+002
33,2.420286E-014,1.364242E-012,7.254007E+002
34,2.398082E-014,4.558842E-011,7.254007E+002
35,1.465494E-014,2.501110E-011,7.254007E+002
36,2.930989E-014,2.057732E-011,7.254007E+002
37,2.753353E-014,1.716671E-011,7.254007E+002
38,3.397282E-014,1.887202E-011,7.254007E+002
39,2.486900E-014,2.091838E-011,7.254007E+002
40,2.620126E-014,1.205080E-011,7.254007E+002
41,3.441691E-014,1.284661E-011,7.254007E+002
42,3.130829E-014,2.148681E-011,7.254007E+002
43,4.019007E-014,1.318767E-011,7.254007E+002
44,1.332268E-014,4.183676E-011,7.254007E+002
45,3.219647E-014,2.910383E-011,7.254007E+002
46,2.686740E-014,2.944489E-011,7.254007E+002
47,2.753353E-014,1.716671E-011,7.254007E+002
48,2.953193E-014,6.036771E-011,7.254007E+002
49,3.330669E-014,3.183231E-011,7.254007E+002
50,5.107026E-014,4.285994E-011,7.254007E+002
51,3.086420E-014,2.546585E-011,7.254007E+002
52,3.352874E-014,1.807621E-011,7.254007E+002
53,3.774758E-014,1.625722E-011,7.254007E+002
54,1.554312E-014,3.899459E-011,7.254007E+002
55,2.731149E-014,2.398792E-011,7.254007E+002
56,3.752554E-014,3.535661E-011,7.254007E+002
57,3.996803E-014,1.739409E-011,7.254007E+002
58,4.773959E-014,3.251444E-011,7.254007E+002
59,4.396483E-014,3.581135E-011,7.254007E+002
60,5.861978E-014,3.672085E-011,7.254007E+002
61,3.441691E-014,3.160494E-011,7.254007E+002
62,4.529710E-014,4.001777E-011,7.254007E+002
63,5.595524E-014,3.751666E-011,7.254007E+002
64,4.196643E-014,4.490630E-011,7.254007E+002
65,5.218048E-014,3.080913E-011,7.254007E+002
66,5.040413E-014,3.274181E-011,7.254007E+002
67,4.307665E-014,3.205969E-011,7.254007E+002
68,3.641532E-014,2.967226E-011,7.254007E+002
69,4.996004E-014,2.739853E-011,7.254007E+002
70,4.729550E-014,6.787104E-011,7.254007E+002
71,5.417888E-014,3.433342E-011,7.254007E+002
72,5.018208E-014,5.263701E-011,7.254007E+002
73,5.684342E-014,2.944489E-011,7.254007E+002
74,5.684342E-014,3.558398E-011,7.254007E+002
75,4.862777E-014,4.047251E-011,7.254007E+002
76,6.616929E-014,4.740741E-011,7.254007E+002
77,5.706546E-014,3.694822E-011,7.254007E+002
78,6.017409E-014,4.422418E-011,7.254007E+002
79,6.283862E-014,3.637979E-011,7.254007E+002
80,5.662137E-014,4.649792E-011,7.254007E+002
81,5.861978E-014,3.399236E-011,7.254007E+002
82,6.239453E-014,4.865797E-011,7.254007E+002
83,4.840572E-014,4.217782E-011,7.254007E+002
84,5.573320E-014,4.274625E-011,7.254007E+002
85,5.528911E-014,3.331024E-011,7.254007E+002
86,5.018208E-014,4.536105E-011,7.254007E+002
87,6.705747E-014,3.115019E-011,7.254007E+002
88,7.815970E-014,4.126832E-011,7.254007E+002
89,6.306067E-014,3.024070E-011,7.254007E+002
