t,residual_l2,residual_max
0,8.129519E-015,9.106320E-014
1,8.058384E-015,8.533911E-014
2,7.980487E-015,6.355287E-014
3,8.344277E-015,8.987734E-014
4,8.115098E-015,8.788928E-014
5,8.232242E-015,9.947598E-014
6,8.189991E-015,7.418284E-014
7,8.178436E-015,6.112320E-014
8,8.181170E-015,7.418284E-014
9,8.181617E-015,5.560877E-014
10,8.204774E-015,7.110422E-014
11,8.195102E-015,4.019437E-014
12,8.095920E-015,3.907985E-014
13,8.252204E-015,3.938398E-014
14,8.248557E-015,4.986471E-014
15,8.259392E-015,4.986471E-014
16,8.218947E-015,6.417051E-014
17,8.122182E-015,3.393725E-014
18,8.156574E-015,5.685036E-014
19,8.180126E-015,3.915610E-014
20,8.269783E-015,4.440892E-014
21,8.233677E-015,3.764033E-014
22,8.200068E-015,4.097430E-014
23,8.218369E-015,4.766466E-014
24,8.236562E-015,3.657743E-014
25,8.270700E-015,3.623071E-014
26,8.189263E-015,3.205143E-014
27,8.180235E-015,2.929643E-014
28,8.207092E-015,3.217119E-014
29,8.242249E-015,4.689717E-014
30,8.239164E-015,2.501133E-014
31,8.209978E-015,3.275440E-014
32,8.275162E-015,3.177644E-014
33,8.250276E-015,2.900212E-014
34,8.227058E-015,3.574849E-014
35,8.230977E-015,2.977717E-014
36,8.280323E-015,2.864289E-014
37,8.275873E-015,2.929643E-014
38,8.233289E-015,3.592459E-014
39,8.211116E-015,2.843558E-014
40,8.226222E-015,2.501133E-014
41,8.232902E-015,2.586415E-014
42,8.217685E-015,2.522431E-014
43,8.289988E-015,3.102274E-014
44,8.261115E-015,2.929643E-014
45,8.227865E-015,2.168775E-014
46,8.234503E-015,3.067753E-014
47,8.272528E-015,2.667864E-014
48,8.269876E-015,3.318508E-014
49,8.229000E-015,2.143162E-014
50,8.224369E-015,2.486900E-014
51,8.297574E-015,3.217119E-014
52,8.213400E-015,2.398493E-014
53,8.284244E-015,2.842171E-014
54,8.248759E-015,2.416107E-014
55,8.267870E-015,2.586415E-014
56,8.254924E-015,2.383233E-014
57,8.272055E-015,2.139017E-014
58,8.315506E-015,3.920329E-014
59,8.274304E-015,2.929643E-014
60,8.248830E-015,3.211463E-014
61,8.232563E-015,2.929643E-014
62,8.234260E-015,2.246933E-014
63,8.274424E-015,2.131888E-014
64,8.267475E-015,2.197232E-014
65,8.277703E-015,2.929643E-014
66,8.326700E-015,2.626141E-014
67,8.307889E-015,2.383233E-014
68,8.234401E-015,2.850831E-014
69,8.258794E-015,2.224439E-014
70,8.290119E-015,2.246933E-014
71,8.248258E-015,2.161031E-014
72,8.275271E-015,2.233288E-014
73,8.281687E-015,2.864289E-014
74,8.301920E-015,2.467794E-014
75,8.249321E-015,2.139017E-014
76,8.283110E-015,2.197232E-014
77,8.251196E-015,2.139017E-014
78,8.269252E-015,2.161031E-014
79,8.251183E-015,2.003822E-014
80,8.261413E-015,2.172976E-014
81,8.251129E-015,1.781346E-014
82,8.285285E-015,2.071570E-014
83,8.311896E-015,2.487296E-014
84,8.287569E-015,2.071570E-014
85,8.268450E-015,1.972076E-014
86,8.292152E-015,2.977717E-014
87,8.275458E-015,2.009718E-014
88,8.266545E-015,2.177396E-014
89,8.269052E-015,2.220446E-014
90,8.285376E-015,2.148217E-014
91,8.240829E-015,2.090524E-014
92,8.237048E-015,1.675812E-014
93,8.274161E-015,1.811536E-014
94,8.277217E-015,1.695736E-014
95,8.269848E-015,1.854571E-014
96,8.300272E-015,2.139017E-014
97,8.260810E-015,1.432145E-014
98,8.291658E-015,1.785217E-014
99,8.313358E-015,1.637720E-014
100,8.274662E-015,1.776912E-014
101,8.315751E-015,2.229421E-014
102,8.309405E-015,2.182033E-014
