t,energy,energy_c0
0,7.254007E+002,7.324437E+002
1,7.254007E+002,7.324074E+002
2,7.254007E+002,7.323694E+002
3,7.254007E+002,7.323340E+002
4,7.254007E+002,7.323021E+002
5,7.254007E+002,7.322742E+002
6,7.254007E+002,7.322507E+002
7,7.254007E+002,7.322316E+002
8,7.254007E+002,7.322170E+002
9,7.254007E+002,7.322070E+002
10,7.254007E+002,7.322016E+002
11,7.254007E+002,7.322008E+002
12,7.254007E+002,7.322046E+002
13,7.254007E+002,7.322129E+002
14,7.254007E+002,7.322256E+002
15,7.254007E+002,7.322424E+002
16,7.254007E+002,7.322629E+002
17,7.254007E+002,7.322860E+002
18,7.254007E+002,7.323096E+002
19,7.254007E+002,7.323310E+002
20,7.254007E+002,7.323480E+002
21,7.254007E+002,7.323603E+002
22,7.254007E+002,7.323699E+002
23,7.254007E+002,7.323790E+002
24,7.254007E+002,7.323883E+002
25,7.254007E+002,7.323970E+002
26,7.254007E+002,7.324053E+002
27,7.254007E+002,7.324143E+002
28,7.254007E+002,7.324241E+002
29,7.254007E+002,7.324337E+002
30,7.254007E+002,7.324425E+002
31,7.254007E+002,7.324500E+002
32,7.254007E+002,7.324550E+002
33,7.254007E+002,7.324572E+002
34,7.254007E+002,7.324578E+002
35,7.254007E+002,7.324579E+002
36,7.254007E+002,7.324579E+002
37,7.254007E+002,7.324582E+002
38,7.254007E+002,7.324583E+002
39,7.254007E+002,7.324581E+002
40,7.254007E+002,7.324583E+002
41,7.254007E+002,7.324586E+002
42,7.254007E+002,7.324577E+002
43,7.254007E+002,7.324548E+002
44,7.254007E+002,7.324496E+002
45,7.254007E+002,7.324418E+002
46,7.254007E+002,7.324317E+002
47,7.254007E+002,7.324202E+002
48,7.254007E+002,7.324084E+002
49,7.254007E+002,7.323964E+002
50,7.254007E+002,7.323838E+002
51,7.254007E+002,7.323705E+002
52,7.254007E+002,7.323566E+002
53,7.254007E+002,7.323422E+002
54,7.254007E+002,7.323273E+002
55,7.254007E+002,7.323109E+002
56,7.254007E+002,7.322926E+002
57,7.254007E+002,7.322726E+002
58,7.254007E+002,7.322514E+002
59,7.254007E+002,7.322295E+002
60,7.254007E+002,7.322074E+002
61,7.254007E+002,7.321854E+002
62,7.254007E+002,7.321635E+002
63,7.254007E+002,7.321414E+002
64,7.254007E+002,7.321193E+002
65,7.254007E+002,7.320979E+002
66,7.254007E+002,7.320773E+002
67,7.254007E+002,7.320576E+002
68,7.254007E+002,7.320385E+002
69,7.254007E+002,7.320198E+002
70,7.254007E+002,7.320015E+002
71,7.254007E+002,7.319836E+002
72,7.254007E+002,7.319664E+002
73,7.254007E+002,7.319497E+002
74,7.254007E+002,7.319329E+002
75,7.254007E+002,7.319159E+002
76,7.254007E+002,7.318983E+002
77,7.254007E+002,7.318802E+002
78,7.254007E+002,7.318623E+002
79,7.254007E+002,7.318453E+002
80,7.254007E+002,7.318293E+002
81,7.254007E+002,7.318140E+002
82,7.254007E+002,7.317996E+002
83,7.254007E+002,7.317864E+002
84,7.254007E+002,7.317745E+002
85,7.254007E+002,7.317638E+002
86,7.254007E+002,7.317545E+002
87,7.254007E+002,7.317463E+002
88,7.254007E+002,7.317387E+002
89,7.254007E+002,7.317315E+002
90,7.254007E+002,7.317250E+002
91,7.254007E+002,7.317195E+002
92,7.254007E+002,7.317148E+002
93,7.254007E+002,7.317102E+002
94,7.254007E+002,7.317057E+002
95,7.254007E+002,7.317017E+002
96,7.254007E+002,7.316985E+002
97,7.254007E+002,7.316961E+002
98,7.254007E+002,7.316941E+002
99,7.254007E+002,7.316926E+002
100,7.254007E+002,7.316918E+002
101,7.254007E+002,7.316916E+002
102,7.254007E+002,7.316920E+002
103,7.254007E+002,7.316926E+002
104,7.254007E+002,7.316922E+002
105,7.254007E+002,7.316907E+002
106,7.254007E+002,7.316886E+002
107,7.254007E+002,7.316865E+002
108,7.254007E+002,7.316848E+002
109,7.254007E+002,7.316836E+002
110,7.254007E+002,7.316833E+002
111,7.254007E+002,7.316839E+002
112,7.254007E+002,7.316854E+002
113,7.254007E+002,7.316873E+002
114,7.254007E+002,7.316888E+002
115,7.254007E+002,7.316894E+002
116,7.254007E+002,7.316891E+002
117,7.254007E+002,7.316880E+002
118,7.254007E+002,7.316859E+002
119,7.254007E+002,7.316828E+002
120,7.254007E+002,7.316794E+002
121,7.254007E+002,7.316762E+002
122,7.254007E+002,7.316734E+002
123,7.254007E+002,7.316707E+002
124,7.254007E+002,7.316680E+002
125,7.254007E+002,7.316649E+002
126,7.254007E+002,7.316614E+002
127,7.254007E+002,7.316577E+002
128,7.254007E+002,7.316535E+002
129,7.254007E+002,7.316483E+002
130,7.254007E+002,7.316421E+002
131,7.254007E+002,7.316351E+002
132,7.254007E+002,7.316275E+002
133,7.254007E+002,7.316197E+002
134,7.254007E+002,7.316120E+002
135,7.254007E+002,7.316051E+002
136,7.254007E+002,7.315987E+002
137,7.254007E+002,7.315921E+002
138,7.254007E+002,7.315851E+002
139,7.254007E+002,7.315782E+002
140,7.254007E+002,7.315721E+002
141,7.254007E+002,7.315667E+002
142,7.254007E+002,7.315618E+002
143,7.254007E+002,7.315570E+002
144,7.254007E+002,7.315523E+002
145,7.254007E+002,7.315475E+002
146,7.254007E+002,7.315423E+002
147,7.254007E+002,7.315368E+002
148,7.254007E+002,7.315312E+002
149,7.254007E+002,7.315258E+002
150,7.254007E+002,7.315203E+002
151,7.254007E+002,7.315151E+002
152,7.254007E+002,7.315106E+002
153,7.254007E+002,7.315067E+002
154,7.254007E+002,7.315031E+002
155,7.254007E+002,7.314998E+002
156,7.254007E+002,7.314965E+002
157,7.254007E+002,7.314936E+002
158,7.254007E+002,7.314913E+002
159,7.254007E+002,7.314891E+002
160,7.254007E+002,7.314866E+002
161,7.254007E+002,7.314842E+002
162,7.254007E+002,7.314823E+002
163,7.254007E+002,7.314812E+002
164,7.254007E+002,7.314810E+002
165,7.254007E+002,7.314815E+002
166,7.254007E+002,7.314820E+002
167,7.254007E+002,7.314822E+002
168,7.254007E+002,7.314825E+002
169,7.254007E+002,7.314831E+002
170,7.254007E+002,7.314841E+002
171,7.254007E+002,7.314853E+002
172,7.254007E+002,7.314863E+002
173,7.254007E+002,7.314865E+002
174,7.254007E+002,7.314858E+002
175,7.254007E+002,7.314846E+002
176,7.254007E+002,7.314833E+002
177,7.254007E+002,7.314820E+002
178,7.254007E+002,7.314811E+002
179,7.254007E+002,7.314809E+002
180,7.254007E+002,7.314813E+002
181,7.254007E+002,7.314820E+002
182,7.254007E+002,7.314830E+002
183,7.254007E+002,7.314846E+002
184,7.254007E+002,7.314870E+002
185,7.254007E+002,7.314901E+002
186,7.254007E+002,7.314930E+002
187,7.254007E+002,7.314949E+002
188,7.254007E+002,7.314957E+002
189,7.254007E+002,7.314954E+002
190,7.254007E+002,7.314942E+002
191,7.254007E+002,7.314922E+002
192,7.254007E+002,7.314898E+002
193,7.254007E+002,7.314875E+002
194,7.254007E+002,7.314854E+002
195,7.254007E+002,7.314832E+002
196,7.254007E+002,7.314809E+002
197,7.254007E+002,7.314781E+002
198,7.254007E+002,7.314741E+002
199,7.254007E+002,7.314693E+002
200,7.254007E+002,7.314640E+002
201,7.254007E+002,7.314586E+002
