t,cx,cy
0,6.681906E-001,4.978515E-001
1,6.684921E-001,4.989180E-001
2,6.686898E-001,4.999847E-001
3,6.684880E-001,5.010527E-001
4,6.674937E-001,5.021158E-001
5,6.655982E-001,5.031093E-001
6,6.630638E-001,5.038213E-001
7,6.602045E-001,5.039440E-001
8,6.572371E-001,5.033778E-001
9,6.543175E-001,5.023688E-001
10,6.515393E-001,5.011593E-001
11,6.489470E-001,4.997842E-001
12,6.465211E-001,4.983476E-001
13,6.442178E-001,4.970184E-001
14,6.420638E-001,4.957552E-001
15,6.401453E-001,4.944517E-001
16,6.385399E-001,4.931154E-001
17,6.372858E-001,4.917698E-001
18,6.364296E-001,4.904939E-001
19,6.360446E-001,4.894098E-001
20,6.360895E-001,4.885596E-001
21,6.364050E-001,4.880352E-001
22,6.369132E-001,4.879377E-001
23,6.375492E-001,4.880950E-001
24,6.382200E-001,4.882954E-001
25,6.389406E-001,4.886336E-001
26,6.396831E-001,4.892425E-001
27,6.403729E-001,4.900514E-001
28,6.409757E-001,4.909315E-001
29,6.413888E-001,4.918142E-001
30,6.415491E-001,4.927259E-001
31,6.414168E-001,4.937019E-001
32,6.409566E-001,4.946967E-001
33,6.403170E-001,4.956606E-001
34,6.396000E-001,4.964938E-001
35,6.387525E-001,4.970617E-001
36,6.377871E-001,4.973739E-001
37,6.368092E-001,4.975194E-001
38,6.358835E-001,4.975768E-001
39,6.348981E-001,4.975795E-001
40,6.338715E-001,4.974610E-001
41,6.330311E-001,4.971913E-001
42,6.324238E-001,4.968223E-001
43,6.320019E-001,4.964002E-001
44,6.318239E-001,4.959854E-001
45,6.319367E-001,4.956402E-001
46,6.322422E-001,4.953856E-001
47,6.326285E-001,4.951964E-001
48,6.330139E-001,4.950109E-001
49,6.333529E-001,4.947992E-001
50,6.337581E-001,4.945840E-001
51,6.342649E-001,4.943599E-001
52,6.347536E-001,4.941253E-001
53,6.352024E-001,4.939556E-001
54,6.356603E-001,4.939344E-001
55,6.360299E-001,4.940510E-001
56,6.361790E-001,4.942181E-001
57,6.360507E-001,4.943757E-001
58,6.356268E-001,4.944724E-001
59,6.349862E-001,4.944716E-001
60,6.342549E-001,4.944332E-001
61,6.335974E-001,4.944241E-001
62,6.330047E-001,4.944464E-001
63,6.323625E-001,4.944903E-001
64,6.317401E-001,4.945492E-001
65,6.312212E-001,4.946106E-001
66,6.308098E-001,4.946752E-001
67,6.304457E-001,4.947801E-001
68,6.301277E-001,4.949662E-001
69,6.298880E-001,4.952050E-001
70,6.297823E-001,4.954596E-001
71,6.299341E-001,4.957095E-001
72,6.303043E-001,4.958994E-001
73,6.307609E-001,4.960806E-001
74,6.312175E-001,4.963441E-001
75,6.316744E-001,4.967085E-001
76,6.322184E-001,4.972065E-001
77,6.328967E-001,4.977470E-001
78,6.336040E-001,4.982120E-001
79,6.340996E-001,4.986465E-001
80,6.343144E-001,4.990182E-001
81,6.343930E-001,4.991913E-001
82,6.343797E-001,4.991268E-001
83,6.342146E-001,4.988859E-001
84,6.339457E-001,4.985547E-001
85,6.336477E-001,4.981640E-001
86,6.332681E-001,4.977381E-001
87,6.328009E-001,4.973263E-001
88,6.323177E-001,4.969094E-001
89,6.318345E-001,4.964563E-001
90,6.313526E-001,4.959792E-001
91,6.309067E-001,4.954670E-001
92,6.305223E-001,4.949343E-001
93,6.302179E-001,4.944573E-001
94,6.300954E-001,4.940488E-001
95,6.302052E-001,4.937352E-001
96,6.304781E-001,4.936486E-001
97,6.307943E-001,4.938025E-001
98,6.310886E-001,4.940627E-001
99,6.314393E-001,4.943332E-001
100,6.318681E-001,4.946110E-001
101,6.323109E-001,4.949690E-001
102,6.327360E-001,4.954189E-001
103,6.332032E-001,4.958808E-001
104,6.337519E-001,4.963812E-001
105,6.342998E-001,4.969654E-001
106,6.347234E-001,4.975470E-001
107,6.348490E-001,4.981054E-001
108,6.346414E-001,4.986481E-001
109,6.342174E-001,4.990424E-001
110,6.336341E-001,4.992136E-001
111,6.329784E-001,4.992315E-001
112,6.323548E-001,4.990784E-001
113,6.317763E-001,4.987143E-001
114,6.312134E-001,4.982648E-001
115,6.306103E-001,4.977983E-001
116,6.299318E-001,4.972354E-001
117,6.291891E-001,4.965811E-001
118,6.284092E-001,4.959341E-001
119,6.276736E-001,4.953314E-001
120,6.270862E-001,4.947695E-001
121,6.266677E-001,4.942641E-001
122,6.263305E-001,4.938343E-001
123,6.260610E-001,4.934800E-001
124,6.259348E-001,4.932003E-001
125,6.258395E-001,4.931055E-001
126,6.256081E-001,4.933456E-001
127,6.252695E-001,4.938759E-001
128,6.249202E-001,4.944998E-001
129,6.246328E-001,4.950591E-001
130,6.244126E-001,4.955084E-001
131,6.242406E-001,4.959249E-001
132,6.241304E-001,4.964116E-001
133,6.239867E-001,4.969435E-001
134,6.237238E-001,4.974082E-001
135,6.234623E-001,4.977512E-001
136,6.233222E-001,4.979551E-001
137,6.232851E-001,4.979971E-001
138,6.232583E-001,4.979197E-001
139,6.231603E-001,4.977948E-001
140,6.230357E-001,4.976128E-001
