t,norm_before,norm_after,unitarity_defect,energy,energy_delta,energy_err
0,1.000000E+000,1.000000E+000,7.993606E-015,1.430707E+004,-6.002665E-011,6.002665E-011
1,1.000000E+000,1.000000E+000,1.998401E-014,1.430707E+004,7.821654E-011,7.821654E-011
2,1.000000E+000,1.000000E+000,1.065814E-014,1.430707E+004,6.548362E-011,6.548362E-011
3,1.000000E+000,1.000000E+000,8.881784E-015,1.430707E+004,9.640644E-011,9.640644E-011
4,1.000000E+000,1.000000E+000,2.753353E-014,1.430707E+004,2.673914E-010,2.673914E-010
5,1.000000E+000,1.000000E+000,3.108624E-015,1.430707E+004,1.055014E-010,1.055014E-010
6,1.000000E+000,1.000000E+000,1.998401E-014,1.430707E+004,2.564775E-010,2.564775E-010
7,1.000000E+000,1.000000E+000,1.199041E-014,1.430707E+004,6.966729E-010,6.966729E-010
8,1.000000E+000,1.000000E+000,1.332268E-014,1.430707E+004,4.110916E-010,4.110916E-010
9,1.000000E+000,1.000000E+000,7.549517E-015,1.430707E+004,4.311005E-010,4.311005E-010
10,1.000000E+000,1.000000E+000,6.217249E-015,1.430707E+004,7.585186E-010,7.585186E-010
11,1.000000E+000,1.000000E+000,2.886580E-014,1.430707E+004,7.039489E-010,7.039489E-010
12,1.000000E+000,1.000000E+000,-3.108624E-015,1.430707E+004,9.586074E-010,9.586074E-010
13,1.000000E+000,1.000000E+000,4.440892E-016,1.430707E+004,8.876668E-010,8.876668E-010
14,1.000000E+000,1.000000E+000,3.508305E-014,1.430707E+004,6.493792E-010,6.493792E-010
15,1.000000E+000,1.000000E+000,8.881784E-015,1.430707E+004,8.549250E-010,8.549250E-010
16,1.000000E+000,1.000000E+000,-1.021405E-014,1.430707E+004,9.931682E-010,9.931682E-010
17,1.000000E+000,1.000000E+000,4.529710E-014,1.430707E+004,1.185981E-009,1.185981E-009
18,1.000000E+000,1.000000E+000,-1.065814E-014,1.430707E+004,9.658834E-010,9.658834E-010
19,1.000000E+000,1.000000E+000,2.531308E-014,1.430707E+004,1.009539E-009,1.009539E-009
20,1.000000E+000,1.000000E+000,-8.881784E-016,1.430707E+004,1.216904E-009,1.216904E-009
21,1.000000E+000,1.000000E+000,1.199041E-014,1.430707E+004,1.307853E-009,1.307853E-009
22,1.000000E+000,1.000000E+000,2.575717E-014,1.430707E+004,1.324224E-009,1.324224E-009
23,1.000000E+000,1.000000E+000,4.440892E-016,1.430707E+004,1.014996E-009,1.014996E-009
24,1.000000E+000,1.000000E+000,1.421085E-014,1.430707E+004,1.296939E-009,1.296939E-009
