t,norm_err,energy_err,energy
0,3.108624E-015,6.002665E-011,1.430707E+004
1,1.310063E-014,7.821654E-011,1.430707E+004
2,1.842970E-014,6.548362E-011,1.430707E+004
3,2.287059E-014,9.640644E-011,1.430707E+004
4,3.663736E-014,2.673914E-010,1.430707E+004
5,3.819167E-014,1.055014E-010,1.430707E+004
6,4.818368E-014,2.564775E-010,1.430707E+004
7,5.417888E-014,6.966729E-010,1.430707E+004
8,6.084022E-014,4.110916E-010,1.430707E+004
9,6.461498E-014,4.311005E-010,1.430707E+004
10,6.772360E-014,7.585186E-010,1.430707E+004
11,8.215650E-014,7.039489E-010,1.430707E+004
12,8.060219E-014,9.586074E-010,1.430707E+004
13,8.082424E-014,8.876668E-010,1.430707E+004
14,9.836576E-014,6.493792E-010,1.430707E+004
15,1.028067E-013,8.549250E-010,1.430707E+004
16,9.769963E-014,9.931682E-010,1.430707E+004
17,1.203482E-013,1.185981E-009,1.430707E+004
18,1.150191E-013,9.658834E-010,1.430707E+004
19,1.276756E-013,1.009539E-009,1.430707E+004
20,1.272316E-013,1.216904E-009,1.430707E+004
21,1.332268E-013,1.307853E-009,1.430707E+004
22,1.461054E-013,1.324224E-009,1.430707E+004
23,1.463274E-013,1.014996E-009,1.430707E+004
24,1.534328E-013,1.296939E-009,1.430707E+004
25,1.598721E-013,1.506123E-009,1.430707E+004
26,1.665335E-013,1.484295E-009,1.430707E+004
27,1.785239E-013,1.344233E-009,1.430707E+004
28,1.685319E-013,1.718945E-009,1.430707E+004
29,1.867395E-013,1.831722E-009,1.430707E+004
30,1.809664E-013,1.527951E-009,1.430707E+004
31,1.987299E-013,1.558874E-009,1.430707E+004
32,2.007283E-013,1.762601E-009,1.430707E+004
33,2.087219E-013,1.626177E-009,1.430707E+004
34,2.162714E-013,1.755325E-009,1.430707E+004
35,2.171596E-013,1.886292E-009,1.430707E+004
36,2.324807E-013,1.911758E-009,1.430707E+004
37,2.415845E-013,2.039087E-009,1.430707E+004
38,2.375877E-013,2.202796E-009,1.430707E+004
39,2.420286E-013,2.288289E-009,1.430707E+004
40,2.486900E-013,2.421075E-009,1.430707E+004
41,2.531308E-013,1.986336E-009,1.430707E+004
42,2.606804E-013,2.122761E-009,1.430707E+004
43,2.668976E-013,2.339220E-009,1.430707E+004
44,2.726708E-013,2.515662E-009,1.430707E+004
45,2.884359E-013,2.555680E-009,1.430707E+004
46,2.919887E-013,2.692104E-009,1.430707E+004
47,2.877698E-013,2.559318E-009,1.430707E+004
48,2.948752E-013,2.377419E-009,1.430707E+004
49,3.055334E-013,2.630259E-009,1.430707E+004
50,3.090861E-013,2.663000E-009,1.430707E+004
51,3.133049E-013,2.612069E-009,1.430707E+004
52,3.188561E-013,2.793968E-009,1.430707E+004
53,3.308465E-013,2.979505E-009,1.430707E+004
54,3.368417E-013,3.079549E-009,1.430707E+004
55,3.408385E-013,2.974048E-009,1.430707E+004
56,3.541611E-013,2.970410E-009,1.430707E+004
57,3.539391E-013,2.863089E-009,1.430707E+004
58,3.625988E-013,2.954039E-009,1.430707E+004
59,3.670397E-013,3.070454E-009,1.430707E+004
60,3.648193E-013,3.523382E-009,1.430707E+004
61,3.890221E-013,3.337846E-009,1.430707E+004
62,3.812506E-013,3.399691E-009,1.430707E+004
63,3.861356E-013,3.561581E-009,1.430707E+004
64,3.981260E-013,3.286914E-009,1.430707E+004
65,4.050094E-013,3.374225E-009,1.430707E+004
66,4.058975E-013,3.650712E-009,1.430707E+004
67,4.118927E-013,3.798050E-009,1.430707E+004
68,4.245493E-013,3.694367E-009,1.430707E+004
69,4.265477E-013,3.652531E-009,1.430707E+004
70,4.345413E-013,3.858077E-009,1.430707E+004
71,4.345413E-013,3.909008E-009,1.430707E+004
72,4.523049E-013,3.938112E-009,1.430707E+004
73,4.518608E-013,3.699824E-009,1.430707E+004
74,4.516387E-013,3.927198E-009,1.430707E+004
75,4.647394E-013,3.885361E-009,1.430707E+004
76,4.716227E-013,3.950845E-009,1.430707E+004
77,4.776179E-013,4.210960E-009,1.430707E+004
78,4.816147E-013,4.121830E-009,1.430707E+004
79,4.918288E-013,4.201866E-009,1.430707E+004
80,4.882761E-013,4.316462E-009,1.430707E+004
81,5.011547E-013,4.240064E-009,1.430707E+004
82,5.140333E-013,4.283720E-009,1.430707E+004
83,5.169198E-013,4.329195E-009,1.430707E+004
84,5.133671E-013,4.449248E-009,1.430707E+004
85,5.253575E-013,4.260073E-009,1.430707E+004
