t,energy,energy_c0
0,1.430707E+004,1.430707E+004
1,1.430707E+004,1.430707E+004
2,1.430707E+004,1.430707E+004
3,1.430707E+004,1.430707E+004
4,1.430707E+004,1.430707E+004
5,1.430707E+004,1.430707E+004
6,1.430707E+004,1.430707E+004
7,1.430707E+004,1.430707E+004
8,1.430707E+004,1.430707E+004
9,1.430707E+004,1.430707E+004
10,1.430707E+004,1.430707E+004
11,1.430707E+004,1.430707E+004
12,1.430707E+004,1.430707E+004
13,1.430707E+004,1.430707E+004
14,1.430707E+004,1.430707E+004
15,1.430707E+004,1.430707E+004
16,1.430707E+004,1.430707E+004
17,1.430707E+004,1.430707E+004
18,1.430707E+004,1.430707E+004
19,1.430707E+004,1.430707E+004
20,1.430707E+004,1.430707E+004
21,1.430707E+004,1.430707E+004
22,1.430707E+004,1.430707E+004
23,1.430707E+004,1.430707E+004
24,1.430707E+004,1.430707E+004
25,1.430707E+004,1.430707E+004
26,1.430707E+004,1.430707E+004
27,1.430707E+004,1.430707E+004
28,1.430707E+004,1.430707E+004
29,1.430707E+004,1.430707E+004
30,1.430707E+004,1.430707E+004
31,1.430707E+004,1.430707E+004
32,1.430707E+004,1.430707E+004
33,1.430707E+004,1.430707E+004
34,1.430707E+004,1.430707E+004
35,1.430707E+004,1.430707E+004
36,1.430707E+004,1.430707E+004
37,1.430707E+004,1.430707E+004
38,1.430707E+004,1.430707E+004
39,1.430707E+004,1.430707E+004
40,1.430707E+004,1.430707E+004
41,1.430707E+004,1.430707E+004
42,1.430707E+004,1.430707E+004
43,1.430707E+004,1.430707E+004
44,1.430707E+004,1.430707E+004
45,1.430707E+004,1.430707E+004
46,1.430707E+004,1.430707E+004
47,1.430707E+004,1.430707E+004
48,1.430707E+004,1.430707E+004
49,1.430707E+004,1.430707E+004
50,1.430707E+004,1.430707E+004
51,1.430707E+004,1.430707E+004
52,1.430707E+004,1.430707E+004
53,1.430707E+004,1.430707E+004
54,1.430707E+004,1.430707E+004
55,1.430707E+004,1.430707E+004
56,1.430707E+004,1.430707E+004
57,1.430707E+004,1.430707E+004
58,1.430707E+004,1.430707E+004
59,1.430707E+004,1.430707E+004
60,1.430707E+004,1.430707E+004
61,1.430707E+004,1.430707E+004
62,1.430707E+004,1.430707E+004
63,1.430707E+004,1.430707E+004
64,1.430707E+004,1.430707E+004
65,1.430707E+004,1.430707E+004
66,1.430707E+004,1.430707E+004
67,1.430707E+004,1.430707E+004
68,1.430707E+004,1.430707E+004
69,1.430707E+004,1.430707E+004
70,1.430707E+004,1.430707E+004
71,1.430707E+004,1.430707E+004
72,1.430707E+004,1.430707E+004
73,1.430707E+004,1.430707E+004
74,1.430707E+004,1.430707E+004
75,1.430707E+004,1.430707E+004
76,1.430707E+004,1.430707E+004
77,1.430707E+004,1.430707E+004
78,1.430707E+004,1.430707E+004
79,1.430707E+004,1.430707E+004
80,1.430707E+004,1.430707E+004
81,1.430707E+004,1.430707E+004
82,1.430707E+004,1.430707E+004
83,1.430707E+004,1.430707E+004
84,1.430707E+004,1.430707E+004
85,1.430707E+004,1.430707E+004
86,1.430707E+004,1.430707E+004
87,1.430707E+004,1.430707E+004
88,1.430707E+004,1.430707E+004
89,1.430707E+004,1.430707E+004
90,1.430707E+004,1.430707E+004
91,1.430707E+004,1.430707E+004
92,1.430707E+004,1.430707E+004
93,1.430707E+004,1.430707E+004
94,1.430707E+004,1.430707E+004
95,1.430707E+004,1.430707E+004
96,1.430707E+004,1.430707E+004
97,1.430707E+004,1.430707E+004
98,1.430707E+004,1.430707E+004
99,1.430707E+004,1.430707E+004
100,1.430707E+004,1.430707E+004
101,1.430707E+004,1.430707E+004
102,1.430707E+004,1.430707E+004
103,1.430707E+004,1.430707E+004
104,1.430707E+004,1.430707E+004
105,1.430707E+004,1.430707E+004
106,1.430707E+004,1.430707E+004
107,1.430707E+004,1.430707E+004
108,1.430707E+004,1.430707E+004
109,1.430707E+004,1.430707E+004
110,1.430707E+004,1.430707E+004
111,1.430707E+004,1.430707E+004
112,1.430707E+004,1.430707E+004
113,1.430707E+004,1.430707E+004
114,1.430707E+004,1.430707E+004
115,1.430707E+004,1.430707E+004
116,1.430707E+004,1.430707E+004
117,1.430707E+004,1.430707E+004
118,1.430707E+004,1.430707E+004
119,1.430707E+004,1.430707E+004
120,1.430707E+004,1.430707E+004
121,1.430707E+004,1.430707E+004
122,1.430707E+004,1.430707E+004
123,1.430707E+004,1.430707E+004
124,1.430707E+004,1.430707E+004
125,1.430707E+004,1.430707E+004
126,1.430707E+004,1.430707E+004
127,1.430707E+004,1.430707E+004
128,1.430707E+004,1.430707E+004
129,1.430707E+004,1.430707E+004
130,1.430707E+004,1.430707E+004
131,1.430707E+004,1.430707E+004
132,1.430707E+004,1.430707E+004
133,1.430707E+004,1.430707E+004
134,1.430707E+004,1.430707E+004
135,1.430707E+004,1.430707E+004
136,1.430707E+004,1.430707E+004
137,1.430707E+004,1.430707E+004
138,1.430707E+004,1.430707E+004
139,1.430707E+004,1.430707E+004
140,1.430707E+004,1.430707E+004
141,1.430707E+004,1.430707E+004
142,1.430707E+004,1.430707E+004
143,1.430707E+004,1.430707E+004
144,1.430707E+004,1.430707E+004
145,1.430707E+004,1.430707E+004
146,1.430707E+004,1.430707E+004
147,1.430707E+004,1.430707E+004
148,1.430707E+004,1.430707E+004
149,1.430707E+004,1.430707E+004
150,1.430707E+004,1.430707E+004
151,1.430707E+004,1.430707E+004
152,1.430707E+004,1.430707E+004
153,1.430707E+004,1.430707E+004
154,1.430707E+004,1.430707E+004
155,1.430707E+004,1.430707E+004
156,1.430707E+004,1.430707E+004
157,1.430707E+004,1.430707E+004
158,1.430707E+004,1.430707E+004
159,1.430707E+004,1.430707E+004
160,1.430707E+004,1.430707E+004
161,1.430707E+004,1.430707E+004
162,1.430707E+004,1.430707E+004
163,1.430707E+004,1.430707E+004
164,1.430707E+004,1.430707E+004
165,1.430707E+004,1.430707E+004
166,1.430707E+004,1.430707E+004
167,1.430707E+004,1.430707E+004
168,1.430707E+004,1.430707E+004
169,1.430707E+004,1.430707E+004
170,1.430707E+004,1.430707E+004
171,1.430707E+004,1.430707E+004
172,1.430707E+004,1.430707E+004
173,1.430707E+004,1.430707E+004
174,1.430707E+004,1.430707E+004
175,1.430707E+004,1.430707E+004
176,1.430707E+004,1.430707E+004
177,1.430707E+004,1.430707E+004
178,1.430707E+004,1.430707E+004
179,1.430707E+004,1.430707E+004
180,1.430707E+004,1.430707E+004
181,1.430707E+004,1.430707E+004
182,1.430707E+004,1.430707E+004
183,1.430707E+004,1.430707E+004
184,1.430707E+004,1.430707E+004
185,1.430707E+004,1.430707E+004
186,1.430707E+004,1.430707E+004
187,1.430707E+004,1.430707E+004
188,1.430707E+004,1.430707E+004
189,1.430707E+004,1.430707E+004
190,1.430707E+004,1.430707E+004
191,1.430707E+004,1.430707E+004
192,1.430707E+004,1.430707E+004
193,1.430707E+004,1.430707E+004
194,1.430707E+004,1.430707E+004
195,1.430707E+004,1.430707E+004
196,1.430707E+004,1.430707E+004
197,1.430707E+004,1.430707E+004
198,1.430707E+004,1.430707E+004
199,1.430707E+004,1.430707E+004
200,1.430707E+004,1.430707E+004
201,1.430707E+004,1.430707E+004
202,1.430707E+004,1.430707E+004
203,1.430707E+004,1.430707E+004
204,1.430707E+004,1.430707E+004
205,1.430707E+004,1.430707E+004
206,1.430707E+004,1.430707E+004
207,1.430707E+004,1.430707E+004
208,1.430707E+004,1.430707E+004
209,1.430707E+004,1.430707E+004
210,1.430707E+004,1.430707E+004
211,1.430707E+004,1.430707E+004
212,1.430707E+004,1.430707E+004
213,1.430707E+004,1.430707E+004
214,1.430707E+004,1.430707E+004
215,1.430707E+004,1.430707E+004
216,1.430707E+004,1.430707E+004
217,1.430707E+004,1.430707E+004
218,1.430707E+004,1.430707E+004
219,1.430707E+004,1.430707E+004
220,1.430707E+004,1.430707E+004
221,1.430707E+004,1.430707E+004
222,1.430707E+004,1.430707E+004
223,1.430707E+004,1.430707E+004
224,1.430707E+004,1.430707E+004
225,1.430707E+004,1.430707E+004
226,1.430707E+004,1.430707E+004
227,1.430707E+004,1.430707E+004
228,1.430707E+004,1.430707E+004
229,1.430707E+004,1.430707E+004
230,1.430707E+004,1.430707E+004
231,1.430707E+004,1.430707E+004
232,1.430707E+004,1.430707E+004
233,1.430707E+004,1.430707E+004
234,1.430707E+004,1.430707E+004
235,1.430707E+004,1.430707E+004
236,1.430707E+004,1.430707E+004
237,1.430707E+004,1.430707E+004
238,1.430707E+004,1.430707E+004
239,1.430707E+004,1.430707E+004
240,1.430707E+004,1.430707E+004
241,1.430707E+004,1.430707E+004
242,1.430707E+004,1.430707E+004
243,1.430707E+004,1.430707E+004
244,1.430707E+004,1.430707E+004
245,1.430707E+004,1.430707E+004
246,1.430707E+004,1.430707E+004
247,1.430707E+004,1.430707E+004
248,1.430707E+004,1.430707E+004
249,1.430707E+004,1.430707E+004
250,1.430707E+004,1.430707E+004
251,1.430707E+004,1.430707E+004
252,1.430707E+004,1.430707E+004
253,1.430707E+004,1.430707E+004
254,1.430707E+004,1.430707E+004
255,1.430707E+004,1.430707E+004
256,1.430707E+004,1.430707E+004
257,1.430707E+004,1.430707E+004
258,1.430707E+004,1.430707E+004
259,1.430707E+004,1.430707E+004
260,1.430707E+004,1.430707E+004
261,1.430707E+004,1.430707E+004
262,1.430707E+004,1.430707E+004
263,1.430707E+004,1.430707E+004
264,1.430707E+004,1.430707E+004
265,1.430707E+004,1.430707E+004
266,1.430707E+004,1.430707E+004
267,1.430707E+004,1.430707E+004
268,1.430707E+004,1.430707E+004
269,1.430707E+004,1.430707E+004
270,1.430707E+004,1.430707E+004
271,1.430707E+004,1.430707E+004
272,1.430707E+004,1.430707E+004
273,1.430707E+004,1.430707E+004
274,1.430707E+004,1.430707E+004
275,1.430707E+004,1.430707E+004
276,1.430707E+004,1.430707E+004
277,1.430707E+004,1.430707E+004
278,1.430707E+004,1.430707E+004
279,1.430707E+004,1.430707E+004
280,1.430707E+004,1.430707E+004
281,1.430707E+004,1.430707E+004
282,1.430707E+004,1.430707E+004
283,1.430707E+004,1.430707E+004
284,1.430707E+004,1.430707E+004
285,1.430707E+004,1.430707E+004
286,1.430707E+004,1.430707E+004
287,1.430707E+004,1.430707E+004
288,1.430707E+004,1.430707E+004
289,1.430707E+004,1.430707E+004
290,1.430707E+004,1.430707E+004
291,1.430707E+004,1.430707E+004
292,1.430707E+004,1.430707E+004
293,1.430707E+004,1.430707E+004
294,1.430707E+004,1.430707E+004
295,1.430707E+004,1.430707E+004
296,1.430707E+004,1.430707E+004
297,1.430707E+004,1.430707E+004
298,1.430707E+004,1.430707E+004
299,1.430707E+004,1.430707E+004
