t,prob,mean_x,mean_y,mean_z,variance,entropy,ipr,u_centroid,eps_fraction
0,2.611210E+005,6.681906E-001,4.978515E-001,0.000000E+000,1.445103E-002,1.043776E+001,1.892307E-003,1.725632E-002,7.911682E-003
1,2.611210E+005,6.684921E-001,4.989180E-001,0.000000E+000,1.565002E-002,1.103163E+001,1.680500E-003,1.857299E-002,7.797241E-003
2,2.611210E+005,6.686898E-001,4.999847E-001,0.000000E+000,1.756255E-002,1.128890E+001,1.567181E-003,2.060393E-002,7.797241E-003
3,2.611210E+005,6.684880E-001,5.010527E-001,0.000000E+000,1.998177E-002,1.177831E+001,1.327020E-003,2.313742E-002,7.797241E-003
4,2.611210E+005,6.674937E-001,5.021158E-001,0.000000E+000,2.258578E-002,1.195129E+001,1.267169E-003,2.584555E-002,7.797241E-003
5,2.611210E+005,6.655982E-001,5.031093E-001,0.000000E+000,2.510611E-002,1.219699E+001,1.154316E-003,2.845594E-002,7.797241E-003
6,2.611210E+005,6.630638E-001,5.038213E-001,0.000000E+000,2.735073E-002,1.238285E+001,1.063222E-003,3.076298E-002,7.797241E-003
7,2.611210E+005,6.602045E-001,5.039440E-001,0.000000E+000,2.914611E-002,1.257212E+001,9.651275E-004,3.256536E-002,7.797241E-003
8,2.611210E+005,6.572371E-001,5.033778E-001,0.000000E+000,3.047181E-002,1.265238E+001,9.232702E-004,3.383485E-002,7.797241E-003
9,2.611210E+005,6.543175E-001,5.023688E-001,0.000000E+000,3.147818E-002,1.292786E+001,7.865340E-004,3.475209E-002,7.797241E-003
10,2.611210E+005,6.515393E-001,5.011593E-001,0.000000E+000,3.229277E-002,1.306648E+001,7.470136E-004,3.547175E-002,7.797241E-003
11,2.611210E+005,6.489470E-001,4.997842E-001,0.000000E+000,3.304598E-002,1.320342E+001,6.743579E-004,3.612611E-002,7.797241E-003
12,2.611210E+005,6.465211E-001,4.983476E-001,0.000000E+000,3.394951E-002,1.337681E+001,5.993462E-004,3.693688E-002,7.797241E-003
13,2.611210E+005,6.442178E-001,4.970184E-001,0.000000E+000,3.510097E-002,1.347665E+001,5.681293E-004,3.801855E-002,7.797241E-003
14,2.611210E+005,6.420638E-001,4.957552E-001,0.000000E+000,3.639878E-002,1.360342E+001,5.052894E-004,3.926186E-002,7.797241E-003
15,2.611210E+005,6.401453E-001,4.944517E-001,0.000000E+000,3.776903E-002,1.373338E+001,4.554912E-004,4.057657E-002,7.797241E-003
16,2.611210E+005,6.385399E-001,4.931154E-001,0.000000E+000,3.923406E-002,1.382643E+001,4.323238E-004,4.197995E-002,7.797241E-003
17,2.611210E+005,6.372858E-001,4.917698E-001,0.000000E+000,4.073711E-002,1.393795E+001,3.869996E-004,4.341287E-002,7.797241E-003
