t,timestamp_utc,timestamp_local
0,2026-02-22T15:16:13.0346650+00:00,2026-02-22 17:16:13
1,2026-02-22T15:16:14.3212823+00:00,2026-02-22 17:16:14
2,2026-02-22T15:16:15.4872201+00:00,2026-02-22 17:16:15
3,2026-02-22T15:16:16.6391747+00:00,2026-02-22 17:16:16
4,2026-02-22T15:16:17.7739227+00:00,2026-02-22 17:16:17
5,2026-02-22T15:16:18.8972554+00:00,2026-02-22 17:16:18
6,2026-02-22T15:16:20.0049526+00:00,2026-02-22 17:16:20
7,2026-02-22T15:16:21.1232944+00:00,2026-02-22 17:16:21
8,2026-02-22T15:16:22.2369735+00:00,2026-02-22 17:16:22
9,2026-02-22T15:16:23.3616551+00:00,2026-02-22 17:16:23
10,2026-02-22T15:16:24.4780139+00:00,2026-02-22 17:16:24
11,2026-02-22T15:16:25.5827016+00:00,2026-02-22 17:16:25
12,2026-02-22T15:16:26.7028829+00:00,2026-02-22 17:16:26
13,2026-02-22T15:16:27.8260245+00:00,2026-02-22 17:16:27
14,2026-02-22T15:16:28.9503011+00:00,2026-02-22 17:16:28
15,2026-02-22T15:16:30.0895723+00:00,2026-02-22 17:16:30
16,2026-02-22T15:16:31.2119203+00:00,2026-02-22 17:16:31
17,2026-02-22T15:16:32.3351116+00:00,2026-02-22 17:16:32
18,2026-02-22T15:16:33.4577634+00:00,2026-02-22 17:16:33
19,2026-02-22T15:16:34.5988607+00:00,2026-02-22 17:16:34
20,2026-02-22T15:16:35.7379686+00:00,2026-02-22 17:16:35
21,2026-02-22T15:16:36.8730402+00:00,2026-02-22 17:16:36
22,2026-02-22T15:16:38.0042686+00:00,2026-02-22 17:16:38
23,2026-02-22T15:16:39.1479724+00:00,2026-02-22 17:16:39
24,2026-02-22T15:16:40.3203677+00:00,2026-02-22 17:16:40
25,2026-02-22T15:16:41.4734326+00:00,2026-02-22 17:16:41
26,2026-02-22T15:16:42.6482964+00:00,2026-02-22 17:16:42
27,2026-02-22T15:16:43.8167424+00:00,2026-02-22 17:16:43
28,2026-02-22T15:16:44.9861769+00:00,2026-02-22 17:16:44
29,2026-02-22T15:16:46.1534754+00:00,2026-02-22 17:16:46
30,2026-02-22T15:16:47.3176045+00:00,2026-02-22 17:16:47
31,2026-02-22T15:16:48.4985318+00:00,2026-02-22 17:16:48
32,2026-02-22T15:16:49.6743928+00:00,2026-02-22 17:16:49
33,2026-02-22T15:16:50.8451024+00:00,2026-02-22 17:16:50
34,2026-02-22T15:16:52.0095737+00:00,2026-02-22 17:16:52
35,2026-02-22T15:16:53.1821120+00:00,2026-02-22 17:16:53
36,2026-02-22T15:16:54.3634874+00:00,2026-02-22 17:16:54
37,2026-02-22T15:16:55.5571721+00:00,2026-02-22 17:16:55
38,2026-02-22T15:16:56.7274971+00:00,2026-02-22 17:16:56
39,2026-02-22T15:16:57.9064011+00:00,2026-02-22 17:16:57
40,2026-02-22T15:16:59.0826711+00:00,2026-02-22 17:16:59
41,2026-02-22T15:17:00.2536279+00:00,2026-02-22 17:17:00
42,2026-02-22T15:17:01.4464164+00:00,2026-02-22 17:17:01
43,2026-02-22T15:17:02.6233969+00:00,2026-02-22 17:17:02
44,2026-02-22T15:17:03.8018367+00:00,2026-02-22 17:17:03
45,2026-02-22T15:17:04.9768168+00:00,2026-02-22 17:17:04
46,2026-02-22T15:17:06.1939696+00:00,2026-02-22 17:17:06
47,2026-02-22T15:17:07.3884661+00:00,2026-02-22 17:17:07
48,2026-02-22T15:17:08.5745751+00:00,2026-02-22 17:17:08
