t,u_raw,u_norm,s_raw,s_norm,t_value,f,df_dt,delta_u,delta_s,t_eff,t_eff_status,regime
0,1.725632E-002,1.308521E+000,1.043776E+001,5.798758E-001,1.000000E+000,7.286448E-001,0.000000E+000,0.000000E+000,0.000000E+000,NaN,undefined_small_entropy_change,undefined
1,1.857299E-002,1.408362E+000,1.103163E+001,6.128681E-001,1.000000E+000,7.954935E-001,1.336975E+001,9.984107E-002,3.299232E-002,3.026191E+000,valid,diffusion
2,2.060393E-002,1.562365E+000,1.128890E+001,6.271614E-001,1.000000E+000,9.352035E-001,2.794200E+001,1.540033E-001,1.429330E-002,1.077451E+001,valid,diffusion
3,2.313742E-002,1.754475E+000,1.177831E+001,6.543505E-001,1.000000E+000,1.100125E+000,3.298430E+001,1.921106E-001,2.718912E-002,7.065715E+000,valid,diffusion
4,2.584555E-002,1.959829E+000,1.195129E+001,6.639603E-001,1.000000E+000,1.295868E+000,3.914869E+001,2.053533E-001,9.609855E-003,2.136903E+001,valid,diffusion
5,2.845594E-002,2.157771E+000,1.219699E+001,6.776104E-001,1.000000E+000,1.480160E+000,3.685838E+001,1.979420E-001,1.365010E-002,1.450114E+001,valid,diffusion
6,3.076298E-002,2.332710E+000,1.238285E+001,6.879358E-001,1.000000E+000,1.644774E+000,3.292267E+001,1.749388E-001,1.032540E-002,1.694256E+001,valid,diffusion
7,3.256536E-002,2.469382E+000,1.257212E+001,6.984514E-001,1.000000E+000,1.770930E+000,2.523136E+001,1.366723E-001,1.051553E-002,1.299718E+001,valid,diffusion
8,3.383485E-002,2.565645E+000,1.265238E+001,7.029100E-001,1.000000E+000,1.862735E+000,1.836092E+001,9.626318E-002,4.458576E-003,2.159056E+001,valid,diffusion
9,3.475209E-002,2.635198E+000,1.292786E+001,7.182143E-001,1.000000E+000,1.916984E+000,1.084975E+001,6.955307E-002,1.530431E-002,4.544672E+000,valid,diffusion
10,3.547175E-002,2.689769E+000,1.306648E+001,7.259155E-001,1.000000E+000,1.963853E+000,9.373879E+000,5.457061E-002,7.701222E-003,7.085968E+000,valid,diffusion
11,3.612611E-002,2.739388E+000,1.320342E+001,7.335234E-001,1.000000E+000,2.005864E+000,8.402241E+000,4.961909E-002,7.607880E-003,6.522065E+000,valid,diffusion
12,3.693688E-002,2.800867E+000,1.337681E+001,7.431559E-001,1.000000E+000,2.057711E+000,1.036933E+001,6.147918E-002,9.632517E-003,6.382463E+000,valid,diffusion
13,3.801855E-002,2.882889E+000,1.347665E+001,7.487028E-001,1.000000E+000,2.134186E+000,1.529499E+001,8.202187E-002,5.546924E-003,1.478691E+001,valid,diffusion
14,3.926186E-002,2.977167E+000,1.360342E+001,7.557455E-001,1.000000E+000,2.221422E+000,1.744709E+001,9.427809E-002,7.042661E-003,1.338671E+001,valid,diffusion
15,4.057657E-002,3.076860E+000,1.373338E+001,7.629656E-001,1.000000E+000,2.313894E+000,1.849451E+001,9.969269E-002,7.220142E-003,1.380758E+001,valid,diffusion
16,4.197995E-002,3.183275E+000,1.382643E+001,7.681349E-001,1.000000E+000,2.415140E+000,2.024928E+001,1.064157E-001,5.169273E-003,2.058620E+001,valid,diffusion
17,4.341287E-002,3.291931E+000,1.393795E+001,7.743305E-001,1.000000E+000,2.517601E+000,2.049209E+001,1.086560E-001,6.195582E-003,1.753767E+001,valid,diffusion
18,4.466648E-002,3.386991E+000,1.402240E+001,7.790225E-001,1.000000E+000,2.607968E+000,1.807345E+001,9.505924E-002,4.691990E-003,2.025990E+001,valid,diffusion
19,4.553434E-002,3.452799E+000,1.409260E+001,7.829224E-001,1.000000E+000,2.669877E+000,1.238170E+001,6.580847E-002,3.899949E-003,1.687419E+001,valid,diffusion
20,4.604218E-002,3.491308E+000,1.417634E+001,7.875742E-001,1.000000E+000,2.703734E+000,6.771499E+000,3.850932E-002,4.651827E-003,8.278323E+000,valid,diffusion
21,4.628047E-002,3.509378E+000,1.423615E+001,7.908972E-001,1.000000E+000,2.718480E+000,2.949225E+000,1.806911E-002,3.322990E-003,5.437607E+000,valid,diffusion
22,4.619589E-002,3.502964E+000,1.431343E+001,7.951903E-001,1.000000E+000,2.707773E+000,-2.141390E+000,-6.413866E-003,4.293085E-003,-1.493999E+000,valid,anomalous
23,4.594817E-002,3.484179E+000,1.436285E+001,7.979361E-001,1.000000E+000,2.686243E+000,-4.306047E+000,-1.878440E-002,2.745839E-003,-6.841040E+000,valid,anomalous
24,4.582213E-002,3.474622E+000,1.441182E+001,8.006567E-001,1.000000E+000,2.673965E+000,-2.455532E+000,-9.557074E-003,2.720586E-003,-3.512873E+000,valid,anomalous
25,4.577923E-002,3.471369E+000,1.445239E+001,8.029104E-001,1.000000E+000,2.668459E+000,-1.101370E+000,-3.253170E-003,2.253680E-003,-1.443492E+000,valid,anomalous
26,4.577162E-002,3.470792E+000,1.449098E+001,8.050547E-001,1.000000E+000,2.665738E+000,-5.442095E-001,-5.767489E-004,2.144299E-003,-2.689685E-001,valid,anomalous
27,4.589493E-002,3.480143E+000,1.453787E+001,8.076594E-001,1.000000E+000,2.672483E+000,1.349145E+000,9.350377E-003,2.604654E-003,3.589873E+000,valid,diffusion
28,4.618220E-002,3.501926E+000,1.459958E+001,8.110880E-001,1.000000E+000,2.690838E+000,3.670858E+000,2.178294E-002,3.428654E-003,6.353206E+000,valid,diffusion
29,4.668944E-002,3.540389E+000,1.465812E+001,8.143399E-001,1.000000E+000,2.726049E+000,7.042291E+000,3.846332E-002,3.251867E-003,1.182807E+001,valid,diffusion
30,4.735186E-002,3.590620E+000,1.469193E+001,8.162181E-001,1.000000E+000,2.774401E+000,9.670482E+000,5.023059E-002,1.878180E-003,2.674429E+001,valid,diffusion
31,4.807304E-002,3.645305E+000,1.474314E+001,8.190632E-001,1.000000E+000,2.826242E+000,1.036809E+001,5.468556E-002,2.845098E-003,1.922098E+001,valid,diffusion
32,4.889295E-002,3.707477E+000,1.476951E+001,8.205285E-001,1.000000E+000,2.886949E+000,1.214140E+001,6.217234E-002,1.465331E-003,4.242887E+001,valid,diffusion
33,4.966192E-002,3.765788E+000,1.483910E+001,8.243945E-001,1.000000E+000,2.941393E+000,1.088887E+001,5.831033E-002,3.865976E-003,1.508295E+001,valid,diffusion
34,5.018170E-002,3.805202E+000,1.486641E+001,8.259115E-001,1.000000E+000,2.979290E+000,7.579369E+000,3.941385E-002,1.517004E-003,2.598138E+001,valid,diffusion
35,5.049535E-002,3.828985E+000,1.490737E+001,8.281870E-001,1.000000E+000,3.000798E+000,4.301648E+000,2.378376E-002,2.275520E-003,1.045201E+001,valid,diffusion
36,5.079656E-002,3.851826E+000,1.495724E+001,8.309577E-001,1.000000E+000,3.020868E+000,4.013957E+000,2.284052E-002,2.770728E-003,8.243506E+000,valid,diffusion
37,5.125048E-002,3.886245E+000,1.499255E+001,8.329194E-001,1.000000E+000,3.053326E+000,6.491560E+000,3.441945E-002,1.961643E-003,1.754623E+001,valid,diffusion
38,5.183536E-002,3.930597E+000,1.506029E+001,8.366827E-001,1.000000E+000,3.093914E+000,8.117560E+000,4.435118E-002,3.763381E-003,1.178493E+001,valid,diffusion
39,5.258737E-002,3.987620E+000,1.510856E+001,8.393647E-001,1.000000E+000,3.148255E+000,1.086833E+001,5.702362E-002,2.681956E-003,2.126195E+001,valid,diffusion
40,5.355164E-002,4.060739E+000,1.513937E+001,8.410763E-001,1.000000E+000,3.219663E+000,1.428149E+001,7.311909E-002,1.711618E-003,4.271927E+001,valid,diffusion
41,5.448656E-002,4.131633E+000,1.518681E+001,8.437117E-001,1.000000E+000,3.287921E+000,1.365159E+001,7.089335E-002,2.635399E-003,2.690042E+001,valid,diffusion
42,5.527510E-002,4.191427E+000,1.523405E+001,8.463359E-001,1.000000E+000,3.345091E+000,1.143398E+001,5.979408E-002,2.624159E-003,2.278600E+001,valid,diffusion
43,5.601873E-002,4.247815E+000,1.526168E+001,8.478712E-001,1.000000E+000,3.399943E+000,1.097052E+001,5.638795E-002,1.535327E-003,3.672699E+001,valid,diffusion
44,5.664758E-002,4.295499E+000,1.530684E+001,8.503799E-001,1.000000E+000,3.445120E+000,9.035248E+000,4.768490E-002,2.508661E-003,1.900811E+001,valid,diffusion
45,5.700078E-002,4.322282E+000,1.533860E+001,8.521446E-001,1.000000E+000,3.470137E+000,5.003511E+000,2.678227E-002,1.764717E-003,1.517652E+001,valid,diffusion
46,5.711457E-002,4.330911E+000,1.537367E+001,8.540927E-001,1.000000E+000,3.476818E+000,1.336188E+000,8.629070E-003,1.948131E-003,4.429411E+000,valid,diffusion
47,5.719702E-002,4.337163E+000,1.539378E+001,8.552101E-001,1.000000E+000,3.481953E+000,1.026961E+000,6.252187E-003,1.117384E-003,5.595378E+000,valid,diffusion
48,5.729905E-002,4.344899E+000,1.543278E+001,8.573765E-001,1.000000E+000,3.487523E+000,1.113942E+000,7.736115E-003,2.166406E-003,3.570944E+000,valid,diffusion
49,5.736533E-002,4.349926E+000,1.546316E+001,8.590643E-001,1.000000E+000,3.490861E+000,6.677273E-001,5.026443E-003,1.687806E-003,2.978092E+000,valid,diffusion
50,5.742519E-002,4.354465E+000,1.547971E+001,8.599837E-001,1.000000E+000,3.494481E+000,7.239763E-001,4.539230E-003,9.193483E-004,4.937443E+000,valid,diffusion
51,5.757546E-002,4.365860E+000,1.548970E+001,8.605390E-001,1.000000E+000,3.505321E+000,2.167875E+000,1.139474E-002,5.553647E-004,2.051758E+001,valid,diffusion
52,5.792343E-002,4.392245E+000,1.552919E+001,8.627327E-001,1.000000E+000,3.529512E+000,4.838343E+000,2.638542E-002,2.193708E-003,1.202777E+001,valid,diffusion
53,5.836916E-002,4.426044E+000,1.556387E+001,8.646593E-001,1.000000E+000,3.561385E+000,6.374519E+000,3.379916E-002,1.926561E-003,1.754378E+001,valid,diffusion
54,5.881928E-002,4.460176E+000,1.559557E+001,8.664206E-001,1.000000E+000,3.593755E+000,6.474125E+000,3.413196E-002,1.761336E-003,1.937845E+001,valid,diffusion
55,5.935431E-002,4.500747E+000,1.562436E+001,8.680200E-001,1.000000E+000,3.632727E+000,7.794289E+000,4.057081E-002,1.599372E-003,2.536672E+001,valid,diffusion
