t,norm_before,norm_after
0,1.000000E+000,1.000000E+000
1,1.000000E+000,1.000000E+000
2,1.000000E+000,1.000000E+000
3,1.000000E+000,1.000000E+000
4,1.000000E+000,1.000000E+000
5,1.000000E+000,1.000000E+000
6,1.000000E+000,1.000000E+000
7,1.000000E+000,1.000000E+000
8,1.000000E+000,1.000000E+000
9,1.000000E+000,1.000000E+000
10,1.000000E+000,1.000000E+000
11,1.000000E+000,1.000000E+000
12,1.000000E+000,1.000000E+000
13,1.000000E+000,1.000000E+000
14,1.000000E+000,1.000000E+000
15,1.000000E+000,1.000000E+000
16,1.000000E+000,1.000000E+000
17,1.000000E+000,1.000000E+000
18,1.000000E+000,1.000000E+000
19,1.000000E+000,1.000000E+000
20,1.000000E+000,1.000000E+000
21,1.000000E+000,1.000000E+000
22,1.000000E+000,1.000000E+000
23,1.000000E+000,1.000000E+000
24,1.000000E+000,1.000000E+000
25,1.000000E+000,1.000000E+000
26,1.000000E+000,1.000000E+000
27,1.000000E+000,1.000000E+000
28,1.000000E+000,1.000000E+000
29,1.000000E+000,1.000000E+000
30,1.000000E+000,1.000000E+000
31,1.000000E+000,1.000000E+000
32,1.000000E+000,1.000000E+000
33,1.000000E+000,1.000000E+000
34,1.000000E+000,1.000000E+000
35,1.000000E+000,1.000000E+000
36,1.000000E+000,1.000000E+000
37,1.000000E+000,1.000000E+000
38,1.000000E+000,1.000000E+000
39,1.000000E+000,1.000000E+000
40,1.000000E+000,1.000000E+000
41,1.000000E+000,1.000000E+000
42,1.000000E+000,1.000000E+000
43,1.000000E+000,1.000000E+000
44,1.000000E+000,1.000000E+000
45,1.000000E+000,1.000000E+000
46,1.000000E+000,1.000000E+000
47,1.000000E+000,1.000000E+000
48,1.000000E+000,1.000000E+000
49,1.000000E+000,1.000000E+000
50,1.000000E+000,1.000000E+000
51,1.000000E+000,1.000000E+000
52,1.000000E+000,1.000000E+000
53,1.000000E+000,1.000000E+000
54,1.000000E+000,1.000000E+000
55,1.000000E+000,1.000000E+000
56,1.000000E+000,1.000000E+000
57,1.000000E+000,1.000000E+000
58,1.000000E+000,1.000000E+000
59,1.000000E+000,1.000000E+000
60,1.000000E+000,1.000000E+000
61,1.000000E+000,1.000000E+000
62,1.000000E+000,1.000000E+000
63,1.000000E+000,1.000000E+000
64,1.000000E+000,1.000000E+000
65,1.000000E+000,1.000000E+000
66,1.000000E+000,1.000000E+000
67,1.000000E+000,1.000000E+000
68,1.000000E+000,1.000000E+000
69,1.000000E+000,1.000000E+000
70,1.000000E+000,1.000000E+000
71,1.000000E+000,1.000000E+000
72,1.000000E+000,1.000000E+000
73,1.000000E+000,1.000000E+000
74,1.000000E+000,1.000000E+000
75,1.000000E+000,1.000000E+000
76,1.000000E+000,1.000000E+000
77,1.000000E+000,1.000000E+000
78,1.000000E+000,1.000000E+000
79,1.000000E+000,1.000000E+000
80,1.000000E+000,1.000000E+000
81,1.000000E+000,1.000000E+000
82,1.000000E+000,1.000000E+000
83,1.000000E+000,1.000000E+000
84,1.000000E+000,1.000000E+000
85,1.000000E+000,1.000000E+000
86,1.000000E+000,1.000000E+000
87,1.000000E+000,1.000000E+000
88,1.000000E+000,1.000000E+000
89,1.000000E+000,1.000000E+000
90,1.000000E+000,1.000000E+000
91,1.000000E+000,1.000000E+000
92,1.000000E+000,1.000000E+000
93,1.000000E+000,1.000000E+000
94,1.000000E+000,1.000000E+000
95,1.000000E+000,1.000000E+000
96,1.000000E+000,1.000000E+000
97,1.000000E+000,1.000000E+000
98,1.000000E+000,1.000000E+000
99,1.000000E+000,1.000000E+000
100,1.000000E+000,1.000000E+000
101,1.000000E+000,1.000000E+000
102,1.000000E+000,1.000000E+000
103,1.000000E+000,1.000000E+000
104,1.000000E+000,1.000000E+000
105,1.000000E+000,1.000000E+000
106,1.000000E+000,1.000000E+000
107,1.000000E+000,1.000000E+000
108,1.000000E+000,1.000000E+000
109,1.000000E+000,1.000000E+000
110,1.000000E+000,1.000000E+000
111,1.000000E+000,1.000000E+000
112,1.000000E+000,1.000000E+000
113,1.000000E+000,1.000000E+000
114,1.000000E+000,1.000000E+000
115,1.000000E+000,1.000000E+000
116,1.000000E+000,1.000000E+000
117,1.000000E+000,1.000000E+000
118,1.000000E+000,1.000000E+000
119,1.000000E+000,1.000000E+000
120,1.000000E+000,1.000000E+000
121,1.000000E+000,1.000000E+000
122,1.000000E+000,1.000000E+000
123,1.000000E+000,1.000000E+000
124,1.000000E+000,1.000000E+000
125,1.000000E+000,1.000000E+000
126,1.000000E+000,1.000000E+000
127,1.000000E+000,1.000000E+000
128,1.000000E+000,1.000000E+000
129,1.000000E+000,1.000000E+000
130,1.000000E+000,1.000000E+000
131,1.000000E+000,1.000000E+000
132,1.000000E+000,1.000000E+000
133,1.000000E+000,1.000000E+000
134,1.000000E+000,1.000000E+000
135,1.000000E+000,1.000000E+000
136,1.000000E+000,1.000000E+000
137,1.000000E+000,1.000000E+000
138,1.000000E+000,1.000000E+000
139,1.000000E+000,1.000000E+000
140,1.000000E+000,1.000000E+000
141,1.000000E+000,1.000000E+000
142,1.000000E+000,1.000000E+000
143,1.000000E+000,1.000000E+000
144,1.000000E+000,1.000000E+000
145,1.000000E+000,1.000000E+000
146,1.000000E+000,1.000000E+000
147,1.000000E+000,1.000000E+000
148,1.000000E+000,1.000000E+000
149,1.000000E+000,1.000000E+000
150,1.000000E+000,1.000000E+000
151,1.000000E+000,1.000000E+000
152,1.000000E+000,1.000000E+000
153,1.000000E+000,1.000000E+000
154,1.000000E+000,1.000000E+000
155,1.000000E+000,1.000000E+000
156,1.000000E+000,1.000000E+000
157,1.000000E+000,1.000000E+000
158,1.000000E+000,1.000000E+000
159,1.000000E+000,1.000000E+000
160,1.000000E+000,1.000000E+000
161,1.000000E+000,1.000000E+000
162,1.000000E+000,1.000000E+000
163,1.000000E+000,1.000000E+000
164,1.000000E+000,1.000000E+000
165,1.000000E+000,1.000000E+000
166,1.000000E+000,1.000000E+000
167,1.000000E+000,1.000000E+000
168,1.000000E+000,1.000000E+000
169,1.000000E+000,1.000000E+000
170,1.000000E+000,1.000000E+000
171,1.000000E+000,1.000000E+000
172,1.000000E+000,1.000000E+000
173,1.000000E+000,1.000000E+000
174,1.000000E+000,1.000000E+000
175,1.000000E+000,1.000000E+000
176,1.000000E+000,1.000000E+000
177,1.000000E+000,1.000000E+000
178,1.000000E+000,1.000000E+000
179,1.000000E+000,1.000000E+000
180,1.000000E+000,1.000000E+000
181,1.000000E+000,1.000000E+000
182,1.000000E+000,1.000000E+000
183,1.000000E+000,1.000000E+000
184,1.000000E+000,1.000000E+000
185,1.000000E+000,1.000000E+000
186,1.000000E+000,1.000000E+000
187,1.000000E+000,1.000000E+000
188,1.000000E+000,1.000000E+000
189,1.000000E+000,1.000000E+000
190,1.000000E+000,1.000000E+000
191,1.000000E+000,1.000000E+000
192,1.000000E+000,1.000000E+000
193,1.000000E+000,1.000000E+000
194,1.000000E+000,1.000000E+000
195,1.000000E+000,1.000000E+000
196,1.000000E+000,1.000000E+000
197,1.000000E+000,1.000000E+000
198,1.000000E+000,1.000000E+000
199,1.000000E+000,1.000000E+000
200,1.000000E+000,1.000000E+000
201,1.000000E+000,1.000000E+000
202,1.000000E+000,1.000000E+000
203,1.000000E+000,1.000000E+000
204,1.000000E+000,1.000000E+000
205,1.000000E+000,1.000000E+000
206,1.000000E+000,1.000000E+000
207,1.000000E+000,1.000000E+000
208,1.000000E+000,1.000000E+000
209,1.000000E+000,1.000000E+000
210,1.000000E+000,1.000000E+000
211,1.000000E+000,1.000000E+000
212,1.000000E+000,1.000000E+000
213,1.000000E+000,1.000000E+000
214,1.000000E+000,1.000000E+000
215,1.000000E+000,1.000000E+000
216,1.000000E+000,1.000000E+000
217,1.000000E+000,1.000000E+000
218,1.000000E+000,1.000000E+000
219,1.000000E+000,1.000000E+000
220,1.000000E+000,1.000000E+000
221,1.000000E+000,1.000000E+000
222,1.000000E+000,1.000000E+000
223,1.000000E+000,1.000000E+000
224,1.000000E+000,1.000000E+000
225,1.000000E+000,1.000000E+000
226,1.000000E+000,1.000000E+000
227,1.000000E+000,1.000000E+000
228,1.000000E+000,1.000000E+000
229,1.000000E+000,1.000000E+000
230,1.000000E+000,1.000000E+000
231,1.000000E+000,1.000000E+000
232,1.000000E+000,1.000000E+000
233,1.000000E+000,1.000000E+000
234,1.000000E+000,1.000000E+000
235,1.000000E+000,1.000000E+000
236,1.000000E+000,1.000000E+000
237,1.000000E+000,1.000000E+000
238,1.000000E+000,1.000000E+000
239,1.000000E+000,1.000000E+000
240,1.000000E+000,1.000000E+000
241,1.000000E+000,1.000000E+000
242,1.000000E+000,1.000000E+000
243,1.000000E+000,1.000000E+000
244,1.000000E+000,1.000000E+000
245,1.000000E+000,1.000000E+000
246,1.000000E+000,1.000000E+000
247,1.000000E+000,1.000000E+000
248,1.000000E+000,1.000000E+000
249,1.000000E+000,1.000000E+000
250,1.000000E+000,1.000000E+000
251,1.000000E+000,1.000000E+000
252,1.000000E+000,1.000000E+000
253,1.000000E+000,1.000000E+000
254,1.000000E+000,1.000000E+000
255,1.000000E+000,1.000000E+000
256,1.000000E+000,1.000000E+000
257,1.000000E+000,1.000000E+000
258,1.000000E+000,1.000000E+000
259,1.000000E+000,1.000000E+000
260,1.000000E+000,1.000000E+000
261,1.000000E+000,1.000000E+000
262,1.000000E+000,1.000000E+000
263,1.000000E+000,1.000000E+000
264,1.000000E+000,1.000000E+000
265,1.000000E+000,1.000000E+000
266,1.000000E+000,1.000000E+000
267,1.000000E+000,1.000000E+000
268,1.000000E+000,1.000000E+000
269,1.000000E+000,1.000000E+000
270,1.000000E+000,1.000000E+000
271,1.000000E+000,1.000000E+000
272,1.000000E+000,1.000000E+000
273,1.000000E+000,1.000000E+000
274,1.000000E+000,1.000000E+000
275,1.000000E+000,1.000000E+000
276,1.000000E+000,1.000000E+000
277,1.000000E+000,1.000000E+000
278,1.000000E+000,1.000000E+000
279,1.000000E+000,1.000000E+000
280,1.000000E+000,1.000000E+000
281,1.000000E+000,1.000000E+000
