t,prob,mean_x,mean_y,mean_z,variance,entropy,ipr,u_centroid,eps_fraction
0,4.080016E+003,3.672643E-001,5.775755E-001,0.000000E+000,1.776580E-001,8.739116E+000,4.409603E-003,2.810104E-001,8.241844E-001
1,4.080016E+003,3.666156E-001,5.769273E-001,0.000000E+000,1.762547E-001,1.010281E+001,2.250867E-003,2.798169E-001,7.551918E-001
2,4.080016E+003,3.658981E-001,5.762099E-001,0.000000E+000,1.747673E-001,1.098613E+001,1.523425E-003,2.785635E-001,6.883011E-001
3,4.080016E+003,3.651674E-001,5.754792E-001,0.000000E+000,1.733549E-001,1.168439E+001,1.093854E-003,2.773914E-001,6.271477E-001
4,4.080016E+003,3.644294E-001,5.747410E-001,0.000000E+000,1.720474E-001,1.222504E+001,8.345810E-004,2.763287E-001,5.698013E-001
5,4.080016E+003,3.636906E-001,5.740017E-001,0.000000E+000,1.708679E-001,1.268239E+001,6.606388E-004,2.753964E-001,5.161438E-001
6,4.080016E+003,3.629510E-001,5.732615E-001,0.000000E+000,1.698220E-001,1.307269E+001,5.381849E-004,2.746002E-001,4.639435E-001
7,4.080016E+003,3.622119E-001,5.725215E-001,0.000000E+000,1.689157E-001,1.341437E+001,4.489271E-004,2.739455E-001,4.118423E-001
8,4.080016E+003,3.614730E-001,5.717816E-001,0.000000E+000,1.681506E-001,1.371914E+001,3.812436E-004,2.734340E-001,3.634262E-001
9,4.080016E+003,3.607347E-001,5.710420E-001,0.000000E+000,1.675288E-001,1.399287E+001,3.288307E-004,2.730679E-001,3.182869E-001
10,4.080016E+003,3.599969E-001,5.703026E-001,0.000000E+000,1.670509E-001,1.424269E+001,2.871435E-004,2.728474E-001,2.740974E-001
11,4.080016E+003,3.592602E-001,5.695634E-001,0.000000E+000,1.667175E-001,1.447098E+001,2.534271E-004,2.727731E-001,2.334709E-001
12,4.080016E+003,3.585254E-001,5.688243E-001,0.000000E+000,1.665280E-001,1.468082E+001,2.256677E-004,2.728438E-001,1.994095E-001
13,4.080016E+003,3.577946E-001,5.680855E-001,0.000000E+000,1.664814E-001,1.487101E+001,2.025138E-004,2.730571E-001,1.705742E-001
14,4.080016E+003,3.570715E-001,5.673467E-001,0.000000E+000,1.665753E-001,1.503908E+001,1.830240E-004,2.734085E-001,1.455116E-001
15,4.080016E+003,3.563625E-001,5.666081E-001,0.000000E+000,1.668053E-001,1.518112E+001,1.665614E-004,2.738895E-001,1.234360E-001
16,4.080016E+003,3.556813E-001,5.658695E-001,0.000000E+000,1.671618E-001,1.530641E+001,1.524851E-004,2.744822E-001,1.037521E-001
17,4.080016E+003,3.550578E-001,5.651310E-001,0.000000E+000,1.676238E-001,1.542028E+001,1.401840E-004,2.751472E-001,8.633423E-002
18,4.080016E+003,3.545471E-001,5.643925E-001,0.000000E+000,1.681524E-001,1.551834E+001,1.295531E-004,2.758118E-001,7.106781E-002
19,4.080016E+003,3.542236E-001,5.636541E-001,0.000000E+000,1.686955E-001,1.560491E+001,1.203176E-004,2.763777E-001,5.767059E-002
20,4.080016E+003,3.541491E-001,5.629156E-001,0.000000E+000,1.692095E-001,1.569105E+001,1.119799E-004,2.767633E-001,4.606247E-002
21,4.080016E+003,3.543307E-001,5.621772E-001,0.000000E+000,1.696896E-001,1.577170E+001,1.045736E-004,2.769594E-001,3.652573E-002
22,4.080016E+003,3.547140E-001,5.614388E-001,0.000000E+000,1.701743E-001,1.584424E+001,9.808503E-005,2.770378E-001,2.936554E-002
23,4.080016E+003,3.552361E-001,5.607004E-001,0.000000E+000,1.707075E-001,1.591379E+001,9.224172E-005,2.770814E-001,2.332306E-002
24,4.080016E+003,3.558831E-001,5.599617E-001,0.000000E+000,1.712987E-001,1.598702E+001,8.686198E-005,2.771085E-001,1.813507E-002
25,4.080016E+003,3.566741E-001,5.592223E-001,0.000000E+000,1.719331E-001,1.605207E+001,8.210923E-005,2.770932E-001,1.348114E-002
26,4.080016E+003,3.576009E-001,5.584802E-001,0.000000E+000,1.726140E-001,1.611266E+001,7.781154E-005,2.770438E-001,9.532928E-003
27,4.080016E+003,3.586288E-001,5.577308E-001,0.000000E+000,1.733609E-001,1.616947E+001,7.389724E-005,2.770005E-001,8.201599E-003
28,4.080016E+003,3.597479E-001,5.569631E-001,0.000000E+000,1.741697E-001,1.621775E+001,7.037944E-005,2.769634E-001,7.869720E-003
29,4.080016E+003,3.609681E-001,5.561551E-001,0.000000E+000,1.750116E-001,1.627235E+001,6.708082E-005,2.768937E-001,7.808685E-003
30,4.080016E+003,3.622770E-001,5.552731E-001,0.000000E+000,1.758632E-001,1.631524E+001,6.400506E-005,2.767688E-001,7.801056E-003
31,4.080016E+003,3.636560E-001,5.542747E-001,0.000000E+000,1.766978E-001,1.635220E+001,6.114077E-005,2.765650E-001,7.797241E-003
32,4.080016E+003,3.651085E-001,5.531231E-001,0.000000E+000,1.774779E-001,1.638720E+001,5.848806E-005,2.762360E-001,7.797241E-003
33,4.080016E+003,3.666334E-001,5.518079E-001,0.000000E+000,1.781926E-001,1.641899E+001,5.584187E-005,2.757711E-001,7.797241E-003
34,4.080016E+003,3.682162E-001,5.503508E-001,0.000000E+000,1.788702E-001,1.643923E+001,5.338235E-005,2.752136E-001,7.797241E-003
35,4.080016E+003,3.698559E-001,5.487895E-001,0.000000E+000,1.795428E-001,1.646609E+001,5.126344E-005,2.746058E-001,7.797241E-003
