t,timestamp_utc,timestamp_local
0,2026-02-22T18:55:32.9232973+00:00,2026-02-22 20:55:32
1,2026-02-22T18:55:52.5352129+00:00,2026-02-22 20:55:52
2,2026-02-22T18:56:09.4199356+00:00,2026-02-22 20:56:09
3,2026-02-22T18:56:24.8165622+00:00,2026-02-22 20:56:24
4,2026-02-22T18:56:40.2660245+00:00,2026-02-22 20:56:40
5,2026-02-22T18:56:55.9879346+00:00,2026-02-22 20:56:55
6,2026-02-22T18:57:12.6587523+00:00,2026-02-22 20:57:12
7,2026-02-22T18:57:28.4990299+00:00,2026-02-22 20:57:28
8,2026-02-22T18:57:45.1329165+00:00,2026-02-22 20:57:45
9,2026-02-22T18:58:01.9777733+00:00,2026-02-22 20:58:01
10,2026-02-22T18:58:18.7211052+00:00,2026-02-22 20:58:18
11,2026-02-22T18:58:35.7443111+00:00,2026-02-22 20:58:35
12,2026-02-22T18:58:52.6939839+00:00,2026-02-22 20:58:52
13,2026-02-22T18:59:09.5382123+00:00,2026-02-22 20:59:09
14,2026-02-22T18:59:26.3711788+00:00,2026-02-22 20:59:26
15,2026-02-22T18:59:43.2698340+00:00,2026-02-22 20:59:43
16,2026-02-22T18:59:59.5111867+00:00,2026-02-22 20:59:59
17,2026-02-22T19:00:16.6341266+00:00,2026-02-22 21:00:16
18,2026-02-22T19:00:34.2018933+00:00,2026-02-22 21:00:34
19,2026-02-22T19:00:52.2930289+00:00,2026-02-22 21:00:52
20,2026-02-22T19:01:10.2212348+00:00,2026-02-22 21:01:10
21,2026-02-22T19:01:28.3231108+00:00,2026-02-22 21:01:28
22,2026-02-22T19:01:46.3443550+00:00,2026-02-22 21:01:46
23,2026-02-22T19:02:03.3356921+00:00,2026-02-22 21:02:03
24,2026-02-22T19:02:20.7385534+00:00,2026-02-22 21:02:20
25,2026-02-22T19:02:37.8009722+00:00,2026-02-22 21:02:37
26,2026-02-22T19:02:55.8499586+00:00,2026-02-22 21:02:55
27,2026-02-22T19:03:13.7012761+00:00,2026-02-22 21:03:13
28,2026-02-22T19:03:31.7130020+00:00,2026-02-22 21:03:31
29,2026-02-22T19:03:49.6902835+00:00,2026-02-22 21:03:49
30,2026-02-22T19:04:08.5134483+00:00,2026-02-22 21:04:08
31,2026-02-22T19:04:27.1202348+00:00,2026-02-22 21:04:27
32,2026-02-22T19:04:44.9327168+00:00,2026-02-22 21:04:44
33,2026-02-22T19:05:02.6709288+00:00,2026-02-22 21:05:02
34,2026-02-22T19:05:20.7157645+00:00,2026-02-22 21:05:20
35,2026-02-22T19:05:39.0935029+00:00,2026-02-22 21:05:39
36,2026-02-22T19:05:58.2853290+00:00,2026-02-22 21:05:58
37,2026-02-22T19:06:16.7243324+00:00,2026-02-22 21:06:16
38,2026-02-22T19:06:35.5162034+00:00,2026-02-22 21:06:35
39,2026-02-22T19:06:53.5710154+00:00,2026-02-22 21:06:53
40,2026-02-22T19:07:12.5129380+00:00,2026-02-22 21:07:12
41,2026-02-22T19:07:31.5297054+00:00,2026-02-22 21:07:31
42,2026-02-22T19:07:50.8391183+00:00,2026-02-22 21:07:50
43,2026-02-22T19:08:09.6532436+00:00,2026-02-22 21:08:09
44,2026-02-22T19:08:27.5303212+00:00,2026-02-22 21:08:27
45,2026-02-22T19:08:45.9016154+00:00,2026-02-22 21:08:45
46,2026-02-22T19:09:04.5547946+00:00,2026-02-22 21:09:04
47,2026-02-22T19:09:22.9913301+00:00,2026-02-22 21:09:22
48,2026-02-22T19:09:41.5486321+00:00,2026-02-22 21:09:41
49,2026-02-22T19:09:59.4722781+00:00,2026-02-22 21:09:59
50,2026-02-22T19:10:17.6093398+00:00,2026-02-22 21:10:17
51,2026-02-22T19:10:36.1728055+00:00,2026-02-22 21:10:36
52,2026-02-22T19:10:54.7850513+00:00,2026-02-22 21:10:54
53,2026-02-22T19:11:12.9038488+00:00,2026-02-22 21:11:12
54,2026-02-22T19:11:31.0333702+00:00,2026-02-22 21:11:31
55,2026-02-22T19:11:49.7219111+00:00,2026-02-22 21:11:49
56,2026-02-22T19:12:07.8536626+00:00,2026-02-22 21:12:07
57,2026-02-22T19:12:26.1009768+00:00,2026-02-22 21:12:26
58,2026-02-22T19:12:44.7355785+00:00,2026-02-22 21:12:44
59,2026-02-22T19:13:02.7398726+00:00,2026-02-22 21:13:02
60,2026-02-22T19:13:21.5351156+00:00,2026-02-22 21:13:21
61,2026-02-22T19:13:40.4420575+00:00,2026-02-22 21:13:40
62,2026-02-22T19:13:59.8126857+00:00,2026-02-22 21:13:59
63,2026-02-22T19:14:18.3842172+00:00,2026-02-22 21:14:18
64,2026-02-22T19:14:36.5496896+00:00,2026-02-22 21:14:36
65,2026-02-22T19:14:54.5436992+00:00,2026-02-22 21:14:54
66,2026-02-22T19:15:13.1542192+00:00,2026-02-22 21:15:13
67,2026-02-22T19:15:31.8784063+00:00,2026-02-22 21:15:31
68,2026-02-22T19:15:50.1606023+00:00,2026-02-22 21:15:50
69,2026-02-22T19:16:09.0589071+00:00,2026-02-22 21:16:09
70,2026-02-22T19:16:27.4433903+00:00,2026-02-22 21:16:27
71,2026-02-22T19:16:46.4900188+00:00,2026-02-22 21:16:46
72,2026-02-22T19:17:05.7417814+00:00,2026-02-22 21:17:05
73,2026-02-22T19:17:24.8271878+00:00,2026-02-22 21:17:24
74,2026-02-22T19:17:44.2694800+00:00,2026-02-22 21:17:44
75,2026-02-22T19:18:03.6083532+00:00,2026-02-22 21:18:03
76,2026-02-22T19:18:23.1713611+00:00,2026-02-22 21:18:23
77,2026-02-22T19:18:42.5912494+00:00,2026-02-22 21:18:42
78,2026-02-22T19:19:01.4457521+00:00,2026-02-22 21:19:01
79,2026-02-22T19:19:20.7623109+00:00,2026-02-22 21:19:20
80,2026-02-22T19:19:40.4325142+00:00,2026-02-22 21:19:40
81,2026-02-22T19:20:00.8700926+00:00,2026-02-22 21:20:00
82,2026-02-22T19:20:21.1967483+00:00,2026-02-22 21:20:21
83,2026-02-22T19:20:42.5563936+00:00,2026-02-22 21:20:42
84,2026-02-22T19:21:01.8768809+00:00,2026-02-22 21:21:01
85,2026-02-22T19:21:21.2553454+00:00,2026-02-22 21:21:21
86,2026-02-22T19:21:40.7504225+00:00,2026-02-22 21:21:40
