t,u_raw,u_norm,s_raw,s_norm,t_value,f,df_dt,delta_u,delta_s,t_eff,t_eff_status,regime
0,2.810104E-001,1.094283E+000,8.739116E+000,4.855064E-001,1.000000E+000,6.087769E-001,0.000000E+000,0.000000E+000,0.000000E+000,NaN,undefined_small_entropy_change,undefined
1,2.798169E-001,1.089636E+000,1.010281E+001,5.612673E-001,1.000000E+000,5.283684E-001,-8.040853E+000,-4.647629E-003,7.576090E-002,-6.134601E-002,valid,anomalous
2,2.785635E-001,1.084755E+000,1.098613E+001,6.103404E-001,1.000000E+000,4.744144E-001,-5.395404E+000,-4.880964E-003,4.907308E-002,-9.946317E-002,valid,anomalous
3,2.773914E-001,1.080190E+000,1.168439E+001,6.491327E-001,1.000000E+000,4.310577E-001,-4.335661E+000,-4.564315E-003,3.879230E-002,-1.176604E-001,valid,anomalous
4,2.763287E-001,1.076052E+000,1.222504E+001,6.791690E-001,1.000000E+000,3.968833E-001,-3.417448E+000,-4.138213E-003,3.003627E-002,-1.377739E-001,valid,anomalous
5,2.753964E-001,1.072422E+000,1.268239E+001,7.045771E-001,1.000000E+000,3.678448E-001,-2.903848E+000,-3.630335E-003,2.540814E-002,-1.428808E-001,valid,anomalous
6,2.746002E-001,1.069321E+000,1.307269E+001,7.262603E-001,1.000000E+000,3.430608E-001,-2.478398E+000,-3.100765E-003,2.168321E-002,-1.430030E-001,valid,anomalous
7,2.739455E-001,1.066772E+000,1.341437E+001,7.452429E-001,1.000000E+000,3.215287E-001,-2.153214E+000,-2.549506E-003,1.898263E-002,-1.343073E-001,valid,anomalous
8,2.734340E-001,1.064780E+000,1.371914E+001,7.621744E-001,1.000000E+000,3.026057E-001,-1.892300E+000,-1.991506E-003,1.693149E-002,-1.176214E-001,valid,anomalous
9,2.730679E-001,1.063354E+000,1.399287E+001,7.773819E-001,1.000000E+000,2.859723E-001,-1.663342E+000,-1.425961E-003,1.520746E-002,-9.376717E-002,valid,anomalous
10,2.728474E-001,1.062496E+000,1.424269E+001,7.912607E-001,1.000000E+000,2.712351E-001,-1.473712E+000,-8.583529E-004,1.387877E-002,-6.184649E-002,valid,anomalous
11,2.727731E-001,1.062206E+000,1.447098E+001,8.039436E-001,1.000000E+000,2.582627E-001,-1.297246E+000,-2.895136E-004,1.268294E-002,-2.282700E-002,valid,anomalous
12,2.728438E-001,1.062482E+000,1.468082E+001,8.156012E-001,1.000000E+000,2.468804E-001,-1.138232E+000,2.752544E-004,1.165757E-002,2.361164E-002,valid,diffusion
13,2.730571E-001,1.063312E+000,1.487101E+001,8.261671E-001,1.000000E+000,2.371453E-001,-9.735082E-001,8.308256E-004,1.056591E-002,7.863268E-002,valid,diffusion
14,2.734085E-001,1.064681E+000,1.503908E+001,8.355047E-001,1.000000E+000,2.291760E-001,-7.969314E-001,1.368260E-003,9.337574E-003,1.465327E-001,valid,diffusion
15,2.738895E-001,1.066554E+000,1.518112E+001,8.433955E-001,1.000000E+000,2.231583E-001,-6.017614E-001,1.873210E-003,7.890823E-003,2.373909E-001,valid,diffusion
16,2.744822E-001,1.068862E+000,1.530641E+001,8.503559E-001,1.000000E+000,2.185061E-001,-4.652295E-001,2.308110E-003,6.960405E-003,3.316057E-001,valid,diffusion
17,2.751472E-001,1.071451E+000,1.542028E+001,8.566822E-001,1.000000E+000,2.147692E-001,-3.736844E-001,2.589500E-003,6.326344E-003,4.093201E-001,valid,diffusion
18,2.758118E-001,1.074039E+000,1.551834E+001,8.621302E-001,1.000000E+000,2.119092E-001,-2.859982E-001,2.587940E-003,5.447922E-003,4.750325E-001,valid,diffusion
19,2.763777E-001,1.076243E+000,1.560491E+001,8.669393E-001,1.000000E+000,2.093039E-001,-2.605292E-001,2.203822E-003,4.809114E-003,4.582594E-001,valid,diffusion
20,2.767633E-001,1.077745E+000,1.569105E+001,8.717249E-001,1.000000E+000,2.060198E-001,-3.284128E-001,1.501521E-003,4.785649E-003,3.137550E-001,valid,diffusion
21,2.769594E-001,1.078508E+000,1.577170E+001,8.762056E-001,1.000000E+000,2.023026E-001,-3.717168E-001,7.634707E-004,4.480639E-003,1.703933E-001,valid,diffusion
22,2.770378E-001,1.078814E+000,1.584424E+001,8.802354E-001,1.000000E+000,1.985781E-001,-3.724494E-001,3.053132E-004,4.029808E-003,7.576372E-002,valid,diffusion
23,2.770814E-001,1.078983E+000,1.591379E+001,8.840996E-001,1.000000E+000,1.948839E-001,-3.694284E-001,1.699811E-004,3.864265E-003,4.398795E-002,valid,diffusion
24,2.771085E-001,1.079089E+000,1.598702E+001,8.881677E-001,1.000000E+000,1.909212E-001,-3.962699E-001,1.053409E-004,4.068039E-003,2.589476E-002,valid,diffusion
25,2.770932E-001,1.079029E+000,1.605207E+001,8.917816E-001,1.000000E+000,1.872475E-001,-3.673699E-001,-5.972788E-005,3.613971E-003,-1.652694E-002,valid,anomalous
26,2.770438E-001,1.078837E+000,1.611266E+001,8.951478E-001,1.000000E+000,1.836890E-001,-3.558501E-001,-1.923115E-004,3.366190E-003,-5.713033E-002,valid,anomalous
27,2.770005E-001,1.078668E+000,1.616947E+001,8.983041E-001,1.000000E+000,1.803641E-001,-3.324867E-001,-1.686130E-004,3.156254E-003,-5.342189E-002,valid,anomalous
28,2.769634E-001,1.078524E+000,1.621775E+001,9.009861E-001,1.000000E+000,1.775376E-001,-2.826528E-001,-1.444678E-004,2.682060E-003,-5.386448E-002,valid,anomalous
29,2.768937E-001,1.078253E+000,1.627235E+001,9.040195E-001,1.000000E+000,1.742330E-001,-3.304561E-001,-2.711829E-004,3.033378E-003,-8.939964E-002,valid,anomalous
30,2.767688E-001,1.077766E+000,1.631524E+001,9.064024E-001,1.000000E+000,1.713637E-001,-2.869328E-001,-4.864487E-004,2.382879E-003,-2.041433E-001,valid,anomalous
31,2.765650E-001,1.076972E+000,1.635220E+001,9.084556E-001,1.000000E+000,1.685168E-001,-2.846891E-001,-7.937352E-004,2.053156E-003,-3.865928E-001,valid,anomalous
32,2.762360E-001,1.075691E+000,1.638720E+001,9.104000E-001,1.000000E+000,1.652911E-001,-3.225651E-001,-1.281218E-003,1.944433E-003,-6.589159E-001,valid,anomalous
33,2.757711E-001,1.073881E+000,1.641899E+001,9.121661E-001,1.000000E+000,1.617149E-001,-3.576251E-001,-1.810113E-003,1.766137E-003,-1.024900E+000,valid,anomalous
34,2.752136E-001,1.071710E+000,1.643923E+001,9.132906E-001,1.000000E+000,1.584194E-001,-3.295474E-001,-2.171049E-003,1.124425E-003,-1.930807E+000,valid,anomalous
35,2.746058E-001,1.069343E+000,1.646609E+001,9.147827E-001,1.000000E+000,1.545606E-001,-3.858830E-001,-2.366729E-003,1.492101E-003,-1.586173E+000,valid,anomalous
36,2.739717E-001,1.066874E+000,1.649138E+001,9.161878E-001,1.000000E+000,1.506861E-001,-3.874463E-001,-2.469330E-003,1.405133E-003,-1.757364E+000,valid,anomalous
