t,cx,cy
0,2.192295E+000,-5.060523E-001
1,2.204811E+000,-5.053223E-001
2,2.223303E+000,-5.009097E-001
3,2.228443E+000,-4.909638E-001
4,2.225918E+000,-4.804957E-001
5,2.220001E+000,-4.721367E-001
6,2.211285E+000,-4.671219E-001
7,2.200819E+000,-4.662558E-001
8,2.187014E+000,-4.692505E-001
9,2.170320E+000,-4.755427E-001
10,2.152084E+000,-4.834119E-001
11,2.133503E+000,-4.910824E-001
12,2.116234E+000,-4.973563E-001
13,2.100740E+000,-5.014818E-001
14,2.087344E+000,-5.033957E-001
15,2.076363E+000,-5.029978E-001
16,2.067676E+000,-5.002838E-001
17,2.061277E+000,-4.954436E-001
18,2.056743E+000,-4.886542E-001
19,2.053497E+000,-4.803435E-001
20,2.051068E+000,-4.709096E-001
21,2.048814E+000,-4.607349E-001
22,2.046312E+000,-4.502462E-001
23,2.043225E+000,-4.396890E-001
24,2.039261E+000,-4.293122E-001
25,2.034359E+000,-4.192678E-001
26,2.028411E+000,-4.096123E-001
27,2.021342E+000,-4.004797E-001
28,2.013061E+000,-3.919460E-001
29,2.003386E+000,-3.841378E-001
30,1.992309E+000,-3.771503E-001
31,1.979968E+000,-3.709031E-001
32,1.966681E+000,-3.652593E-001
33,1.952881E+000,-3.599642E-001
34,1.938864E+000,-3.548018E-001
35,1.924785E+000,-3.497107E-001
36,1.910602E+000,-3.446985E-001
37,1.896138E+000,-3.398876E-001
38,1.881253E+000,-3.353433E-001
39,1.865873E+000,-3.309923E-001
40,1.850056E+000,-3.266963E-001
41,1.833922E+000,-3.222568E-001
42,1.817517E+000,-3.176003E-001
43,1.800800E+000,-3.128233E-001
44,1.783617E+000,-3.081228E-001
45,1.765765E+000,-3.037959E-001
46,1.747077E+000,-3.000980E-001
47,1.727429E+000,-2.972170E-001
48,1.706789E+000,-2.952716E-001
49,1.685223E+000,-2.942331E-001
50,1.662885E+000,-2.939739E-001
51,1.640052E+000,-2.942262E-001
52,1.617080E+000,-2.945908E-001
53,1.594365E+000,-2.946536E-001
54,1.572262E+000,-2.940373E-001
55,1.550983E+000,-2.925421E-001
56,1.530576E+000,-2.901904E-001
57,1.510930E+000,-2.871607E-001
58,1.491846E+000,-2.837474E-001
59,1.473120E+000,-2.802165E-001
60,1.454599E+000,-2.767155E-001
61,1.436255E+000,-2.732310E-001
62,1.418214E+000,-2.695312E-001
63,1.400745E+000,-2.652408E-001
64,1.384189E+000,-2.599094E-001
65,1.368818E+000,-2.531165E-001
66,1.354734E+000,-2.446940E-001
67,1.341828E+000,-2.349267E-001
68,1.329826E+000,-2.246979E-001
69,1.318280E+000,-2.152856E-001
70,1.306436E+000,-2.077514E-001
71,1.293149E+000,-2.023868E-001
72,1.277205E+000,-1.986581E-001
73,1.258127E+000,-1.958633E-001
74,1.236884E+000,-1.939184E-001
75,1.215603E+000,-1.933336E-001
76,1.196176E+000,-1.943555E-001
77,1.178918E+000,-1.961283E-001
78,1.162646E+000,-1.969691E-001
79,1.146256E+000,-1.957990E-001
80,1.130133E+000,-1.932744E-001
81,1.115703E+000,-1.912548E-001
82,1.103294E+000,-1.907414E-001
83,1.090557E+000,-1.902088E-001
84,1.073629E+000,-1.864479E-001
85,1.050588E+000,-1.776272E-001
86,1.023900E+000,-1.656420E-001
87,9.989016E-001,-1.549500E-001
88,9.794621E-001,-1.487310E-001
89,9.653404E-001,-1.465529E-001
90,9.539326E-001,-1.460020E-001
91,9.437660E-001,-1.458394E-001
92,9.350546E-001,-1.464369E-001
93,9.270871E-001,-1.473291E-001
94,9.171868E-001,-1.463055E-001
95,9.036115E-001,-1.421048E-001
96,8.881849E-001,-1.366995E-001
97,8.742543E-001,-1.333037E-001
98,8.626692E-001,-1.327727E-001
99,8.514691E-001,-1.335419E-001
