timestep,residual_norm,iterations,runtime_ms,condition_number_est,effective_dt,converged
0,9.0259265672456672E-13,165,2392.143,1.00009,0.01,1
1,8.8364113859794565E-13,165,2325.833,1.00009,0.01,1
2,9.9608766644853041E-13,164,2142.862,1.00009,0.01,1
3,9.6210775438021552E-13,164,2036.447,1.00009,0.01,1
4,9.2073130962674958E-13,164,2043.288,1.00009,0.01,1
5,8.7157869718244115E-13,164,2044.186,1.00009,0.01,1
6,9.4742353448691125E-13,163,2027.368,1.00009,0.01,1
7,8.8048933387517322E-13,163,2049.829,1.00009,0.01,1
8,9.3838011990596143E-13,162,2009.593,1.00009,0.01,1
9,9.9312064693924724E-13,161,2000.845,1.00009,0.01,1
10,9.0205127340711864E-13,161,2006.127,1.00009,0.01,1
11,9.4689493546558911E-13,160,1987.154,1.00009,0.01,1
12,9.979068388943423E-13,159,1974.287,1.00009,0.01,1
13,9.1610636866067817E-13,159,1988.556,1.00009,0.01,1
14,9.0176346347646648E-13,159,1993.286,1.00009,0.01,1
15,9.2816623389819361E-13,159,1970.361,1.00009,0.01,1
16,9.5259498753622604E-13,159,1971.574,1.00009,0.01,1
17,9.7510902335233853E-13,159,1972.838,1.00009,0.01,1
18,9.9699375988762946E-13,159,1974.654,1.00009,0.01,1
19,8.7727702122630276E-13,160,1983.544,1.00009,0.01,1
20,8.9255564599243373E-13,160,1984.575,1.00009,0.01,1
21,9.0681664892869594E-13,160,1986.757,1.00009,0.01,1
22,9.1864985538889816E-13,160,1982.640,1.00009,0.01,1
23,9.3030670946110465E-13,160,1983.816,1.00009,0.01,1
24,9.3966971626911107E-13,160,1983.498,1.00009,0.01,1
25,9.4869519215972451E-13,160,1990.010,1.00009,0.01,1
26,9.5564099846575861E-13,160,1984.430,1.00009,0.01,1
27,9.6263521808693022E-13,160,1983.747,1.00009,0.01,1
28,9.6796709425893146E-13,160,1985.341,1.00009,0.01,1
29,9.7264505828863759E-13,160,2058.393,1.00009,0.01,1
30,9.7687051836283136E-13,160,2059.492,1.00009,0.01,1
31,9.8002383496792552E-13,160,2109.092,1.00009,0.01,1
32,9.8240325414385619E-13,160,2030.762,1.00009,0.01,1
33,9.8510216579747993E-13,160,1992.220,1.00009,0.01,1
34,9.8690622376847986E-13,160,2031.020,1.00009,0.01,1
35,9.8787125058445604E-13,160,2034.489,1.00009,0.01,1
36,9.8811541078156157E-13,160,2015.876,1.00009,0.01,1
37,9.8774954081411391E-13,160,2010.753,1.00009,0.01,1
38,9.8731676961408651E-13,160,1993.461,1.00009,0.01,1
39,9.8658557605270851E-13,160,1985.435,1.00009,0.01,1
40,9.8558342489584056E-13,160,1985.355,1.00009,0.01,1
41,9.8448922461487123E-13,160,2082.940,1.00009,0.01,1
42,9.8332589648015976E-13,160,2074.490,1.00009,0.01,1
43,9.8215362916688991E-13,160,2068.243,1.00009,0.01,1
44,9.8095595288396357E-13,160,2063.030,1.00009,0.01,1
45,9.8000184834602199E-13,160,2062.147,1.00009,0.01,1
46,9.7898466637020562E-13,160,2059.045,1.00009,0.01,1
47,9.7805900488937393E-13,160,2075.316,1.00009,0.01,1
48,9.7703662726016815E-13,160,2093.152,1.00009,0.01,1
49,9.7581841062869255E-13,160,2085.122,1.00009,0.01,1
50,9.7435238160244411E-13,160,2062.318,1.00009,0.01,1
51,9.7267270863993369E-13,160,2066.392,1.00009,0.01,1
52,9.7076629586509517E-13,160,2083.931,1.00009,0.01,1
53,9.6869529008880916E-13,160,2066.018,1.00009,0.01,1
54,9.665001206471004E-13,160,2088.402,1.00009,0.01,1
55,9.6421038604266832E-13,160,2083.651,1.00009,0.01,1
56,9.6174916387675038E-13,160,2086.692,1.00009,0.01,1
57,9.5931081700060746E-13,160,2074.951,1.00009,0.01,1
58,9.5710788922891506E-13,160,2088.369,1.00009,0.01,1
59,9.5468283658125371E-13,160,2078.494,1.00009,0.01,1
60,9.5205052474719178E-13,160,2071.711,1.00009,0.01,1
61,9.4925893535392385E-13,160,805.645,1.00009,0.01,1
62,9.4640520368294863E-13,160,794.993,1.00009,0.01,1
63,9.4364266792600728E-13,160,799.366,1.00009,0.01,1
64,9.4102641160134968E-13,160,796.579,1.00009,0.01,1
65,9.3859214784021948E-13,160,789.963,1.00009,0.01,1
66,9.3629643473985897E-13,160,789.928,1.00009,0.01,1
67,9.3409356021525439E-13,160,790.114,1.00009,0.01,1
68,9.3496066528199163E-13,160,803.769,1.00009,0.01,1
69,9.3909611935750952E-13,160,796.093,1.00009,0.01,1
70,9.4128235984480815E-13,160,804.268,1.00009,0.01,1
71,9.4257039474553884E-13,160,798.556,1.00009,0.01,1
72,9.4178131792008643E-13,160,796.067,1.00009,0.01,1
73,9.3920291196140802E-13,160,789.502,1.00009,0.01,1
74,9.3568741864989918E-13,160,811.712,1.00009,0.01,1
75,9.3140781484377014E-13,160,804.287,1.00009,0.01,1
76,9.2667855179816425E-13,160,808.937,1.00009,0.01,1
77,9.2162532512452351E-13,160,788.069,1.00009,0.01,1
