t,energy
0,1.519413E+001
1,1.397029E+001
2,1.177380E+001
3,1.016412E+001
4,9.163324E+000
5,8.671774E+000
6,8.515827E+000
7,8.435442E+000
8,8.421004E+000
9,8.446741E+000
10,8.515816E+000
11,8.612008E+000
12,8.641799E+000
13,8.642669E+000
14,8.647246E+000
15,8.606855E+000
16,8.473110E+000
17,8.271039E+000
18,8.103968E+000
19,8.018958E+000
20,7.961705E+000
21,7.925401E+000
22,7.895314E+000
23,7.854522E+000
24,7.819409E+000
25,7.785605E+000
26,7.754832E+000
27,7.737200E+000
28,7.714575E+000
29,7.693006E+000
30,7.665739E+000
31,7.627251E+000
32,7.606809E+000
33,7.550355E+000
34,7.492687E+000
35,7.456043E+000
36,7.435983E+000
37,7.437818E+000
38,7.431288E+000
39,7.449854E+000
40,7.503150E+000
41,7.571920E+000
42,7.631690E+000
43,7.678779E+000
44,7.725635E+000
45,7.789750E+000
46,7.844662E+000
47,7.860783E+000
48,7.892613E+000
49,7.930895E+000
50,7.972622E+000
51,8.028957E+000
52,8.071179E+000
53,8.112772E+000
54,8.135644E+000
55,8.161989E+000
56,8.195450E+000
57,8.228345E+000
58,8.266050E+000
59,8.294215E+000
60,8.329618E+000
61,8.381947E+000
62,8.435058E+000
63,8.491637E+000
64,8.518578E+000
65,8.551263E+000
66,8.572704E+000
67,8.600805E+000
68,8.625847E+000
69,8.648066E+000
70,8.632500E+000
71,8.617976E+000
72,8.652617E+000
73,8.729576E+000
74,8.784576E+000
75,8.877043E+000
76,8.965679E+000
77,9.014389E+000
78,9.075529E+000
79,9.160649E+000
80,9.200509E+000
81,9.150661E+000
82,9.081836E+000
83,9.110509E+000
84,9.214444E+000
85,9.258960E+000
86,9.223029E+000
87,9.219767E+000
88,9.297727E+000
89,9.402845E+000
90,9.434067E+000
91,9.385355E+000
92,9.333256E+000
93,9.290638E+000
94,9.317330E+000
95,9.369614E+000
96,9.417222E+000
97,9.421603E+000
98,9.405718E+000
99,9.422423E+000
