t,norm_before,norm_after
0,9.970845E-001,1.000000E+000
1,9.951851E-001,1.000000E+000
2,9.977727E-001,1.000000E+000
3,1.000115E+000,1.000000E+000
4,1.001863E+000,1.000000E+000
5,1.003349E+000,1.000000E+000
6,1.004127E+000,1.000000E+000
7,1.004585E+000,1.000000E+000
8,1.004449E+000,1.000000E+000
9,1.003659E+000,1.000000E+000
10,1.002546E+000,1.000000E+000
11,1.001202E+000,1.000000E+000
12,9.999973E-001,1.000000E+000
13,9.991153E-001,1.000000E+000
14,9.985503E-001,1.000000E+000
15,9.983669E-001,1.000000E+000
16,9.984039E-001,1.000000E+000
17,9.985638E-001,1.000000E+000
18,9.987934E-001,1.000000E+000
19,9.989721E-001,1.000000E+000
20,9.991186E-001,1.000000E+000
21,9.992069E-001,1.000000E+000
22,9.992234E-001,1.000000E+000
23,9.992240E-001,1.000000E+000
24,9.991866E-001,1.000000E+000
25,9.991367E-001,1.000000E+000
26,9.990756E-001,1.000000E+000
27,9.989603E-001,1.000000E+000
28,9.988167E-001,1.000000E+000
29,9.986507E-001,1.000000E+000
30,9.985061E-001,1.000000E+000
31,9.984452E-001,1.000000E+000
32,9.984606E-001,1.000000E+000
33,9.985542E-001,1.000000E+000
34,9.986961E-001,1.000000E+000
35,9.988446E-001,1.000000E+000
36,9.989904E-001,1.000000E+000
37,9.990896E-001,1.000000E+000
38,9.991185E-001,1.000000E+000
39,9.990725E-001,1.000000E+000
40,9.989459E-001,1.000000E+000
41,9.987811E-001,1.000000E+000
42,9.986125E-001,1.000000E+000
43,9.984690E-001,1.000000E+000
44,9.983837E-001,1.000000E+000
45,9.983526E-001,1.000000E+000
46,9.983783E-001,1.000000E+000
47,9.984542E-001,1.000000E+000
48,9.985566E-001,1.000000E+000
49,9.986771E-001,1.000000E+000
50,9.987890E-001,1.000000E+000
51,9.988713E-001,1.000000E+000
52,9.989205E-001,1.000000E+000
53,9.989315E-001,1.000000E+000
54,9.989290E-001,1.000000E+000
55,9.989395E-001,1.000000E+000
56,9.989813E-001,1.000000E+000
57,9.990747E-001,1.000000E+000
58,9.992072E-001,1.000000E+000
59,9.993514E-001,1.000000E+000
60,9.994690E-001,1.000000E+000
61,9.995179E-001,1.000000E+000
62,9.995022E-001,1.000000E+000
63,9.994590E-001,1.000000E+000
64,9.994353E-001,1.000000E+000
65,9.994516E-001,1.000000E+000
66,9.994647E-001,1.000000E+000
67,9.994280E-001,1.000000E+000
68,9.993541E-001,1.000000E+000
69,9.993376E-001,1.000000E+000
70,9.995124E-001,1.000000E+000
71,9.999260E-001,1.000000E+000
72,1.000482E+000,1.000000E+000
73,1.000990E+000,1.000000E+000
74,1.001282E+000,1.000000E+000
75,1.001336E+000,1.000000E+000
76,1.001247E+000,1.000000E+000
77,1.001112E+000,1.000000E+000
78,1.000931E+000,1.000000E+000
79,1.000620E+000,1.000000E+000
80,1.000165E+000,1.000000E+000
81,9.997275E-001,1.000000E+000
82,9.995616E-001,1.000000E+000
83,9.997886E-001,1.000000E+000
84,1.000238E+000,1.000000E+000
85,1.000567E+000,1.000000E+000
86,1.000579E+000,1.000000E+000
87,1.000374E+000,1.000000E+000
88,1.000199E+000,1.000000E+000
89,1.000153E+000,1.000000E+000
90,1.000130E+000,1.000000E+000
91,1.000059E+000,1.000000E+000
92,1.000055E+000,1.000000E+000
93,1.000233E+000,1.000000E+000
94,1.000457E+000,1.000000E+000
95,1.000446E+000,1.000000E+000
96,1.000141E+000,1.000000E+000
97,9.997771E-001,1.000000E+000
98,9.995691E-001,1.000000E+000
