t,prob,mean_x,mean_y,mean_z,variance,entropy,ipr,u_centroid,eps_fraction
0,2.520156E+002,7.740368E-001,4.367435E-001,0.000000E+000,1.020541E-001,8.601450E+000,3.767022E-003,1.150545E-001,7.922974E-001
1,2.520156E+002,7.756014E-001,4.368347E-001,0.000000E+000,1.004573E-001,8.673626E+000,3.598543E-003,1.138142E-001,7.306519E-001
2,2.520156E+002,7.779128E-001,4.373863E-001,0.000000E+000,9.815791E-002,8.853304E+000,3.179849E-003,1.120438E-001,6.722412E-001
3,2.520156E+002,7.785554E-001,4.386295E-001,0.000000E+000,9.773215E-002,9.074987E+000,2.699766E-003,1.117509E-001,6.185913E-001
4,2.520156E+002,7.782397E-001,4.399380E-001,0.000000E+000,9.841897E-002,9.292148E+000,2.321901E-003,1.123470E-001,5.655518E-001
5,2.520156E+002,7.775001E-001,4.409829E-001,0.000000E+000,9.961901E-002,9.487657E+000,2.081299E-003,1.133628E-001,5.158081E-001
6,2.520156E+002,7.764106E-001,4.416098E-001,0.000000E+000,1.011799E-001,9.660367E+000,1.924140E-003,1.146643E-001,4.689331E-001
7,2.520156E+002,7.751024E-001,4.417180E-001,0.000000E+000,1.028456E-001,9.814623E+000,1.791657E-003,1.160273E-001,4.266357E-001
8,2.520156E+002,7.733768E-001,4.413437E-001,0.000000E+000,1.047094E-001,9.954405E+000,1.660703E-003,1.175010E-001,3.890381E-001
9,2.520156E+002,7.712900E-001,4.405572E-001,0.000000E+000,1.066462E-001,1.008087E+001,1.534609E-003,1.189775E-001,3.520508E-001
10,2.520156E+002,7.690105E-001,4.395735E-001,0.000000E+000,1.084893E-001,1.019514E+001,1.420738E-003,1.203307E-001,3.168335E-001
11,2.520156E+002,7.666878E-001,4.386147E-001,0.000000E+000,1.101505E-001,1.030055E+001,1.320353E-003,1.215048E-001,2.817993E-001
12,2.520156E+002,7.645293E-001,4.378305E-001,0.000000E+000,1.114960E-001,1.040100E+001,1.230608E-003,1.224073E-001,2.487183E-001
13,2.520156E+002,7.625925E-001,4.373148E-001,0.000000E+000,1.125395E-001,1.049793E+001,1.149817E-003,1.230590E-001,2.171021E-001
14,2.520156E+002,7.609180E-001,4.370755E-001,0.000000E+000,1.133060E-001,1.059186E+001,1.077466E-003,1.234899E-001,1.869507E-001
