t,timestamp_utc,timestamp_local
0,2026-02-21T20:00:07.4404002+00:00,2026-02-21 22:00:07
1,2026-02-21T20:00:11.4059464+00:00,2026-02-21 22:00:11
2,2026-02-21T20:00:14.1955011+00:00,2026-02-21 22:00:14
3,2026-02-21T20:00:16.7402016+00:00,2026-02-21 22:00:16
4,2026-02-21T20:00:19.3296861+00:00,2026-02-21 22:00:19
5,2026-02-21T20:00:21.7520250+00:00,2026-02-21 22:00:21
6,2026-02-21T20:00:24.1643898+00:00,2026-02-21 22:00:24
7,2026-02-21T20:00:26.5524220+00:00,2026-02-21 22:00:26
8,2026-02-21T20:00:28.9589733+00:00,2026-02-21 22:00:28
9,2026-02-21T20:00:31.3261029+00:00,2026-02-21 22:00:31
10,2026-02-21T20:00:33.6832495+00:00,2026-02-21 22:00:33
11,2026-02-21T20:00:36.0496791+00:00,2026-02-21 22:00:36
12,2026-02-21T20:00:38.3881678+00:00,2026-02-21 22:00:38
13,2026-02-21T20:00:40.7174940+00:00,2026-02-21 22:00:40
14,2026-02-21T20:00:43.0741949+00:00,2026-02-21 22:00:43
15,2026-02-21T20:00:45.4407468+00:00,2026-02-21 22:00:45
16,2026-02-21T20:00:47.7731337+00:00,2026-02-21 22:00:47
17,2026-02-21T20:00:50.0856038+00:00,2026-02-21 22:00:50
18,2026-02-21T20:00:52.4069850+00:00,2026-02-21 22:00:52
19,2026-02-21T20:00:54.7255111+00:00,2026-02-21 22:00:54
20,2026-02-21T20:00:57.0371544+00:00,2026-02-21 22:00:57
21,2026-02-21T20:00:59.3510775+00:00,2026-02-21 22:00:59
22,2026-02-21T20:01:01.6706022+00:00,2026-02-21 22:01:01
23,2026-02-21T20:01:03.9796108+00:00,2026-02-21 22:01:03
24,2026-02-21T20:01:06.2990717+00:00,2026-02-21 22:01:06
25,2026-02-21T20:01:08.6225927+00:00,2026-02-21 22:01:08
26,2026-02-21T20:01:10.9494337+00:00,2026-02-21 22:01:10
27,2026-02-21T20:01:13.2782835+00:00,2026-02-21 22:01:13
28,2026-02-21T20:01:15.6043737+00:00,2026-02-21 22:01:15
29,2026-02-21T20:01:17.9119940+00:00,2026-02-21 22:01:17
