timestep,timestamp_utc,U,S,T,F,teff_undefined,gpu_temp_c,gpu_power_w,gpu_clock_mhz,is_f_spike,is_thermal_peak
0,2026-02-21T20:00:07.4849144+00:00,0.49955524669630136,0.61438930295520244,1,-0.11483405625890108,1,42,18.19,2355,0,0
1,2026-02-21T20:00:11.4085790+00:00,0.49417007060620033,0.61954473376559982,1,-0.12537466315939949,0,41,5.58,210,0,0
2,2026-02-21T20:00:14.1987646+00:00,0.48648293800284276,0.63237882180009297,1,-0.14589588379725021,0,40,2.93,210,0,0
3,2026-02-21T20:00:16.7418133+00:00,0.48521154742923084,0.64821333473456622,1,-0.16300178730533538,0,41,4.71,210,0,1
4,2026-02-21T20:00:19.3313176+00:00,0.487799756140465,0.66372489084284303,1,-0.17592513470237803,0,41,4.01,210,0,0
5,2026-02-21T20:00:21.7536076+00:00,0.49220993751246339,0.67768979147882014,1,-0.18547985396635674,0,40,2.3,210,0,0
6,2026-02-21T20:00:24.1662205+00:00,0.49786107778217092,0.6900261842984392,1,-0.19216510651626828,0,40,2.3,210,0,0
7,2026-02-21T20:00:26.5540129+00:00,0.50377896503513642,0.70104449343415887,1,-0.19726552839902245,0,40,2.28,210,0,0
8,2026-02-21T20:00:28.9604770+00:00,0.51017767639729272,0.71102889940572123,1,-0.2008512230084285,0,40,2.37,210,0,0
9,2026-02-21T20:00:31.3276564+00:00,0.51658868430543214,0.7200623537528108,1,-0.20347366944737866,0,40,2.46,210,0,0
10,2026-02-21T20:00:33.6847369+00:00,0.52246381266547948,0.7282246376926873,1,-0.20576082502720783,0,40,2.23,210,0,0
11,2026-02-21T20:00:36.0510907+00:00,0.52756182051014255,0.73575365826016481,1,-0.20819183775002226,0,40,2.51,210,0,0
12,2026-02-21T20:00:38.3896455+00:00,0.53148029075654113,0.74292886942082481,1,-0.21144857866428368,0,40,2.44,210,0,0
13,2026-02-21T20:00:40.7199317+00:00,0.53431021634667841,0.74985221199870244,1,-0.21554199565202403,0,40,2.26,210,0,0
14,2026-02-21T20:00:43.0756739+00:00,0.53618106926335996,0.75656116986300948,1,-0.22038010059964952,0,40,2.36,210,0,0
15,2026-02-21T20:00:45.4424141+00:00,0.53720914918265983,0.76320011843982627,1,-0.22599096925716644,0,40,2.46,210,0,0
16,2026-02-21T20:00:47.7746701+00:00,0.53766696726042829,0.76990811469140219,1,-0.2322411474309739,0,40,2.46,210,0,0
17,2026-02-21T20:00:50.0871250+00:00,0.5376644228080103,0.77651441949179312,1,-0.23884999668378282,0,40,2.41,210,0,0
18,2026-02-21T20:00:52.4083680+00:00,0.53737056015967621,0.78263642106868569,1,-0.24526586090900948,0,40,2.54,210,0,0
19,2026-02-21T20:00:54.7269266+00:00,0.53693797397839615,0.78807766553285175,1,-0.25113969155445559,0,40,2.32,210,0,0
20,2026-02-21T20:00:57.0387492+00:00,0.53641738985714349,0.7929256950889928,1,-0.25650830523184931,0,40,2.29,210,0,0
21,2026-02-21T20:00:59.3524518+00:00,0.53592864082533442,0.79736252809332364,1,-0.26143388726798922,0,40,2.46,210,0,0
22,2026-02-21T20:01:01.6720090+00:00,0.53550979552969924,0.80152371638104092,1,-0.26601392085134168,0,40,2.31,210,0,0
23,2026-02-21T20:01:03.9809673+00:00,0.53519062527347527,0.80549666006252252,1,-0.27030603478904724,0,40,2.58,210,0,0
24,2026-02-21T20:01:06.3004714+00:00,0.53502819803525981,0.80932081580928339,1,-0.27429261777402358,0,40,2.36,210,0,0
25,2026-02-21T20:01:08.6239633+00:00,0.53500935471822808,0.81301866626176089,1,-0.27800931154353281,0,40,2.27,210,0,0
26,2026-02-21T20:01:10.9509187+00:00,0.535163443085373,0.81657967312336943,1,-0.28141623003799643,0,40,2.39,210,0,0
27,2026-02-21T20:01:13.2796694+00:00,0.53549839281664746,0.8200121271428813,1,-0.28451373432623384,0,40,2.44,210,0,0
28,2026-02-21T20:01:15.6058066+00:00,0.53599877753637304,0.82338548874510953,1,-0.28738671120873649,0,40,2.28,210,0,0
29,2026-02-21T20:01:17.9134239+00:00,0.53668337800713972,0.82673323568363888,1,-0.29004985767649916,0,40,2.36,210,0,0
30,2026-02-21T20:01:20.4412936+00:00,0.53752885108056114,0.83006596177246394,1,-0.2925371106919028,0,40,2.88,210,0,0
31,2026-02-21T20:01:22.9035616+00:00,0.5385275805584725,0.83344838208804917,1,-0.29492080152957667,0,40,5.63,210,0,0
32,2026-02-21T20:01:25.4140757+00:00,0.53967819443273324,0.83692544104887978,1,-0.29724724661614654,0,42,18.41,2355,0,1
33,2026-02-21T20:01:27.7970500+00:00,0.54095869398563634,0.84039759771477784,1,-0.2994389037291415,0,41,11.66,210,0,0
34,2026-02-21T20:01:30.1517846+00:00,0.54238138922086543,0.84369401661140642,1,-0.30131262739054099,0,40,5.2,210,0,0
35,2026-02-21T20:01:32.7080981+00:00,0.54395367461863109,0.84672682324805293,1,-0.30277314862942184,0,42,9.02,2355,0,1
36,2026-02-21T20:01:35.2060475+00:00,0.54569315937027763,0.84951818792236622,1,-0.30382502855208859,0,42,18.54,2355,0,0
37,2026-02-21T20:01:37.7261213+00:00,0.54763376962753774,0.85215662699170713,1,-0.3045228573641694,0,41,8.85,210,0,0
38,2026-02-21T20:01:40.1099212+00:00,0.54977440010902545,0.85469653025967463,1,-0.30492213015064917,0,41,5.36,210,0,0
39,2026-02-21T20:01:42.5220268+00:00,0.55209704967837769,0.85710008467408738,1,-0.30500303499570969,0,41,5.25,210,0,0
40,2026-02-21T20:01:44.8787922+00:00,0.55455348810227023,0.85934955163744398,1,-0.30479606353517374,0,41,5.39,210,1,0
41,2026-02-21T20:01:47.2082448+00:00,0.55707621276379271,0.86152482333308023,1,-0.30444861056928751,0,41,5.4,210,1,0
42,2026-02-21T20:01:49.6401041+00:00,0.55962848397186682,0.86370620338702808,1,-0.30407771941516126,0,41,5.24,210,1,0
