timestamp_utc,phase,step,temperature_c,power_w,clock_mhz,delta_vs_previous
2026-02-21T20:00:06.2626728+00:00,idlepre,-1,42,18.22,2355,
2026-02-21T20:00:06.6024100+00:00,idlepre,-1,42,18.22,2355,0
2026-02-21T20:00:07.3864457+00:00,active,-1,42,18.19,2355,0
2026-02-21T20:00:08.9810916+00:00,active,0,41,5.58,210,-1
2026-02-21T20:00:11.8588961+00:00,active,1,40,2.93,210,-1
2026-02-21T20:00:14.5892329+00:00,active,2,41,4.71,210,1
2026-02-21T20:00:17.2856877+00:00,active,3,41,4.01,210,0
2026-02-21T20:00:19.7009618+00:00,active,4,40,2.3,210,-1
2026-02-21T20:00:22.1119194+00:00,active,5,40,2.3,210,0
2026-02-21T20:00:24.5178689+00:00,active,6,40,2.28,210,0
2026-02-21T20:00:26.9021773+00:00,active,7,40,2.37,210,0
2026-02-21T20:00:29.3096502+00:00,active,8,40,2.46,210,0
2026-02-21T20:00:31.6729202+00:00,active,9,40,2.23,210,0
2026-02-21T20:00:34.0368447+00:00,active,10,40,2.51,210,0
2026-02-21T20:00:36.3944430+00:00,active,11,40,2.44,210,0
2026-02-21T20:00:38.7314710+00:00,active,12,40,2.26,210,0
2026-02-21T20:00:41.0790321+00:00,active,13,40,2.36,210,0
2026-02-21T20:00:43.4404160+00:00,active,14,40,2.46,210,0
2026-02-21T20:00:45.7890825+00:00,active,15,40,2.46,210,0
2026-02-21T20:00:48.1075487+00:00,active,16,40,2.41,210,0
2026-02-21T20:00:50.4275387+00:00,active,17,40,2.54,210,0
2026-02-21T20:00:52.7442235+00:00,active,18,40,2.32,210,0
2026-02-21T20:00:55.0470670+00:00,active,19,40,2.29,210,0
2026-02-21T20:00:57.3596880+00:00,active,20,40,2.46,210,0
2026-02-21T20:00:59.6773043+00:00,active,21,40,2.31,210,0
2026-02-21T20:01:01.9904663+00:00,active,22,40,2.58,210,0
2026-02-21T20:01:04.3083989+00:00,active,23,40,2.36,210,0
2026-02-21T20:01:06.6324700+00:00,active,24,40,2.27,210,0
2026-02-21T20:01:08.9529005+00:00,active,25,40,2.39,210,0
2026-02-21T20:01:11.2873643+00:00,active,26,40,2.44,210,0
2026-02-21T20:01:13.6140698+00:00,active,27,40,2.28,210,0
2026-02-21T20:01:15.9199655+00:00,active,28,40,2.36,210,0
2026-02-21T20:01:18.3718698+00:00,active,29,40,2.88,210,0
2026-02-21T20:01:20.8015948+00:00,active,30,40,5.63,210,0
2026-02-21T20:01:23.2948663+00:00,active,31,42,18.41,2355,2
2026-02-21T20:01:25.7592721+00:00,active,32,41,11.66,210,-1
2026-02-21T20:01:28.1519049+00:00,active,33,40,5.2,210,-1
2026-02-21T20:01:30.6698105+00:00,active,34,42,9.02,2355,2
2026-02-21T20:01:33.1634390+00:00,active,35,42,18.54,2355,0
2026-02-21T20:01:35.7025998+00:00,active,36,41,8.85,210,-1
2026-02-21T20:01:38.0885675+00:00,active,37,41,5.36,210,0
2026-02-21T20:01:40.5210139+00:00,active,38,41,5.25,210,0
2026-02-21T20:01:42.8860052+00:00,active,39,41,5.39,210,0
2026-02-21T20:01:45.2155998+00:00,active,40,41,5.4,210,0
2026-02-21T20:01:47.5463057+00:00,active,41,41,5.24,210,0
2026-02-21T20:01:50.1513424+00:00,active,42,41,5.52,210,0
2026-02-21T20:01:52.6253471+00:00,active,43,41,5.24,210,0
2026-02-21T20:01:55.0484658+00:00,active,44,42,11.5,2355,1
2026-02-21T20:01:57.5039902+00:00,active,45,42,18.39,2355,0
2026-02-21T20:01:59.9265743+00:00,active,46,41,4.15,210,-1
2026-02-21T20:02:02.3502125+00:00,active,47,41,2.78,210,0
2026-02-21T20:02:04.7924532+00:00,active,48,41,2.49,210,0
2026-02-21T20:02:07.2502504+00:00,active,49,41,2.32,210,0
2026-02-21T20:02:09.6982788+00:00,active,50,41,2.38,210,0
2026-02-21T20:02:12.3903864+00:00,active,51,41,2.5,210,0
2026-02-21T20:02:14.8269325+00:00,active,52,41,2.55,210,0
2026-02-21T20:02:17.2896847+00:00,active,53,41,2.47,210,0
2026-02-21T20:02:19.7191808+00:00,active,54,41,2.5,210,0
2026-02-21T20:02:22.1671985+00:00,active,55,41,2.51,210,0
2026-02-21T20:02:24.6067628+00:00,active,56,41,2.56,210,0
2026-02-21T20:02:27.0528645+00:00,active,57,41,2.57,210,0
2026-02-21T20:02:29.4811946+00:00,active,58,41,2.61,210,0
2026-02-21T20:02:31.9213360+00:00,active,59,41,3.71,210,0
2026-02-21T20:02:34.3597309+00:00,active,60,41,2.84,210,0
2026-02-21T20:02:36.7664286+00:00,active,61,40,2.54,210,-1
2026-02-21T20:02:38.7577074+00:00,active,63,40,2.67,210,0
2026-02-21T20:02:40.7622684+00:00,active,65,40,2.64,210,0
2026-02-21T20:02:42.7497421+00:00,active,67,40,2.82,210,0
2026-02-21T20:02:44.7643577+00:00,active,69,40,2.72,210,0
2026-02-21T20:02:45.9216845+00:00,active,70,40,2.65,210,0
2026-02-21T20:02:47.9213927+00:00,active,72,40,2.81,210,0
2026-02-21T20:02:49.9035270+00:00,active,74,40,2.82,210,0
2026-02-21T20:02:51.9122657+00:00,active,76,40,2.88,210,0
2026-02-21T20:02:53.9007632+00:00,active,78,40,2.72,210,0
2026-02-21T20:02:55.8953651+00:00,active,80,40,2.68,210,0
2026-02-21T20:02:57.8879627+00:00,active,82,40,2.73,210,0
2026-02-21T20:02:59.9007787+00:00,active,84,40,2.84,210,0
2026-02-21T20:03:01.9209722+00:00,active,86,40,3.06,210,0
2026-02-21T20:03:03.9198726+00:00,active,88,40,2.76,210,0
2026-02-21T20:03:05.8906223+00:00,active,90,40,2.76,210,0
2026-02-21T20:03:07.9099078+00:00,active,92,40,2.84,210,0
2026-02-21T20:03:09.9120662+00:00,active,94,40,2.91,210,0
2026-02-21T20:03:11.9190666+00:00,active,96,40,2.7,210,0
2026-02-21T20:03:13.9041403+00:00,active,98,40,2.68,210,0
2026-02-21T20:03:15.3118702+00:00,idlepost,-1,40,2.47,210,0
2026-02-21T20:03:15.6596368+00:00,idlepost,-1,40,2.98,210,0
