t,u_raw,u_norm,s_raw,s_norm,t_value,f,df_dt,delta_u,delta_s,t_eff,t_eff_status,regime
0,1.150545E-001,4.995552E-001,8.601450E+000,6.143893E-001,1.000000E+000,-1.148341E-001,0.000000E+000,0.000000E+000,0.000000E+000,NaN,undefined_small_entropy_change,undefined
1,1.138142E-001,4.941701E-001,8.673626E+000,6.195447E-001,1.000000E+000,-1.253747E-001,-1.054061E+000,-5.385176E-003,5.155431E-003,-1.044564E+000,valid,anomalous
2,1.120438E-001,4.864829E-001,8.853304E+000,6.323788E-001,1.000000E+000,-1.458959E-001,-2.052122E+000,-7.687133E-003,1.283409E-002,-5.989621E-001,valid,anomalous
3,1.117509E-001,4.852115E-001,9.074987E+000,6.482133E-001,1.000000E+000,-1.630018E-001,-1.710590E+000,-1.271391E-003,1.583451E-002,-8.029237E-002,valid,anomalous
4,1.123470E-001,4.877998E-001,9.292148E+000,6.637249E-001,1.000000E+000,-1.759251E-001,-1.292335E+000,2.588209E-003,1.551156E-002,1.668568E-001,valid,diffusion
5,1.133628E-001,4.922099E-001,9.487657E+000,6.776898E-001,1.000000E+000,-1.854799E-001,-9.554719E-001,4.410181E-003,1.396490E-002,3.158047E-001,valid,diffusion
6,1.146643E-001,4.978611E-001,9.660367E+000,6.900262E-001,1.000000E+000,-1.921651E-001,-6.685253E-001,5.651140E-003,1.233639E-002,4.580869E-001,valid,diffusion
7,1.160273E-001,5.037790E-001,9.814623E+000,7.010445E-001,1.000000E+000,-1.972655E-001,-5.100422E-001,5.917887E-003,1.101831E-002,5.370958E-001,valid,diffusion
8,1.175010E-001,5.101777E-001,9.954405E+000,7.110289E-001,1.000000E+000,-2.008512E-001,-3.585695E-001,6.398711E-003,9.984406E-003,6.408705E-001,valid,diffusion
9,1.189775E-001,5.165887E-001,1.008087E+001,7.200624E-001,1.000000E+000,-2.034737E-001,-2.622446E-001,6.411008E-003,9.033454E-003,7.096962E-001,valid,diffusion
10,1.203307E-001,5.224638E-001,1.019514E+001,7.282246E-001,1.000000E+000,-2.057608E-001,-2.287156E-001,5.875128E-003,8.162284E-003,7.197898E-001,valid,diffusion
11,1.215048E-001,5.275618E-001,1.030055E+001,7.357537E-001,1.000000E+000,-2.081918E-001,-2.431013E-001,5.098008E-003,7.529021E-003,6.771143E-001,valid,diffusion
12,1.224073E-001,5.314803E-001,1.040100E+001,7.429289E-001,1.000000E+000,-2.114486E-001,-3.256741E-001,3.918470E-003,7.175211E-003,5.461122E-001,valid,diffusion
13,1.230590E-001,5.343102E-001,1.049793E+001,7.498522E-001,1.000000E+000,-2.155420E-001,-4.093417E-001,2.829926E-003,6.923343E-003,4.087513E-001,valid,diffusion
14,1.234899E-001,5.361811E-001,1.059186E+001,7.565612E-001,1.000000E+000,-2.203801E-001,-4.838105E-001,1.870853E-003,6.708958E-003,2.788589E-001,valid,diffusion
15,1.237267E-001,5.372091E-001,1.068480E+001,7.632001E-001,1.000000E+000,-2.259910E-001,-5.610869E-001,1.028080E-003,6.638949E-003,1.548558E-001,valid,diffusion
