t,cx,cy
0,6.217177E-001,4.808854E-001
1,7.585208E-001,4.482813E-001
2,7.976017E-001,4.462038E-001
3,8.297397E-001,4.464276E-001
4,8.570131E-001,4.476415E-001
5,8.807435E-001,4.493387E-001
6,9.017671E-001,4.512825E-001
7,9.206389E-001,4.533472E-001
8,9.377472E-001,4.554610E-001
9,9.533763E-001,4.575805E-001
10,9.677427E-001,4.596788E-001
11,9.810159E-001,4.617390E-001
12,9.933322E-001,4.637509E-001
13,1.004803E+000,4.657082E-001
14,1.015522E+000,4.676076E-001
15,1.025567E+000,4.694475E-001
16,1.035005E+000,4.712279E-001
17,1.043894E+000,4.729494E-001
18,1.052283E+000,4.746132E-001
19,1.060216E+000,4.762211E-001
20,1.067732E+000,4.777750E-001
21,1.074865E+000,4.792769E-001
22,1.081644E+000,4.807291E-001
23,1.088098E+000,4.821336E-001
24,1.094249E+000,4.834927E-001
25,1.100121E+000,4.848086E-001
26,1.105732E+000,4.860832E-001
27,1.111101E+000,4.873187E-001
28,1.116243E+000,4.885170E-001
29,1.121175E+000,4.896799E-001
30,1.125908E+000,4.908094E-001
31,1.130456E+000,4.919071E-001
32,1.134829E+000,4.929747E-001
33,1.139039E+000,4.940137E-001
34,1.143095E+000,4.950258E-001
35,1.147006E+000,4.960122E-001
36,1.150780E+000,4.969743E-001
37,1.154424E+000,4.979135E-001
38,1.157946E+000,4.988310E-001
39,1.161353E+000,4.997279E-001
40,1.164650E+000,5.006054E-001
41,1.167843E+000,5.014644E-001
42,1.170937E+000,5.023060E-001
43,1.173938E+000,5.031311E-001
44,1.176850E+000,5.039406E-001
45,1.179677E+000,5.047353E-001
46,1.182424E+000,5.055161E-001
47,1.185094E+000,5.062837E-001
48,1.187691E+000,5.070388E-001
49,1.190218E+000,5.077821E-001
50,1.192678E+000,5.085142E-001
51,1.195075E+000,5.092358E-001
52,1.197411E+000,5.099473E-001
53,1.199688E+000,5.106495E-001
54,1.201910E+000,5.113426E-001
55,1.204078E+000,5.120274E-001
56,1.206195E+000,5.127041E-001
57,1.208264E+000,5.133733E-001
58,1.210285E+000,5.140353E-001
59,1.212260E+000,5.146905E-001
60,1.214193E+000,5.153393E-001
61,1.216083E+000,5.159821E-001
62,1.217934E+000,5.166191E-001
63,1.219746E+000,5.172507E-001
64,1.221520E+000,5.178772E-001
65,1.223259E+000,5.184988E-001
66,1.224963E+000,5.191158E-001
67,1.226634E+000,5.197284E-001
68,1.228273E+000,5.203369E-001
69,1.229881E+000,5.209414E-001
70,1.231458E+000,5.215423E-001
71,1.233007E+000,5.221396E-001
72,1.234528E+000,5.227336E-001
73,1.236022E+000,5.233244E-001
74,1.237489E+000,5.239122E-001
75,1.238932E+000,5.244971E-001
76,1.240349E+000,5.250793E-001
77,1.241743E+000,5.256590E-001
78,1.243114E+000,5.262361E-001
79,1.244462E+000,5.268110E-001
80,1.245789E+000,5.273836E-001
81,1.247094E+000,5.279541E-001
82,1.248380E+000,5.285226E-001
83,1.249645E+000,5.290891E-001
84,1.250891E+000,5.296538E-001
85,1.252118E+000,5.302168E-001
86,1.253327E+000,5.307781E-001
87,1.254518E+000,5.313377E-001
88,1.255692E+000,5.318959E-001
89,1.256849E+000,5.324525E-001
90,1.257989E+000,5.330078E-001
91,1.259114E+000,5.335616E-001
92,1.260222E+000,5.341142E-001
93,1.261316E+000,5.346655E-001
94,1.262395E+000,5.352156E-001
95,1.263459E+000,5.357646E-001
96,1.264510E+000,5.363124E-001
97,1.265546E+000,5.368591E-001
98,1.266569E+000,5.374048E-001
99,1.267579E+000,5.379494E-001
