t,energy
0,1.702314E+001
1,3.111305E+001
2,2.733518E+001
3,2.496386E+001
4,2.330258E+001
5,2.204482E+001
6,2.103919E+001
7,2.020349E+001
8,1.948932E+001
9,1.886620E+001
10,1.831380E+001
11,1.781795E+001
12,1.736839E+001
13,1.695743E+001
14,1.657920E+001
15,1.622907E+001
16,1.590336E+001
17,1.559907E+001
18,1.531373E+001
19,1.504529E+001
20,1.479200E+001
21,1.455238E+001
22,1.432517E+001
23,1.410926E+001
24,1.390368E+001
25,1.370761E+001
26,1.352029E+001
27,1.334106E+001
28,1.316933E+001
29,1.300458E+001
30,1.284632E+001
31,1.269414E+001
32,1.254764E+001
33,1.240647E+001
34,1.227031E+001
35,1.213886E+001
36,1.201185E+001
37,1.188904E+001
38,1.177019E+001
39,1.165510E+001
40,1.154357E+001
41,1.143542E+001
42,1.133049E+001
43,1.122861E+001
44,1.112964E+001
45,1.103345E+001
46,1.093991E+001
47,1.084890E+001
48,1.076031E+001
49,1.067404E+001
50,1.058999E+001
51,1.050806E+001
52,1.042818E+001
53,1.035026E+001
54,1.027423E+001
55,1.020000E+001
56,1.012753E+001
57,1.005673E+001
58,9.987549E+000
59,9.919931E+000
60,9.853819E+000
61,9.789162E+000
62,9.725909E+000
63,9.664015E+000
64,9.603435E+000
65,9.544126E+000
66,9.486047E+000
67,9.429161E+000
68,9.373431E+000
69,9.318821E+000
70,9.265298E+000
71,9.212830E+000
72,9.161386E+000
73,9.110938E+000
74,9.061456E+000
75,9.012915E+000
76,8.965288E+000
77,8.918551E+000
78,8.872679E+000
79,8.827651E+000
80,8.783444E+000
81,8.740037E+000
82,8.697409E+000
83,8.655542E+000
84,8.614416E+000
85,8.574014E+000
86,8.534317E+000
87,8.495309E+000
88,8.456974E+000
89,8.419295E+000
90,8.382258E+000
91,8.345849E+000
92,8.310051E+000
93,8.274853E+000
94,8.240240E+000
95,8.206200E+000
96,8.172720E+000
97,8.139789E+000
98,8.107393E+000
99,8.075523E+000
