t,norm_before,norm_after
0,9.350647E-001,1.000000E+000
1,9.754224E-001,1.000000E+000
2,9.786566E-001,1.000000E+000
3,9.807279E-001,1.000000E+000
4,9.821996E-001,1.000000E+000
5,9.833250E-001,1.000000E+000
6,9.842312E-001,1.000000E+000
7,9.849884E-001,1.000000E+000
8,9.856381E-001,1.000000E+000
9,9.862069E-001,1.000000E+000
10,9.867127E-001,1.000000E+000
11,9.871678E-001,1.000000E+000
12,9.875813E-001,1.000000E+000
13,9.879601E-001,1.000000E+000
14,9.883094E-001,1.000000E+000
15,9.886334E-001,1.000000E+000
16,9.889352E-001,1.000000E+000
17,9.892176E-001,1.000000E+000
18,9.894828E-001,1.000000E+000
19,9.897327E-001,1.000000E+000
20,9.899688E-001,1.000000E+000
21,9.901924E-001,1.000000E+000
22,9.904047E-001,1.000000E+000
23,9.906067E-001,1.000000E+000
24,9.907992E-001,1.000000E+000
25,9.909830E-001,1.000000E+000
26,9.911589E-001,1.000000E+000
27,9.913273E-001,1.000000E+000
28,9.914888E-001,1.000000E+000
29,9.916439E-001,1.000000E+000
30,9.917930E-001,1.000000E+000
31,9.919365E-001,1.000000E+000
32,9.920748E-001,1.000000E+000
33,9.922082E-001,1.000000E+000
34,9.923370E-001,1.000000E+000
35,9.924614E-001,1.000000E+000
36,9.925817E-001,1.000000E+000
37,9.926982E-001,1.000000E+000
38,9.928109E-001,1.000000E+000
39,9.929202E-001,1.000000E+000
40,9.930262E-001,1.000000E+000
41,9.931291E-001,1.000000E+000
42,9.932289E-001,1.000000E+000
43,9.933260E-001,1.000000E+000
44,9.934203E-001,1.000000E+000
45,9.935121E-001,1.000000E+000
46,9.936014E-001,1.000000E+000
47,9.936883E-001,1.000000E+000
48,9.937730E-001,1.000000E+000
49,9.938556E-001,1.000000E+000
50,9.939360E-001,1.000000E+000
51,9.940145E-001,1.000000E+000
52,9.940911E-001,1.000000E+000
53,9.941659E-001,1.000000E+000
54,9.942389E-001,1.000000E+000
55,9.943102E-001,1.000000E+000
56,9.943799E-001,1.000000E+000
57,9.944480E-001,1.000000E+000
58,9.945147E-001,1.000000E+000
59,9.945798E-001,1.000000E+000
60,9.946436E-001,1.000000E+000
61,9.947060E-001,1.000000E+000
62,9.947671E-001,1.000000E+000
63,9.948269E-001,1.000000E+000
64,9.948855E-001,1.000000E+000
65,9.949428E-001,1.000000E+000
66,9.949991E-001,1.000000E+000
67,9.950542E-001,1.000000E+000
68,9.951083E-001,1.000000E+000
69,9.951613E-001,1.000000E+000
70,9.952133E-001,1.000000E+000
71,9.952643E-001,1.000000E+000
72,9.953143E-001,1.000000E+000
73,9.953634E-001,1.000000E+000
74,9.954116E-001,1.000000E+000
75,9.954589E-001,1.000000E+000
76,9.955054E-001,1.000000E+000
77,9.955510E-001,1.000000E+000
78,9.955959E-001,1.000000E+000
79,9.956399E-001,1.000000E+000
80,9.956832E-001,1.000000E+000
81,9.957257E-001,1.000000E+000
82,9.957674E-001,1.000000E+000
83,9.958085E-001,1.000000E+000
84,9.958489E-001,1.000000E+000
85,9.958886E-001,1.000000E+000
86,9.959276E-001,1.000000E+000
87,9.959660E-001,1.000000E+000
88,9.960037E-001,1.000000E+000
89,9.960408E-001,1.000000E+000
90,9.960774E-001,1.000000E+000
91,9.961133E-001,1.000000E+000
92,9.961487E-001,1.000000E+000
93,9.961835E-001,1.000000E+000
94,9.962177E-001,1.000000E+000
95,9.962514E-001,1.000000E+000
96,9.962846E-001,1.000000E+000
97,9.963173E-001,1.000000E+000
98,9.963494E-001,1.000000E+000
