t,prob,mean_x,mean_y,mean_z,variance,entropy,ipr,u_centroid,eps_fraction
0,2.520156E+002,5.777147E-001,5.601107E-001,0.000000E+000,1.828418E-001,8.695223E+000,3.263891E-003,2.028132E-001,7.044067E-001
1,2.520156E+002,5.948151E-001,5.560352E-001,0.000000E+000,1.598979E-001,8.658020E+000,3.380046E-003,1.764177E-001,7.053833E-001
2,2.520156E+002,5.997002E-001,5.557755E-001,0.000000E+000,1.546691E-001,8.705848E+000,3.273353E-003,1.705151E-001,6.981812E-001
3,2.520156E+002,6.037175E-001,5.558034E-001,0.000000E+000,1.506731E-001,8.743563E+000,3.205662E-003,1.660541E-001,6.900635E-001
4,2.520156E+002,6.071266E-001,5.559552E-001,0.000000E+000,1.474413E-001,8.776703E+000,3.149656E-003,1.624813E-001,6.863403E-001
5,2.520156E+002,6.100929E-001,5.561673E-001,0.000000E+000,1.447284E-001,8.807416E+000,3.097800E-003,1.595083E-001,6.806641E-001
6,2.520156E+002,6.127209E-001,5.564103E-001,0.000000E+000,1.423921E-001,8.836624E+000,3.047887E-003,1.569686E-001,6.755981E-001
7,2.520156E+002,6.150799E-001,5.566684E-001,0.000000E+000,1.403432E-001,8.864767E+000,2.999250E-003,1.547579E-001,6.676025E-001
8,2.520156E+002,6.172184E-001,5.569326E-001,0.000000E+000,1.385220E-001,8.892077E+000,2.951687E-003,1.528065E-001,6.643677E-001
9,2.520156E+002,6.191720E-001,5.571976E-001,0.000000E+000,1.368861E-001,8.918692E+000,2.905138E-003,1.510650E-001,6.610107E-001
10,2.520156E+002,6.209678E-001,5.574598E-001,0.000000E+000,1.354045E-001,8.944698E+000,2.859590E-003,1.494974E-001,6.537476E-001
11,2.520156E+002,6.226270E-001,5.577174E-001,0.000000E+000,1.340534E-001,8.970159E+000,2.815039E-003,1.480761E-001,6.470337E-001
12,2.520156E+002,6.241665E-001,5.579689E-001,0.000000E+000,1.328142E-001,8.995118E+000,2.771484E-003,1.467797E-001,6.435547E-001
13,2.520156E+002,6.256004E-001,5.582135E-001,0.000000E+000,1.316722E-001,9.019612E+000,2.728922E-003,1.455911E-001,6.376953E-001
14,2.520156E+002,6.269403E-001,5.584509E-001,0.000000E+000,1.306153E-001,9.043668E+000,2.687347E-003,1.444964E-001,6.328125E-001
15,2.520156E+002,6.281959E-001,5.586809E-001,0.000000E+000,1.296335E-001,9.067311E+000,2.646749E-003,1.434843E-001,6.273193E-001
16,2.520156E+002,6.293757E-001,5.589035E-001,0.000000E+000,1.287185E-001,9.090561E+000,2.607117E-003,1.425453E-001,6.224365E-001
17,2.520156E+002,6.304867E-001,5.591187E-001,0.000000E+000,1.278633E-001,9.113435E+000,2.568435E-003,1.416713E-001,6.185303E-001
18,2.520156E+002,6.315354E-001,5.593267E-001,0.000000E+000,1.270618E-001,9.135951E+000,2.530686E-003,1.408556E-001,6.144409E-001
19,2.520156E+002,6.325270E-001,5.595276E-001,0.000000E+000,1.263090E-001,9.158121E+000,2.493852E-003,1.400924E-001,6.097412E-001
20,2.520156E+002,6.334665E-001,5.597219E-001,0.000000E+000,1.256002E-001,9.179959E+000,2.457913E-003,1.393766E-001,6.033325E-001
21,2.520156E+002,6.343581E-001,5.599096E-001,0.000000E+000,1.249316E-001,9.201477E+000,2.422848E-003,1.387038E-001,5.986328E-001
22,2.520156E+002,6.352055E-001,5.600911E-001,0.000000E+000,1.242998E-001,9.222686E+000,2.388635E-003,1.380702E-001,5.935059E-001
23,2.520156E+002,6.360122E-001,5.602667E-001,0.000000E+000,1.237017E-001,9.243596E+000,2.355253E-003,1.374724E-001,5.914917E-001
24,2.520156E+002,6.367811E-001,5.604366E-001,0.000000E+000,1.231346E-001,9.264217E+000,2.322679E-003,1.369075E-001,5.875244E-001
25,2.520156E+002,6.375151E-001,5.606011E-001,0.000000E+000,1.225961E-001,9.284558E+000,2.290891E-003,1.363728E-001,5.787964E-001
26,2.520156E+002,6.382165E-001,5.607604E-001,0.000000E+000,1.220840E-001,9.304626E+000,2.259866E-003,1.358659E-001,5.761108E-001
27,2.520156E+002,6.388876E-001,5.609148E-001,0.000000E+000,1.215965E-001,9.324431E+000,2.229583E-003,1.353848E-001,5.728760E-001
28,2.520156E+002,6.395304E-001,5.610646E-001,0.000000E+000,1.211318E-001,9.343980E+000,2.200019E-003,1.349275E-001,5.690918E-001
29,2.520156E+002,6.401468E-001,5.612100E-001,0.000000E+000,1.206884E-001,9.363280E+000,2.171154E-003,1.344924E-001,5.662842E-001
30,2.520156E+002,6.407385E-001,5.613512E-001,0.000000E+000,1.202647E-001,9.382338E+000,2.142966E-003,1.340779E-001,5.592651E-001
31,2.520156E+002,6.413070E-001,5.614884E-001,0.000000E+000,1.198595E-001,9.401161E+000,2.115434E-003,1.336826E-001,5.557861E-001
32,2.520156E+002,6.418537E-001,5.616218E-001,0.000000E+000,1.194717E-001,9.419755E+000,2.088539E-003,1.333052E-001,5.528564E-001
33,2.520156E+002,6.423799E-001,5.617517E-001,0.000000E+000,1.191001E-001,9.438126E+000,2.062261E-003,1.329446E-001,5.462646E-001
34,2.520156E+002,6.428869E-001,5.618782E-001,0.000000E+000,1.187438E-001,9.456279E+000,2.036581E-003,1.325998E-001,5.437012E-001
35,2.520156E+002,6.433757E-001,5.620015E-001,0.000000E+000,1.184018E-001,9.474221E+000,2.011480E-003,1.322697E-001,5.392456E-001
36,2.520156E+002,6.438474E-001,5.621218E-001,0.000000E+000,1.180734E-001,9.491957E+000,1.986941E-003,1.319535E-001,5.344849E-001
37,2.520156E+002,6.443030E-001,5.622392E-001,0.000000E+000,1.177577E-001,9.509491E+000,1.962946E-003,1.316503E-001,5.297241E-001
38,2.520156E+002,6.447433E-001,5.623539E-001,0.000000E+000,1.174540E-001,9.526828E+000,1.939479E-003,1.313595E-001,5.261230E-001
39,2.520156E+002,6.451691E-001,5.624660E-001,0.000000E+000,1.171617E-001,9.543974E+000,1.916524E-003,1.310803E-001,5.236206E-001
40,2.520156E+002,6.455812E-001,5.625757E-001,0.000000E+000,1.168802E-001,9.560932E+000,1.894064E-003,1.308122E-001,5.197754E-001
41,2.520156E+002,6.459803E-001,5.626830E-001,0.000000E+000,1.166089E-001,9.577707E+000,1.872084E-003,1.305544E-001,5.144653E-001
42,2.520156E+002,6.463672E-001,5.627882E-001,0.000000E+000,1.163473E-001,9.594304E+000,1.850570E-003,1.303065E-001,5.101318E-001
43,2.520156E+002,6.467423E-001,5.628914E-001,0.000000E+000,1.160949E-001,9.610725E+000,1.829509E-003,1.300679E-001,5.058594E-001
44,2.520156E+002,6.471063E-001,5.629926E-001,0.000000E+000,1.158512E-001,9.626974E+000,1.808885E-003,1.298383E-001,5.029297E-001
45,2.520156E+002,6.474597E-001,5.630919E-001,0.000000E+000,1.156159E-001,9.643057E+000,1.788687E-003,1.296170E-001,4.992676E-001
46,2.520156E+002,6.478030E-001,5.631895E-001,0.000000E+000,1.153884E-001,9.658975E+000,1.768900E-003,1.294039E-001,4.937134E-001
47,2.520156E+002,6.481368E-001,5.632855E-001,0.000000E+000,1.151686E-001,9.674732E+000,1.749514E-003,1.291983E-001,4.922485E-001
48,2.520156E+002,6.484614E-001,5.633799E-001,0.000000E+000,1.149559E-001,9.690332E+000,1.730517E-003,1.290001E-001,4.863892E-001
49,2.520156E+002,6.487772E-001,5.634728E-001,0.000000E+000,1.147502E-001,9.705777E+000,1.711897E-003,1.288089E-001,4.841309E-001
50,2.520156E+002,6.490848E-001,5.635643E-001,0.000000E+000,1.145510E-001,9.721072E+000,1.693643E-003,1.286243E-001,4.797974E-001
51,2.520156E+002,6.493844E-001,5.636545E-001,0.000000E+000,1.143581E-001,9.736217E+000,1.675744E-003,1.284460E-001,4.764404E-001
52,2.520156E+002,6.496763E-001,5.637434E-001,0.000000E+000,1.141713E-001,9.751217E+000,1.658192E-003,1.282739E-001,4.732056E-001
53,2.520156E+002,6.499610E-001,5.638312E-001,0.000000E+000,1.139902E-001,9.766074E+000,1.640975E-003,1.281076E-001,4.716187E-001
54,2.520156E+002,6.502387E-001,5.639178E-001,0.000000E+000,1.138146E-001,9.780791E+000,1.624084E-003,1.279469E-001,4.654541E-001
55,2.520156E+002,6.505098E-001,5.640034E-001,0.000000E+000,1.136444E-001,9.795369E+000,1.607511E-003,1.277915E-001,4.624023E-001
56,2.520156E+002,6.507744E-001,5.640880E-001,0.000000E+000,1.134793E-001,9.809812E+000,1.591246E-003,1.276413E-001,4.595947E-001
57,2.520156E+002,6.510330E-001,5.641717E-001,0.000000E+000,1.133190E-001,9.824122E+000,1.575281E-003,1.274960E-001,4.556274E-001
58,2.520156E+002,6.512856E-001,5.642544E-001,0.000000E+000,1.131635E-001,9.838300E+000,1.559609E-003,1.273555E-001,4.544678E-001
59,2.520156E+002,6.515326E-001,5.643363E-001,0.000000E+000,1.130125E-001,9.852350E+000,1.544220E-003,1.272196E-001,4.510498E-001
60,2.520156E+002,6.517741E-001,5.644174E-001,0.000000E+000,1.128659E-001,9.866273E+000,1.529109E-003,1.270880E-001,4.473877E-001
61,2.520156E+002,6.520104E-001,5.644978E-001,0.000000E+000,1.127235E-001,9.880070E+000,1.514266E-003,1.269607E-001,4.429932E-001
62,2.520156E+002,6.522417E-001,5.645774E-001,0.000000E+000,1.125851E-001,9.893745E+000,1.499686E-003,1.268375E-001,4.400635E-001
63,2.520156E+002,6.524682E-001,5.646563E-001,0.000000E+000,1.124506E-001,9.907299E+000,1.485362E-003,1.267182E-001,4.373779E-001
64,2.520156E+002,6.526900E-001,5.647347E-001,0.000000E+000,1.123199E-001,9.920734E+000,1.471286E-003,1.266027E-001,4.335327E-001
65,2.520156E+002,6.529074E-001,5.648123E-001,0.000000E+000,1.121928E-001,9.934051E+000,1.457454E-003,1.264909E-001,4.307861E-001
66,2.520156E+002,6.531204E-001,5.648895E-001,0.000000E+000,1.120692E-001,9.947252E+000,1.443858E-003,1.263826E-001,4.293213E-001
67,2.520156E+002,6.533293E-001,5.649661E-001,0.000000E+000,1.119490E-001,9.960339E+000,1.430493E-003,1.262777E-001,4.257202E-001
68,2.520156E+002,6.535341E-001,5.650421E-001,0.000000E+000,1.118321E-001,9.973314E+000,1.417353E-003,1.261762E-001,4.226074E-001
69,2.520156E+002,6.537351E-001,5.651177E-001,0.000000E+000,1.117184E-001,9.986177E+000,1.404432E-003,1.260778E-001,4.188843E-001
70,2.520156E+002,6.539323E-001,5.651928E-001,0.000000E+000,1.116078E-001,9.998931E+000,1.391726E-003,1.259826E-001,4.151611E-001
71,2.520156E+002,6.541259E-001,5.652675E-001,0.000000E+000,1.115001E-001,1.001158E+001,1.379229E-003,1.258903E-001,4.127197E-001
72,2.520156E+002,6.543160E-001,5.653417E-001,0.000000E+000,1.113953E-001,1.002411E+001,1.366937E-003,1.258010E-001,4.110107E-001
73,2.520156E+002,6.545027E-001,5.654155E-001,0.000000E+000,1.112932E-001,1.003655E+001,1.354844E-003,1.257144E-001,4.089966E-001
74,2.520156E+002,6.546862E-001,5.654890E-001,0.000000E+000,1.111939E-001,1.004888E+001,1.342946E-003,1.256306E-001,4.052734E-001
75,2.520156E+002,6.548664E-001,5.655621E-001,0.000000E+000,1.110972E-001,1.006110E+001,1.331239E-003,1.255495E-001,4.016113E-001
76,2.520156E+002,6.550436E-001,5.656349E-001,0.000000E+000,1.110031E-001,1.007323E+001,1.319717E-003,1.254709E-001,3.983154E-001
77,2.520156E+002,6.552179E-001,5.657074E-001,0.000000E+000,1.109114E-001,1.008525E+001,1.308378E-003,1.253948E-001,3.957520E-001
78,2.520156E+002,6.553892E-001,5.657795E-001,0.000000E+000,1.108221E-001,1.009718E+001,1.297217E-003,1.253211E-001,3.931885E-001
79,2.520156E+002,6.555578E-001,5.658514E-001,0.000000E+000,1.107351E-001,1.010901E+001,1.286229E-003,1.252498E-001,3.900757E-001
80,2.520156E+002,6.557236E-001,5.659229E-001,0.000000E+000,1.106504E-001,1.012074E+001,1.275412E-003,1.251808E-001,3.880615E-001
81,2.520156E+002,6.558868E-001,5.659943E-001,0.000000E+000,1.105679E-001,1.013237E+001,1.264762E-003,1.251139E-001,3.854980E-001
82,2.520156E+002,6.560474E-001,5.660653E-001,0.000000E+000,1.104875E-001,1.014391E+001,1.254274E-003,1.250493E-001,3.838501E-001
83,2.520156E+002,6.562056E-001,5.661361E-001,0.000000E+000,1.104091E-001,1.015536E+001,1.243946E-003,1.249867E-001,3.786621E-001
84,2.520156E+002,6.563613E-001,5.662067E-001,0.000000E+000,1.103328E-001,1.016671E+001,1.233775E-003,1.249262E-001,3.771362E-001
85,2.520156E+002,6.565147E-001,5.662771E-001,0.000000E+000,1.102585E-001,1.017797E+001,1.223756E-003,1.248676E-001,3.739624E-001
86,2.520156E+002,6.566658E-001,5.663473E-001,0.000000E+000,1.101860E-001,1.018914E+001,1.213887E-003,1.248110E-001,3.712769E-001
87,2.520156E+002,6.568147E-001,5.664172E-001,0.000000E+000,1.101155E-001,1.020022E+001,1.204165E-003,1.247562E-001,3.685913E-001
88,2.520156E+002,6.569614E-001,5.664870E-001,0.000000E+000,1.100467E-001,1.021122E+001,1.194587E-003,1.247033E-001,3.675537E-001
89,2.520156E+002,6.571061E-001,5.665566E-001,0.000000E+000,1.099797E-001,1.022212E+001,1.185150E-003,1.246522E-001,3.659668E-001
90,2.520156E+002,6.572486E-001,5.666260E-001,0.000000E+000,1.099143E-001,1.023294E+001,1.175850E-003,1.246028E-001,3.615723E-001
91,2.520156E+002,6.573892E-001,5.666952E-001,0.000000E+000,1.098507E-001,1.024367E+001,1.166687E-003,1.245551E-001,3.577271E-001
92,2.520156E+002,6.575278E-001,5.667643E-001,0.000000E+000,1.097887E-001,1.025432E+001,1.157656E-003,1.245090E-001,3.559570E-001
93,2.520156E+002,6.576645E-001,5.668332E-001,0.000000E+000,1.097283E-001,1.026488E+001,1.148755E-003,1.244646E-001,3.535767E-001
94,2.520156E+002,6.577994E-001,5.669020E-001,0.000000E+000,1.096694E-001,1.027536E+001,1.139982E-003,1.244217E-001,3.510742E-001
95,2.520156E+002,6.579324E-001,5.669706E-001,0.000000E+000,1.096120E-001,1.028576E+001,1.131335E-003,1.243803E-001,3.491211E-001
96,2.520156E+002,6.580637E-001,5.670390E-001,0.000000E+000,1.095561E-001,1.029607E+001,1.122810E-003,1.243404E-001,3.465576E-001
97,2.520156E+002,6.581933E-001,5.671074E-001,0.000000E+000,1.095016E-001,1.030631E+001,1.114406E-003,1.243020E-001,3.442993E-001
98,2.520156E+002,6.583211E-001,5.671756E-001,0.000000E+000,1.094485E-001,1.031646E+001,1.106120E-003,1.242649E-001,3.394775E-001
99,2.520156E+002,6.584474E-001,5.672437E-001,0.000000E+000,1.093968E-001,1.032653E+001,1.097951E-003,1.242293E-001,3.386841E-001
