t,timestamp_utc,timestamp_local
0,2026-02-21T19:29:38.1531918+00:00,2026-02-21 21:29:38
1,2026-02-21T19:29:40.2556127+00:00,2026-02-21 21:29:40
2,2026-02-21T19:29:40.3493844+00:00,2026-02-21 21:29:40
3,2026-02-21T19:29:40.4701117+00:00,2026-02-21 21:29:40
4,2026-02-21T19:29:40.5130653+00:00,2026-02-21 21:29:40
5,2026-02-21T19:29:40.5561916+00:00,2026-02-21 21:29:40
6,2026-02-21T19:29:40.5989302+00:00,2026-02-21 21:29:40
7,2026-02-21T19:29:40.6554858+00:00,2026-02-21 21:29:40
8,2026-02-21T19:29:40.6982722+00:00,2026-02-21 21:29:40
9,2026-02-21T19:29:40.7403796+00:00,2026-02-21 21:29:40
10,2026-02-21T19:29:40.7856456+00:00,2026-02-21 21:29:40
11,2026-02-21T19:29:41.2492059+00:00,2026-02-21 21:29:41
12,2026-02-21T19:29:41.2893470+00:00,2026-02-21 21:29:41
13,2026-02-21T19:29:41.3375778+00:00,2026-02-21 21:29:41
14,2026-02-21T19:29:41.4118626+00:00,2026-02-21 21:29:41
15,2026-02-21T19:29:41.4958506+00:00,2026-02-21 21:29:41
16,2026-02-21T19:29:41.5666502+00:00,2026-02-21 21:29:41
17,2026-02-21T19:29:41.6343024+00:00,2026-02-21 21:29:41
18,2026-02-21T19:29:41.6839775+00:00,2026-02-21 21:29:41
19,2026-02-21T19:29:41.7483759+00:00,2026-02-21 21:29:41
20,2026-02-21T19:29:41.8024010+00:00,2026-02-21 21:29:41
21,2026-02-21T19:29:42.2802904+00:00,2026-02-21 21:29:42
22,2026-02-21T19:29:42.3277330+00:00,2026-02-21 21:29:42
23,2026-02-21T19:29:42.4102727+00:00,2026-02-21 21:29:42
24,2026-02-21T19:29:42.6530596+00:00,2026-02-21 21:29:42
25,2026-02-21T19:29:42.7180250+00:00,2026-02-21 21:29:42
26,2026-02-21T19:29:42.7839541+00:00,2026-02-21 21:29:42
27,2026-02-21T19:29:42.8534164+00:00,2026-02-21 21:29:42
28,2026-02-21T19:29:42.9077592+00:00,2026-02-21 21:29:42
29,2026-02-21T19:29:42.9531927+00:00,2026-02-21 21:29:42
30,2026-02-21T19:29:42.9994989+00:00,2026-02-21 21:29:42
31,2026-02-21T19:29:43.3990841+00:00,2026-02-21 21:29:43
32,2026-02-21T19:29:43.4294036+00:00,2026-02-21 21:29:43
33,2026-02-21T19:29:43.4724769+00:00,2026-02-21 21:29:43
34,2026-02-21T19:29:43.5142227+00:00,2026-02-21 21:29:43
35,2026-02-21T19:29:43.6087446+00:00,2026-02-21 21:29:43
36,2026-02-21T19:29:43.6492088+00:00,2026-02-21 21:29:43
37,2026-02-21T19:29:43.6933962+00:00,2026-02-21 21:29:43
38,2026-02-21T19:29:43.7807305+00:00,2026-02-21 21:29:43
39,2026-02-21T19:29:43.8170403+00:00,2026-02-21 21:29:43
40,2026-02-21T19:29:43.8477677+00:00,2026-02-21 21:29:43
41,2026-02-21T19:29:44.2215317+00:00,2026-02-21 21:29:44
42,2026-02-21T19:29:44.2496202+00:00,2026-02-21 21:29:44
43,2026-02-21T19:29:44.2942507+00:00,2026-02-21 21:29:44
44,2026-02-21T19:29:44.3254706+00:00,2026-02-21 21:29:44
45,2026-02-21T19:29:44.3507523+00:00,2026-02-21 21:29:44
46,2026-02-21T19:29:44.3749743+00:00,2026-02-21 21:29:44
47,2026-02-21T19:29:44.4039855+00:00,2026-02-21 21:29:44
48,2026-02-21T19:29:44.4281649+00:00,2026-02-21 21:29:44
49,2026-02-21T19:29:44.4586180+00:00,2026-02-21 21:29:44
50,2026-02-21T19:29:44.4852666+00:00,2026-02-21 21:29:44
51,2026-02-21T19:29:45.0907464+00:00,2026-02-21 21:29:45
52,2026-02-21T19:29:45.1367407+00:00,2026-02-21 21:29:45
53,2026-02-21T19:29:45.1811448+00:00,2026-02-21 21:29:45
54,2026-02-21T19:29:45.2087161+00:00,2026-02-21 21:29:45
55,2026-02-21T19:29:45.2907293+00:00,2026-02-21 21:29:45
56,2026-02-21T19:29:45.3274735+00:00,2026-02-21 21:29:45
57,2026-02-21T19:29:45.3828024+00:00,2026-02-21 21:29:45
58,2026-02-21T19:29:45.4364231+00:00,2026-02-21 21:29:45
59,2026-02-21T19:29:45.4860278+00:00,2026-02-21 21:29:45
60,2026-02-21T19:29:45.5441940+00:00,2026-02-21 21:29:45
61,2026-02-21T19:29:45.9626212+00:00,2026-02-21 21:29:45
62,2026-02-21T19:29:46.0078111+00:00,2026-02-21 21:29:46
63,2026-02-21T19:29:46.0659638+00:00,2026-02-21 21:29:46
64,2026-02-21T19:29:46.1183736+00:00,2026-02-21 21:29:46
65,2026-02-21T19:29:46.1539618+00:00,2026-02-21 21:29:46
66,2026-02-21T19:29:46.1807141+00:00,2026-02-21 21:29:46
67,2026-02-21T19:29:46.2190493+00:00,2026-02-21 21:29:46
68,2026-02-21T19:29:46.2482515+00:00,2026-02-21 21:29:46
69,2026-02-21T19:29:46.2748418+00:00,2026-02-21 21:29:46
70,2026-02-21T19:29:46.3041738+00:00,2026-02-21 21:29:46
71,2026-02-21T19:29:46.6774969+00:00,2026-02-21 21:29:46
72,2026-02-21T19:29:46.7022178+00:00,2026-02-21 21:29:46
73,2026-02-21T19:29:46.7262270+00:00,2026-02-21 21:29:46
74,2026-02-21T19:29:46.7512849+00:00,2026-02-21 21:29:46
75,2026-02-21T19:29:46.7839203+00:00,2026-02-21 21:29:46
76,2026-02-21T19:29:46.8082161+00:00,2026-02-21 21:29:46
77,2026-02-21T19:29:46.8340555+00:00,2026-02-21 21:29:46
78,2026-02-21T19:29:46.8672601+00:00,2026-02-21 21:29:46
79,2026-02-21T19:29:46.9115658+00:00,2026-02-21 21:29:46
80,2026-02-21T19:29:46.9398675+00:00,2026-02-21 21:29:46
81,2026-02-21T19:29:47.3019619+00:00,2026-02-21 21:29:47
82,2026-02-21T19:29:47.3276865+00:00,2026-02-21 21:29:47
83,2026-02-21T19:29:47.3581268+00:00,2026-02-21 21:29:47
84,2026-02-21T19:29:47.3857831+00:00,2026-02-21 21:29:47
85,2026-02-21T19:29:47.4112344+00:00,2026-02-21 21:29:47
86,2026-02-21T19:29:47.4337553+00:00,2026-02-21 21:29:47
87,2026-02-21T19:29:47.4655599+00:00,2026-02-21 21:29:47
88,2026-02-21T19:29:47.4949730+00:00,2026-02-21 21:29:47
89,2026-02-21T19:29:47.5198579+00:00,2026-02-21 21:29:47
90,2026-02-21T19:29:47.5471989+00:00,2026-02-21 21:29:47
91,2026-02-21T19:29:47.9264931+00:00,2026-02-21 21:29:47
92,2026-02-21T19:29:47.9499160+00:00,2026-02-21 21:29:47
93,2026-02-21T19:29:47.9724299+00:00,2026-02-21 21:29:47
94,2026-02-21T19:29:48.0001322+00:00,2026-02-21 21:29:48
95,2026-02-21T19:29:48.0353989+00:00,2026-02-21 21:29:48
