timestamp_utc,phase,step,temperature_c,power_w,clock_mhz,delta_vs_previous
2026-02-21T19:29:37.2841363+00:00,idlepre,-1,43,18.24,2355,
2026-02-21T19:29:37.6531007+00:00,idlepre,-1,43,18.28,2355,0
2026-02-21T19:29:39.9333796+00:00,active,0,42,12.04,210,-1
2026-02-21T19:29:41.2328311+00:00,active,10,43,10.43,2355,1
2026-02-21T19:29:42.2690037+00:00,active,20,43,18.42,2355,0
2026-02-21T19:29:43.3838065+00:00,active,30,44,17.35,2355,1
2026-02-21T19:29:44.2155038+00:00,active,40,44,18.18,2355,0
2026-02-21T19:29:44.8500842+00:00,active,50,44,18.16,2355,0
2026-02-21T19:29:45.9509441+00:00,active,60,44,18.09,2355,0
2026-02-21T19:29:46.6655222+00:00,active,70,43,13.59,2355,-1
2026-02-21T19:29:47.2963746+00:00,active,80,44,14.96,2355,1
2026-02-21T19:29:47.9128977+00:00,active,90,44,18.19,2355,0
2026-02-21T19:29:48.8805787+00:00,idlepost,-1,43,15.25,210,-1
2026-02-21T19:29:49.2269952+00:00,idlepost,-1,43,11.28,210,0
