t,u_raw,u_norm,s_raw,s_norm,t_value,f,df_dt,delta_u,delta_s,t_eff,t_eff_status,regime
0,2.028132E-001,1.051657E+000,8.695223E+000,6.210873E-001,1.000000E+000,4.305692E-001,0.000000E+000,0.000000E+000,0.000000E+000,NaN,undefined_small_entropy_change,undefined
1,1.764177E-001,9.147867E-001,8.658020E+000,6.184300E-001,1.000000E+000,2.963567E-001,-1.342125E+001,-1.368698E-001,-2.657309E-003,5.150690E+001,valid,crystallization
2,1.705151E-001,8.841795E-001,8.705848E+000,6.218463E-001,1.000000E+000,2.623332E-001,-3.402353E+000,-3.060723E-002,3.416294E-003,-8.959193E+000,valid,anomalous
3,1.660541E-001,8.610475E-001,8.743563E+000,6.245402E-001,1.000000E+000,2.365073E-001,-2.582593E+000,-2.313201E-002,2.693915E-003,-8.586765E+000,valid,anomalous
4,1.624813E-001,8.425217E-001,8.776703E+000,6.269074E-001,1.000000E+000,2.156143E-001,-2.089296E+000,-1.852583E-002,2.367137E-003,-7.826257E+000,valid,anomalous
5,1.595083E-001,8.271057E-001,8.807416E+000,6.291011E-001,1.000000E+000,1.980046E-001,-1.760974E+000,-1.541598E-002,2.193762E-003,-7.027188E+000,valid,anomalous
6,1.569686E-001,8.139364E-001,8.836624E+000,6.311874E-001,1.000000E+000,1.827490E-001,-1.525555E+000,-1.316927E-002,2.086284E-003,-6.312307E+000,valid,anomalous
7,1.547579E-001,8.024733E-001,8.864767E+000,6.331976E-001,1.000000E+000,1.692756E-001,-1.347337E+000,-1.146318E-002,2.010196E-003,-5.702515E+000,valid,anomalous
8,1.528065E-001,7.923543E-001,8.892077E+000,6.351484E-001,1.000000E+000,1.572060E-001,-1.206969E+000,-1.011895E-002,1.950738E-003,-5.187239E+000,valid,anomalous
9,1.510650E-001,7.833243E-001,8.918692E+000,6.370494E-001,1.000000E+000,1.462749E-001,-1.093104E+000,-9.029992E-003,1.901045E-003,-4.750016E+000,valid,anomalous
10,1.494974E-001,7.751956E-001,8.944698E+000,6.389070E-001,1.000000E+000,1.362886E-001,-9.986349E-001,-8.128712E-003,1.857637E-003,-4.375835E+000,valid,anomalous
11,1.480761E-001,7.678256E-001,8.970159E+000,6.407256E-001,1.000000E+000,1.271000E-001,-9.188595E-001,-7.369992E-003,1.818603E-003,-4.052558E+000,valid,anomalous
12,1.467797E-001,7.611032E-001,8.995118E+000,6.425084E-001,1.000000E+000,1.185947E-001,-8.505243E-001,-6.722435E-003,1.782808E-003,-3.770701E+000,valid,anomalous
13,1.455911E-001,7.549397E-001,9.019612E+000,6.442580E-001,1.000000E+000,1.106818E-001,-7.912964E-001,-6.163430E-003,1.749534E-003,-3.522898E+000,valid,anomalous
14,1.444964E-001,7.492635E-001,9.043668E+000,6.459763E-001,1.000000E+000,1.032872E-001,-7.394518E-001,-5.676217E-003,1.718302E-003,-3.303388E+000,valid,anomalous
15,1.434843E-001,7.440154E-001,9.067311E+000,6.476651E-001,1.000000E+000,9.635039E-002,-6.936852E-001,-5.248078E-003,1.688773E-003,-3.107628E+000,valid,anomalous
16,1.425453E-001,7.391463E-001,9.090561E+000,6.493258E-001,1.000000E+000,8.982053E-002,-6.529870E-001,-4.869166E-003,1.660704E-003,-2.931990E+000,valid,anomalous
17,1.416713E-001,7.346146E-001,9.113435E+000,6.509597E-001,1.000000E+000,8.365490E-002,-6.165629E-001,-4.531721E-003,1.633908E-003,-2.773547E+000,valid,anomalous
18,1.408556E-001,7.303850E-001,9.135951E+000,6.525679E-001,1.000000E+000,7.781711E-002,-5.837783E-001,-4.229539E-003,1.608244E-003,-2.629912E+000,valid,anomalous
19,1.400924E-001,7.264274E-001,9.158121E+000,6.541515E-001,1.000000E+000,7.227592E-002,-5.541192E-001,-3.957594E-003,1.583597E-003,-2.499117E+000,valid,anomalous
20,1.393766E-001,7.227157E-001,9.179959E+000,6.557114E-001,1.000000E+000,6.700428E-002,-5.271647E-001,-3.711770E-003,1.559877E-003,-2.379527E+000,valid,anomalous
21,1.387038E-001,7.192270E-001,9.201477E+000,6.572484E-001,1.000000E+000,6.197861E-002,-5.025666E-001,-3.488658E-003,1.537007E-003,-2.269774E+000,valid,anomalous
22,1.380702E-001,7.159416E-001,9.222686E+000,6.587633E-001,1.000000E+000,5.717827E-002,-4.800338E-001,-3.285414E-003,1.514924E-003,-2.168699E+000,valid,anomalous
23,1.374724E-001,7.128419E-001,9.243596E+000,6.602569E-001,1.000000E+000,5.258506E-002,-4.593215E-001,-3.099641E-003,1.493574E-003,-2.075318E+000,valid,anomalous
24,1.369075E-001,7.099126E-001,9.264217E+000,6.617298E-001,1.000000E+000,4.818284E-002,-4.402217E-001,-2.929308E-003,1.472909E-003,-1.988791E+000,valid,anomalous
25,1.363728E-001,7.071400E-001,9.284558E+000,6.631827E-001,1.000000E+000,4.395727E-002,-4.225570E-001,-2.772681E-003,1.452889E-003,-1.908392E+000,valid,anomalous
26,1.358659E-001,7.045117E-001,9.304626E+000,6.646162E-001,1.000000E+000,3.989552E-002,-4.061746E-001,-2.628270E-003,1.433476E-003,-1.833494E+000,valid,anomalous
27,1.353848E-001,7.020169E-001,9.324431E+000,6.660308E-001,1.000000E+000,3.598609E-002,-3.909428E-001,-2.494789E-003,1.414639E-003,-1.763551E+000,valid,anomalous
28,1.349275E-001,6.996458E-001,9.343980E+000,6.674271E-001,1.000000E+000,3.221863E-002,-3.767470E-001,-2.371122E-003,1.396348E-003,-1.698088E+000,valid,anomalous
29,1.344924E-001,6.973895E-001,9.363280E+000,6.688057E-001,1.000000E+000,2.858376E-002,-3.634869E-001,-2.256294E-003,1.378576E-003,-1.636685E+000,valid,anomalous
30,1.340779E-001,6.952400E-001,9.382338E+000,6.701670E-001,1.000000E+000,2.507301E-002,-3.510750E-001,-2.149453E-003,1.361297E-003,-1.578974E+000,valid,anomalous
31,1.336826E-001,6.931902E-001,9.401161E+000,6.715115E-001,1.000000E+000,2.167867E-002,-3.394338E-001,-2.049848E-003,1.344489E-003,-1.524630E+000,valid,anomalous
32,1.333052E-001,6.912334E-001,9.419755E+000,6.728396E-001,1.000000E+000,1.839372E-002,-3.284950E-001,-1.956818E-003,1.328132E-003,-1.473362E+000,valid,anomalous
33,1.329446E-001,6.893636E-001,9.438126E+000,6.741518E-001,1.000000E+000,1.521174E-002,-3.181979E-001,-1.869776E-003,1.312204E-003,-1.424913E+000,valid,anomalous
34,1.325998E-001,6.875754E-001,9.456279E+000,6.754485E-001,1.000000E+000,1.212685E-002,-3.084886E-001,-1.788199E-003,1.296687E-003,-1.379052E+000,valid,anomalous
35,1.322697E-001,6.858638E-001,9.474221E+000,6.767301E-001,1.000000E+000,9.133666E-003,-2.993187E-001,-1.711623E-003,1.281564E-003,-1.335574E+000,valid,anomalous
36,1.319535E-001,6.842241E-001,9.491957E+000,6.779969E-001,1.000000E+000,6.227215E-003,-2.906450E-001,-1.639633E-003,1.266818E-003,-1.294292E+000,valid,anomalous
37,1.316503E-001,6.826523E-001,9.509491E+000,6.792493E-001,1.000000E+000,3.402928E-003,-2.824287E-001,-1.571854E-003,1.252433E-003,-1.255040E+000,valid,anomalous
38,1.313595E-001,6.811443E-001,9.526828E+000,6.804877E-001,1.000000E+000,6.565799E-004,-2.746348E-001,-1.507953E-003,1.238395E-003,-1.217666E+000,valid,anomalous
39,1.310803E-001,6.796967E-001,9.543974E+000,6.817124E-001,1.000000E+000,-2.015736E-003,-2.672316E-001,-1.447626E-003,1.224690E-003,-1.182034E+000,valid,anomalous
40,1.308122E-001,6.783061E-001,9.560932E+000,6.829237E-001,1.000000E+000,-4.617640E-003,-2.601904E-001,-1.390601E-003,1.211303E-003,-1.148020E+000,valid,anomalous
41,1.305544E-001,6.769695E-001,9.577707E+000,6.841220E-001,1.000000E+000,-7.152493E-003,-2.534853E-001,-1.336630E-003,1.198223E-003,-1.115511E+000,valid,anomalous
42,1.303065E-001,6.756840E-001,9.594304E+000,6.853074E-001,1.000000E+000,-9.623421E-003,-2.470927E-001,-1.285491E-003,1.185437E-003,-1.084403E+000,valid,anomalous
43,1.300679E-001,6.744470E-001,9.610725E+000,6.864803E-001,1.000000E+000,-1.203333E-002,-2.409911E-001,-1.236978E-003,1.172933E-003,-1.054602E+000,valid,anomalous
44,1.298383E-001,6.732561E-001,9.626974E+000,6.876410E-001,1.000000E+000,-1.438494E-002,-2.351606E-001,-1.190906E-003,1.160700E-003,-1.026024E+000,valid,anomalous
45,1.296170E-001,6.721090E-001,9.643057E+000,6.887898E-001,1.000000E+000,-1.668077E-002,-2.295834E-001,-1.147106E-003,1.148728E-003,-9.985878E-001,valid,anomalous
46,1.294039E-001,6.710036E-001,9.658975E+000,6.899268E-001,1.000000E+000,-1.892320E-002,-2.242430E-001,-1.105423E-003,1.137007E-003,-9.722223E-001,valid,anomalous
47,1.291983E-001,6.699378E-001,9.674732E+000,6.910523E-001,1.000000E+000,-2.111444E-002,-2.191242E-001,-1.065716E-003,1.125526E-003,-9.468603E-001,valid,anomalous
48,1.290001E-001,6.689100E-001,9.690332E+000,6.921666E-001,1.000000E+000,-2.325658E-002,-2.142132E-001,-1.027855E-003,1.114277E-003,-9.224406E-001,valid,anomalous
49,1.288089E-001,6.679183E-001,9.705777E+000,6.932698E-001,1.000000E+000,-2.535155E-002,-2.094970E-001,-9.917193E-004,1.103251E-003,-8.989065E-001,valid,anomalous
50,1.286243E-001,6.669611E-001,9.721072E+000,6.943623E-001,1.000000E+000,-2.740119E-002,-2.049639E-001,-9.572008E-004,1.092439E-003,-8.762055E-001,valid,anomalous
51,1.284460E-001,6.660369E-001,9.736217E+000,6.954441E-001,1.000000E+000,-2.940722E-002,-2.006031E-001,-9.241980E-004,1.081833E-003,-8.542893E-001,valid,anomalous
