t,cx,cy
0,2.192295E+000,-5.060523E-001
1,2.338202E+000,-5.429456E-001
2,2.370385E+000,-5.455911E-001
3,2.394289E+000,-5.458404E-001
4,2.413379E+000,-5.449210E-001
5,2.429325E+000,-5.433586E-001
6,2.443043E+000,-5.414202E-001
7,2.455092E+000,-5.392573E-001
8,2.465837E+000,-5.369633E-001
9,2.475528E+000,-5.345986E-001
10,2.484349E+000,-5.322038E-001
11,2.492435E+000,-5.298068E-001
12,2.499892E+000,-5.274273E-001
13,2.506802E+000,-5.250791E-001
14,2.513233E+000,-5.227717E-001
15,2.519239E+000,-5.205121E-001
16,2.524864E+000,-5.183047E-001
17,2.530148E+000,-5.161526E-001
18,2.535123E+000,-5.140575E-001
19,2.539817E+000,-5.120203E-001
20,2.544253E+000,-5.100412E-001
21,2.548453E+000,-5.081198E-001
22,2.552435E+000,-5.062554E-001
23,2.556217E+000,-5.044471E-001
24,2.559812E+000,-5.026936E-001
25,2.563235E+000,-5.009935E-001
26,2.566496E+000,-4.993453E-001
27,2.569606E+000,-4.977475E-001
28,2.572576E+000,-4.961984E-001
29,2.575414E+000,-4.946965E-001
30,2.578128E+000,-4.932401E-001
31,2.580726E+000,-4.918276E-001
32,2.583214E+000,-4.904574E-001
33,2.585599E+000,-4.891279E-001
34,2.587887E+000,-4.878376E-001
35,2.590083E+000,-4.865851E-001
36,2.592191E+000,-4.853688E-001
37,2.594217E+000,-4.841874E-001
38,2.596165E+000,-4.830395E-001
39,2.598038E+000,-4.819239E-001
40,2.599841E+000,-4.808393E-001
41,2.601578E+000,-4.797844E-001
42,2.603250E+000,-4.787581E-001
43,2.604862E+000,-4.777593E-001
44,2.606416E+000,-4.767870E-001
45,2.607915E+000,-4.758401E-001
46,2.609361E+000,-4.749177E-001
47,2.610757E+000,-4.740187E-001
48,2.612105E+000,-4.731424E-001
49,2.613407E+000,-4.722879E-001
50,2.614665E+000,-4.714543E-001
51,2.615880E+000,-4.706408E-001
52,2.617056E+000,-4.698468E-001
53,2.618192E+000,-4.690715E-001
54,2.619292E+000,-4.683142E-001
55,2.620355E+000,-4.675743E-001
56,2.621385E+000,-4.668511E-001
57,2.622381E+000,-4.661441E-001
58,2.623346E+000,-4.654527E-001
59,2.624280E+000,-4.647763E-001
60,2.625184E+000,-4.641145E-001
61,2.626060E+000,-4.634667E-001
62,2.626909E+000,-4.628325E-001
63,2.627731E+000,-4.622114E-001
64,2.628528E+000,-4.616029E-001
65,2.629300E+000,-4.610068E-001
66,2.630048E+000,-4.604225E-001
67,2.630773E+000,-4.598496E-001
68,2.631476E+000,-4.592880E-001
69,2.632157E+000,-4.587371E-001
70,2.632817E+000,-4.581966E-001
71,2.633457E+000,-4.576663E-001
72,2.634077E+000,-4.571458E-001
73,2.634678E+000,-4.566349E-001
74,2.635261E+000,-4.561332E-001
75,2.635825E+000,-4.556405E-001
76,2.636372E+000,-4.551566E-001
77,2.636902E+000,-4.546811E-001
78,2.637415E+000,-4.542140E-001
79,2.637913E+000,-4.537548E-001
80,2.638394E+000,-4.533035E-001
81,2.638860E+000,-4.528597E-001
82,2.639312E+000,-4.524234E-001
83,2.639749E+000,-4.519943E-001
84,2.640171E+000,-4.515723E-001
85,2.640580E+000,-4.511571E-001
86,2.640976E+000,-4.507485E-001
87,2.641358E+000,-4.503465E-001
88,2.641727E+000,-4.499509E-001
89,2.642084E+000,-4.495615E-001
90,2.642428E+000,-4.491782E-001
91,2.642761E+000,-4.488008E-001
92,2.643082E+000,-4.484292E-001
93,2.643391E+000,-4.480632E-001
94,2.643689E+000,-4.477028E-001
95,2.643976E+000,-4.473478E-001
96,2.644252E+000,-4.469981E-001
97,2.644517E+000,-4.466537E-001
98,2.644773E+000,-4.463143E-001
99,2.645018E+000,-4.459798E-001
