t,energy
0,1.519413E+001
1,2.172019E+001
2,1.965586E+001
3,1.832718E+001
4,1.737019E+001
5,1.662660E+001
6,1.601862E+001
7,1.550398E+001
8,1.505768E+001
9,1.466384E+001
10,1.431176E+001
11,1.399388E+001
12,1.370463E+001
13,1.343976E+001
14,1.319596E+001
15,1.297059E+001
16,1.276147E+001
17,1.256680E+001
18,1.238508E+001
19,1.221500E+001
20,1.205547E+001
21,1.190551E+001
22,1.176428E+001
23,1.163103E+001
24,1.150510E+001
25,1.138590E+001
26,1.127290E+001
27,1.116564E+001
28,1.106367E+001
29,1.096662E+001
30,1.087412E+001
31,1.078587E+001
32,1.070156E+001
33,1.062094E+001
34,1.054375E+001
35,1.046978E+001
36,1.039882E+001
37,1.033067E+001
38,1.026516E+001
39,1.020214E+001
40,1.014144E+001
41,1.008295E+001
42,1.002652E+001
43,9.972033E+000
44,9.919389E+000
45,9.868482E+000
46,9.819217E+000
47,9.771505E+000
48,9.725263E+000
49,9.680415E+000
50,9.636890E+000
51,9.594619E+000
52,9.553541E+000
53,9.513597E+000
54,9.474731E+000
55,9.436893E+000
56,9.400034E+000
57,9.364108E+000
58,9.329073E+000
59,9.294889E+000
60,9.261518E+000
61,9.228925E+000
62,9.197075E+000
63,9.165939E+000
64,9.135484E+000
65,9.105684E+000
66,9.076513E+000
67,9.047943E+000
68,9.019953E+000
69,8.992519E+000
70,8.965620E+000
71,8.939236E+000
72,8.913347E+000
73,8.887936E+000
74,8.862985E+000
75,8.838477E+000
76,8.814396E+000
77,8.790729E+000
78,8.767460E+000
79,8.744577E+000
80,8.722065E+000
81,8.699914E+000
82,8.678111E+000
83,8.656644E+000
84,8.635504E+000
85,8.614680E+000
86,8.594162E+000
87,8.573941E+000
88,8.554008E+000
89,8.534354E+000
90,8.514971E+000
91,8.495851E+000
92,8.476986E+000
93,8.458370E+000
94,8.439995E+000
95,8.421855E+000
96,8.403943E+000
97,8.386252E+000
98,8.368778E+000
99,8.351513E+000
