t,norm_before,norm_after
0,9.635637E-001,1.000000E+000
1,9.843661E-001,1.000000E+000
2,9.861649E-001,1.000000E+000
3,9.873528E-001,1.000000E+000
4,9.882242E-001,1.000000E+000
5,9.889101E-001,1.000000E+000
6,9.894763E-001,1.000000E+000
7,9.899591E-001,1.000000E+000
8,9.903800E-001,1.000000E+000
9,9.907532E-001,1.000000E+000
10,9.910880E-001,1.000000E+000
11,9.913913E-001,1.000000E+000
12,9.916680E-001,1.000000E+000
13,9.919220E-001,1.000000E+000
14,9.921564E-001,1.000000E+000
15,9.923734E-001,1.000000E+000
16,9.925751E-001,1.000000E+000
17,9.927632E-001,1.000000E+000
18,9.929391E-001,1.000000E+000
19,9.931039E-001,1.000000E+000
20,9.932587E-001,1.000000E+000
21,9.934044E-001,1.000000E+000
22,9.935417E-001,1.000000E+000
23,9.936714E-001,1.000000E+000
24,9.937941E-001,1.000000E+000
25,9.939104E-001,1.000000E+000
26,9.940207E-001,1.000000E+000
27,9.941254E-001,1.000000E+000
28,9.942251E-001,1.000000E+000
29,9.943200E-001,1.000000E+000
30,9.944105E-001,1.000000E+000
31,9.944969E-001,1.000000E+000
32,9.945795E-001,1.000000E+000
33,9.946585E-001,1.000000E+000
34,9.947341E-001,1.000000E+000
35,9.948067E-001,1.000000E+000
36,9.948762E-001,1.000000E+000
37,9.949431E-001,1.000000E+000
38,9.950073E-001,1.000000E+000
39,9.950692E-001,1.000000E+000
40,9.951287E-001,1.000000E+000
41,9.951861E-001,1.000000E+000
42,9.952414E-001,1.000000E+000
43,9.952949E-001,1.000000E+000
44,9.953465E-001,1.000000E+000
45,9.953964E-001,1.000000E+000
46,9.954447E-001,1.000000E+000
47,9.954915E-001,1.000000E+000
48,9.955367E-001,1.000000E+000
49,9.955807E-001,1.000000E+000
50,9.956233E-001,1.000000E+000
51,9.956646E-001,1.000000E+000
52,9.957048E-001,1.000000E+000
53,9.957438E-001,1.000000E+000
54,9.957818E-001,1.000000E+000
55,9.958187E-001,1.000000E+000
56,9.958547E-001,1.000000E+000
57,9.958897E-001,1.000000E+000
58,9.959238E-001,1.000000E+000
59,9.959571E-001,1.000000E+000
60,9.959895E-001,1.000000E+000
61,9.960212E-001,1.000000E+000
62,9.960521E-001,1.000000E+000
63,9.960823E-001,1.000000E+000
64,9.961118E-001,1.000000E+000
65,9.961407E-001,1.000000E+000
66,9.961689E-001,1.000000E+000
67,9.961965E-001,1.000000E+000
68,9.962235E-001,1.000000E+000
69,9.962499E-001,1.000000E+000
70,9.962758E-001,1.000000E+000
71,9.963012E-001,1.000000E+000
72,9.963261E-001,1.000000E+000
73,9.963505E-001,1.000000E+000
74,9.963744E-001,1.000000E+000
75,9.963979E-001,1.000000E+000
76,9.964209E-001,1.000000E+000
77,9.964435E-001,1.000000E+000
78,9.964657E-001,1.000000E+000
79,9.964875E-001,1.000000E+000
80,9.965089E-001,1.000000E+000
81,9.965299E-001,1.000000E+000
82,9.965506E-001,1.000000E+000
83,9.965709E-001,1.000000E+000
84,9.965909E-001,1.000000E+000
85,9.966106E-001,1.000000E+000
86,9.966300E-001,1.000000E+000
87,9.966490E-001,1.000000E+000
88,9.966677E-001,1.000000E+000
89,9.966862E-001,1.000000E+000
90,9.967044E-001,1.000000E+000
91,9.967223E-001,1.000000E+000
92,9.967399E-001,1.000000E+000
93,9.967573E-001,1.000000E+000
94,9.967744E-001,1.000000E+000
95,9.967913E-001,1.000000E+000
96,9.968079E-001,1.000000E+000
97,9.968243E-001,1.000000E+000
98,9.968405E-001,1.000000E+000
