t,prob,mean_x,mean_y,mean_z,variance,entropy,ipr,u_centroid,eps_fraction
0,2.520156E+002,7.740368E-001,4.367435E-001,0.000000E+000,1.020541E-001,8.601450E+000,3.767022E-003,1.150545E-001,7.922974E-001
1,2.520156E+002,7.922753E-001,4.321318E-001,0.000000E+000,8.245713E-002,8.534255E+000,3.966750E-003,1.000387E-001,7.955322E-001
2,2.520156E+002,7.962982E-001,4.318011E-001,0.000000E+000,7.841767E-002,8.555087E+000,3.929474E-003,9.708580E-002,7.907104E-001
3,2.520156E+002,7.992862E-001,4.317699E-001,0.000000E+000,7.549498E-002,8.573613E+000,3.890191E-003,9.498531E-002,7.886963E-001
4,2.520156E+002,8.016724E-001,4.318849E-001,0.000000E+000,7.322258E-002,8.591352E+000,3.847916E-003,9.337854E-002,7.833252E-001
5,2.520156E+002,8.036656E-001,4.320802E-001,0.000000E+000,7.137353E-002,8.608726E+000,3.803739E-003,9.209153E-002,7.810669E-001
6,2.520156E+002,8.053804E-001,4.323225E-001,0.000000E+000,6.982210E-002,8.625832E+000,3.758741E-003,9.102813E-002,7.766113E-001
7,2.520156E+002,8.068865E-001,4.325928E-001,0.000000E+000,6.849170E-002,8.642671E+000,3.713712E-003,9.012982E-002,7.742310E-001
8,2.520156E+002,8.082296E-001,4.328796E-001,0.000000E+000,6.733211E-002,8.659222E+000,3.669189E-003,8.935834E-002,7.686157E-001
9,2.520156E+002,8.094410E-001,4.331752E-001,0.000000E+000,6.630858E-002,8.675463E+000,3.625529E-003,8.868721E-002,7.663574E-001
10,2.520156E+002,8.105436E-001,4.334745E-001,0.000000E+000,6.539599E-002,8.691379E+000,3.582962E-003,8.809732E-002,7.639160E-001
11,2.520156E+002,8.115544E-001,4.337741E-001,0.000000E+000,6.457553E-002,8.706960E+000,3.541634E-003,8.757441E-002,7.592773E-001
12,2.520156E+002,8.124865E-001,4.340716E-001,0.000000E+000,6.383276E-002,8.722202E+000,3.501631E-003,8.710751E-002,7.556152E-001
13,2.520156E+002,8.133503E-001,4.343651E-001,0.000000E+000,6.315632E-002,8.737105E+000,3.462995E-003,8.668805E-002,7.523804E-001
14,2.520156E+002,8.141541E-001,4.346535E-001,0.000000E+000,6.253713E-002,8.751671E+000,3.425739E-003,8.630915E-002,7.500000E-001
15,2.520156E+002,8.149048E-001,4.349360E-001,0.000000E+000,6.196778E-002,8.765906E+000,3.389855E-003,8.596525E-002,7.457275E-001
16,2.520156E+002,8.156080E-001,4.352119E-001,0.000000E+000,6.144216E-002,8.779817E+000,3.355318E-003,8.565176E-002,7.426758E-001
17,2.520156E+002,8.162685E-001,4.354809E-001,0.000000E+000,6.095519E-002,8.793413E+000,3.322093E-003,8.536487E-002,7.384033E-001
18,2.520156E+002,8.168904E-001,4.357428E-001,0.000000E+000,6.050257E-002,8.806704E+000,3.290139E-003,8.510138E-002,7.363892E-001
19,2.520156E+002,8.174771E-001,4.359975E-001,0.000000E+000,6.008063E-002,8.819698E+000,3.259408E-003,8.485857E-002,7.313232E-001
20,2.520156E+002,8.180316E-001,4.362449E-001,0.000000E+000,5.968624E-002,8.832407E+000,3.229851E-003,8.463412E-002,7.290039E-001
21,2.520156E+002,8.185566E-001,4.364850E-001,0.000000E+000,5.931668E-002,8.844840E+000,3.201416E-003,8.442603E-002,7.260742E-001
22,2.520156E+002,8.190544E-001,4.367181E-001,0.000000E+000,5.896959E-002,8.857009E+000,3.174049E-003,8.423258E-002,7.222290E-001
23,2.520156E+002,8.195271E-001,4.369441E-001,0.000000E+000,5.864290E-002,8.868923E+000,3.147701E-003,8.405224E-002,7.194214E-001
24,2.520156E+002,8.199766E-001,4.371633E-001,0.000000E+000,5.833479E-002,8.880592E+000,3.122319E-003,8.388372E-002,7.156982E-001
25,2.520156E+002,8.204043E-001,4.373758E-001,0.000000E+000,5.804366E-002,8.892027E+000,3.097853E-003,8.372586E-002,7.133789E-001
26,2.520156E+002,8.208120E-001,4.375818E-001,0.000000E+000,5.776806E-002,8.903237E+000,3.074257E-003,8.357762E-002,7.093506E-001
27,2.520156E+002,8.212008E-001,4.377816E-001,0.000000E+000,5.750673E-002,8.914231E+000,3.051482E-003,8.343810E-002,7.052002E-001
