t,timestamp_utc,timestamp_local
0,2026-02-21T19:26:57.6821553+00:00,2026-02-21 21:26:57
1,2026-02-21T19:26:59.6185013+00:00,2026-02-21 21:26:59
2,2026-02-21T19:26:59.6772892+00:00,2026-02-21 21:26:59
3,2026-02-21T19:26:59.7612361+00:00,2026-02-21 21:26:59
4,2026-02-21T19:26:59.8043850+00:00,2026-02-21 21:26:59
5,2026-02-21T19:26:59.8420775+00:00,2026-02-21 21:26:59
6,2026-02-21T19:26:59.8902843+00:00,2026-02-21 21:26:59
7,2026-02-21T19:26:59.9480995+00:00,2026-02-21 21:26:59
8,2026-02-21T19:26:59.9892763+00:00,2026-02-21 21:26:59
9,2026-02-21T19:27:00.0360696+00:00,2026-02-21 21:27:00
10,2026-02-21T19:27:00.0813251+00:00,2026-02-21 21:27:00
11,2026-02-21T19:27:00.4588669+00:00,2026-02-21 21:27:00
12,2026-02-21T19:27:00.4955754+00:00,2026-02-21 21:27:00
13,2026-02-21T19:27:00.5319111+00:00,2026-02-21 21:27:00
14,2026-02-21T19:27:00.5589623+00:00,2026-02-21 21:27:00
15,2026-02-21T19:27:00.6010725+00:00,2026-02-21 21:27:00
16,2026-02-21T19:27:00.6397914+00:00,2026-02-21 21:27:00
17,2026-02-21T19:27:00.6731894+00:00,2026-02-21 21:27:00
18,2026-02-21T19:27:00.7111483+00:00,2026-02-21 21:27:00
19,2026-02-21T19:27:00.7538979+00:00,2026-02-21 21:27:00
20,2026-02-21T19:27:00.7946896+00:00,2026-02-21 21:27:00
21,2026-02-21T19:27:01.1704818+00:00,2026-02-21 21:27:01
22,2026-02-21T19:27:01.2114548+00:00,2026-02-21 21:27:01
23,2026-02-21T19:27:01.2592032+00:00,2026-02-21 21:27:01
24,2026-02-21T19:27:01.2912201+00:00,2026-02-21 21:27:01
25,2026-02-21T19:27:01.3227611+00:00,2026-02-21 21:27:01
26,2026-02-21T19:27:01.3597140+00:00,2026-02-21 21:27:01
27,2026-02-21T19:27:01.4092010+00:00,2026-02-21 21:27:01
28,2026-02-21T19:27:01.4466767+00:00,2026-02-21 21:27:01
29,2026-02-21T19:27:01.4822046+00:00,2026-02-21 21:27:01
30,2026-02-21T19:27:01.5212163+00:00,2026-02-21 21:27:01
31,2026-02-21T19:27:01.9053254+00:00,2026-02-21 21:27:01
32,2026-02-21T19:27:01.9433454+00:00,2026-02-21 21:27:01
33,2026-02-21T19:27:01.9830081+00:00,2026-02-21 21:27:01
34,2026-02-21T19:27:02.0235637+00:00,2026-02-21 21:27:02
35,2026-02-21T19:27:02.0778541+00:00,2026-02-21 21:27:02
36,2026-02-21T19:27:02.1185129+00:00,2026-02-21 21:27:02
37,2026-02-21T19:27:02.1547603+00:00,2026-02-21 21:27:02
38,2026-02-21T19:27:02.1977040+00:00,2026-02-21 21:27:02
39,2026-02-21T19:27:02.2487945+00:00,2026-02-21 21:27:02
40,2026-02-21T19:27:02.2906372+00:00,2026-02-21 21:27:02
41,2026-02-21T19:27:02.6712934+00:00,2026-02-21 21:27:02
42,2026-02-21T19:27:02.7110336+00:00,2026-02-21 21:27:02
43,2026-02-21T19:27:02.7547059+00:00,2026-02-21 21:27:02
44,2026-02-21T19:27:02.7930003+00:00,2026-02-21 21:27:02
45,2026-02-21T19:27:02.8364407+00:00,2026-02-21 21:27:02
46,2026-02-21T19:27:02.8687998+00:00,2026-02-21 21:27:02
47,2026-02-21T19:27:02.9086100+00:00,2026-02-21 21:27:02
48,2026-02-21T19:27:02.9470949+00:00,2026-02-21 21:27:02
