timestamp_utc,phase,step,temperature_c,power_w,clock_mhz,delta_vs_previous
2026-02-21T19:26:56.9998604+00:00,idlepre,-1,43,17.83,2355,
2026-02-21T19:26:57.3273318+00:00,idlepre,-1,43,17.83,2355,0
2026-02-21T19:26:59.3322156+00:00,active,0,42,3.66,210,-1
2026-02-21T19:27:00.4425604+00:00,active,10,42,3.35,210,0
2026-02-21T19:27:01.1622547+00:00,active,20,42,3.89,210,0
2026-02-21T19:27:01.8845595+00:00,active,30,42,3.57,210,0
2026-02-21T19:27:02.6633799+00:00,active,40,42,3.66,210,0
2026-02-21T19:27:03.3832700+00:00,active,50,42,3.47,210,0
2026-02-21T19:27:04.3526204+00:00,active,60,42,3.32,210,0
2026-02-21T19:27:05.1149156+00:00,active,70,42,3.54,210,0
2026-02-21T19:27:05.7946833+00:00,active,80,42,3.38,210,0
2026-02-21T19:27:06.4281642+00:00,active,90,42,3.12,210,0
2026-02-21T19:27:07.4066064+00:00,idlepost,-1,42,3.5,210,0
2026-02-21T19:27:07.7421853+00:00,idlepost,-1,42,3.34,210,0
