t,u_raw,u_norm,s_raw,s_norm,t_value,f,df_dt,delta_u,delta_s,t_eff,t_eff_status,regime
0,1.150545E-001,4.995552E-001,8.601450E+000,6.143893E-001,1.000000E+000,-1.148341E-001,0.000000E+000,0.000000E+000,0.000000E+000,NaN,undefined_small_entropy_change,undefined
1,1.000387E-001,4.343583E-001,8.534255E+000,6.095897E-001,1.000000E+000,-1.752314E-001,-6.039731E+000,-6.519695E-002,-4.799637E-003,1.358372E+001,valid,crystallization
2,9.708580E-002,4.215370E-001,8.555087E+000,6.110777E-001,1.000000E+000,-1.895407E-001,-1.430933E+000,-1.282132E-002,1.488009E-003,-8.616427E+000,valid,anomalous
3,9.498531E-002,4.124169E-001,8.573613E+000,6.124009E-001,1.000000E+000,-1.999841E-001,-1.044337E+000,-9.120116E-003,1.323253E-003,-6.892195E+000,valid,anomalous
4,9.337854E-002,4.054404E-001,8.591352E+000,6.136680E-001,1.000000E+000,-2.082276E-001,-8.243516E-001,-6.976457E-003,1.267059E-003,-5.506024E+000,valid,anomalous
5,9.209153E-002,3.998523E-001,8.608726E+000,6.149090E-001,1.000000E+000,-2.150567E-001,-6.829093E-001,-5.588063E-003,1.241029E-003,-4.502765E+000,valid,anomalous
6,9.102813E-002,3.952351E-001,8.625832E+000,6.161309E-001,1.000000E+000,-2.208957E-001,-5.839044E-001,-4.617193E-003,1.221851E-003,-3.778852E+000,valid,anomalous
7,9.012982E-002,3.913348E-001,8.642671E+000,6.173336E-001,1.000000E+000,-2.259988E-001,-5.103115E-001,-3.900348E-003,1.202767E-003,-3.242811E+000,valid,anomalous
8,8.935834E-002,3.879851E-001,8.659222E+000,6.185158E-001,1.000000E+000,-2.305307E-001,-4.531883E-001,-3.349695E-003,1.182188E-003,-2.833470E+000,valid,anomalous
9,8.868721E-002,3.850711E-001,8.675463E+000,6.196759E-001,1.000000E+000,-2.346048E-001,-4.074068E-001,-2.913977E-003,1.160091E-003,-2.511853E+000,valid,anomalous
10,8.809732E-002,3.825099E-001,8.691379E+000,6.208128E-001,1.000000E+000,-2.383029E-001,-3.698098E-001,-2.561234E-003,1.136864E-003,-2.252894E+000,valid,anomalous
11,8.757441E-002,3.802394E-001,8.706960E+000,6.219257E-001,1.000000E+000,-2.416863E-001,-3.383398E-001,-2.270453E-003,1.112945E-003,-2.040042E+000,valid,anomalous
12,8.710751E-002,3.782122E-001,8.722202E+000,6.230144E-001,1.000000E+000,-2.448022E-001,-3.115925E-001,-2.027214E-003,1.088711E-003,-1.862032E+000,valid,anomalous
13,8.668805E-002,3.763910E-001,8.737105E+000,6.240789E-001,1.000000E+000,-2.476879E-001,-2.885736E-001,-1.821272E-003,1.064464E-003,-1.710976E+000,valid,anomalous
14,8.630915E-002,3.747458E-001,8.751671E+000,6.251193E-001,1.000000E+000,-2.503735E-001,-2.685569E-001,-1.645134E-003,1.040435E-003,-1.581198E+000,valid,anomalous
15,8.596525E-002,3.732526E-001,8.765906E+000,6.261361E-001,1.000000E+000,-2.528835E-001,-2.509982E-001,-1.493185E-003,1.016796E-003,-1.468520E+000,valid,anomalous
16,8.565176E-002,3.718915E-001,8.779817E+000,6.271298E-001,1.000000E+000,-2.552383E-001,-2.354807E-001,-1.361133E-003,9.936740E-004,-1.369798E+000,valid,anomalous
17,8.536487E-002,3.706459E-001,8.793413E+000,6.281010E-001,1.000000E+000,-2.574551E-001,-2.216793E-001,-1.245635E-003,9.711582E-004,-1.282628E+000,valid,anomalous
18,8.510138E-002,3.695018E-001,8.806704E+000,6.290503E-001,1.000000E+000,-2.595485E-001,-2.093360E-001,-1.144049E-003,9.493107E-004,-1.205137E+000,valid,anomalous
19,8.485857E-002,3.684476E-001,8.819698E+000,6.299784E-001,1.000000E+000,-2.615309E-001,-1.982430E-001,-1.054258E-003,9.281716E-004,-1.135844E+000,valid,anomalous
